GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,LA,PHI
2023100808,2023-10-08,1,9,30,PHI,LA,1,5,95,0,0,"(9:30) (NO HUDDLE, SHOTGUN) 1-J.HURTS PASS INCOMPLETE SHORT MIDDLE.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,5,330,0,0
2023100808,2023-10-08,1,9,26,PHI,LA,2,5,95,0,0,"(9:26) (SHOTGUN) 0-D.SWIFT RIGHT TACKLE TO LAR 6 FOR -1 YARDS (52-L.MURCHISON, 97-M.HOECHT).",0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,5,OPP,0,,0,,0,5,334,0,0
2023100808,2023-10-08,1,8,41,PHI,LA,3,6,94,1,0,"(8:41) (SHOTGUN) 1-J.HURTS PASS SHORT MIDDLE TO 88-D.GOEDERT FOR 6 YARDS, TOUCHDOWN.",0,2023,6,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,5,379,0,0
2023100808,2023-10-08,1,8,37,PHI,LA,0,0,85,1,0,"4-J.ELLIOTT EXTRA POINT IS GOOD, CENTER-45-R.LOVATO, HOLDER-10-B.MANN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,5,383,0,0
2023100808,2023-10-08,1,8,37,LA,PHI,0,0,100,1,0,TIMEOUT AT 08:37.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,383,0,0
2023100808,2023-10-08,1,8,37,LA,PHI,0,0,65,1,0,"4-J.ELLIOTT KICKS 65 YARDS FROM PHI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,5,383,0,0
2023100808,2023-10-08,1,8,37,LA,PHI,1,10,75,0,0,(8:37) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT RIGHT TO 89-T.HIGBEE (30-J.EVANS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,5,383,0,0
2023100808,2023-10-08,1,8,33,LA,PHI,2,10,75,0,0,"(8:33) (NO HUDDLE, SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 17-P.NACUA TO LAR 31 FOR 6 YARDS (2-D.SLAY).",0,2023,6,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,5,387,0,0
2023100808,2023-10-08,1,7,57,LA,PHI,3,4,69,1,0,(7:57) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 10-C.KUPP TO LAR 48 FOR 17 YARDS (31-M.GOODRICH; 30-J.EVANS).,0,2023,17,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,5,423,0,0
2023100808,2023-10-08,1,7,22,LA,PHI,1,10,52,1,0,"(7:22) (NO HUDDLE, SHOTGUN) 9-M.STAFFORD PASS SHORT MIDDLE TO 10-C.KUPP TO PHI 41 FOR 11 YARDS (30-J.EVANS).",0,2023,11,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,5,458,0,0
