GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CAR,DET
2023100802,2023-10-08,1,9,36,CAR,DET,1,10,17,0,0,(9:36) 9-B.YOUNG PASS INCOMPLETE SHORT LEFT. BALL THROWN AWAY,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,324,0,0
2023100802,2023-10-08,1,9,31,CAR,DET,2,10,17,0,0,(9:31) (SHOTGUN) 6-M.SANDERS LEFT TACKLE TO CAR 19 FOR 2 YARDS (46-J.CAMPBELL).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,17,OWN,0,,0,,0,329,0,0
2023100802,2023-10-08,1,8,49,CAR,DET,3,8,19,1,0,(8:49) (SHOTGUN) 9-B.YOUNG PASS SHORT LEFT TO 19-A.THIELEN TO CAR 28 FOR 9 YARDS (31-K.JOSEPH).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,371,0,0
2023100802,2023-10-08,1,8,15,CAR,DET,1,10,28,0,0,(8:15) (SHOTGUN) 30-C.HUBBARD UP THE MIDDLE TO CAR 31 FOR 3 YARDS (23-J.JACOBS).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,28,OWN,0,,0,,0,405,0,0
2023100802,2023-10-08,1,7,37,CAR,DET,2,7,31,0,0,(7:37) (SHOTGUN) 9-B.YOUNG PASS SHORT MIDDLE INTENDED FOR 80-I.THOMAS INTERCEPTED BY 97-A.HUTCHINSON AT CAR 26. 97-A.HUTCHINSON TO CAR 20 FOR 6 YARDS (15-J.MINGO).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,1,0,0,0,0,,31,OWN,0,,0,,0,443,0,0
2023100802,2023-10-08,1,7,28,DET,CAR,1,10,80,0,0,(7:28) 5-D.MONTGOMERY LEFT TACKLE TO CAR 15 FOR 5 YARDS (95-DER.BROWN).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,20,OPP,0,,0,,0,452,0,0
2023100802,2023-10-08,1,6,55,DET,CAR,2,5,85,1,0,(6:55) 5-D.MONTGOMERY LEFT END TO CAR 10 FOR 5 YARDS (24-V.BELL; 95-DER.BROWN).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,15,OPP,0,,0,,0,485,0,0
2023100802,2023-10-08,1,6,14,DET,CAR,1,10,90,0,0,(6:14) 16-J.GOFF PASS SHORT RIGHT TO 89-B.WRIGHT TO CAR 8 FOR 2 YARDS (42-S.FRANKLIN) [97-Y.GROSS-MATOS].,0,2023,2,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,10,OPP,0,,0,,0,526,0,0
2023100802,2023-10-08,1,5,37,DET,CAR,2,8,92,0,0,(5:37) 5-D.MONTGOMERY RIGHT TACKLE TO CAR 4 FOR 4 YARDS (0-B.BURNS).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,8,OPP,0,,0,,0,563,0,0
2023100802,2023-10-08,1,4,59,DET,CAR,3,4,96,1,0,"(4:59) 16-J.GOFF PASS SHORT LEFT TO 87-S.LAPORTA FOR 4 YARDS, TOUCHDOWN.",0,2023,4,UNDER CENTER,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,4,OPP,0,,0,,0,601,0,0
