GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,GB,DET
2023112300,2023-11-23,1,8,34,DET,GB,2,7,93,1,0,"(8:34) (SHOTGUN) 16-J.GOFF PASS SHORT MIDDLE TO 87-S.LAPORTA FOR 7 YARDS, TOUCHDOWN.",0,2023,7,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,12,386,0,0
2023112300,2023-11-23,1,8,30,GB,DET,0,0,65,1,0,"3-J.FOX KICKS 65 YARDS FROM DET 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,12,390,0,0
2023112300,2023-11-23,1,8,30,DET,GB,0,0,85,1,0,"36-R.PATTERSON EXTRA POINT IS NO GOOD, WIDE RIGHT, CENTER-43-J.MCQUAIDE, HOLDER-3-J.FOX.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,12,390,0,0
2023112300,2023-11-23,1,8,30,DET,GB,0,0,100,1,0,TIMEOUT AT 08:30.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,390,0,0
2023112300,2023-11-23,1,8,30,GB,DET,1,10,25,0,0,"(8:30) (SHOTGUN) 28-A.DILLON RIGHT TACKLE TO GB 29 FOR 4 YARDS (93-J.PASCHAL, 54-A.MCNEILL).",0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,12,390,0,0
2023112300,2023-11-23,1,7,53,GB,DET,2,6,29,1,0,(7:53) (SHOTGUN) 10-J.LOVE PASS SHORT MIDDLE TO 18-M.HEATH TO GB 45 FOR 16 YARDS (1-C.SUTTON).,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,12,427,0,0
2023112300,2023-11-23,1,7,14,GB,DET,1,10,45,0,0,(7:14) 28-A.DILLON RIGHT END TO GB 47 FOR 2 YARDS (46-J.CAMPBELL).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,45,OWN,0,,0,,0,12,466,0,0
2023112300,2023-11-23,1,6,38,GB,DET,2,8,47,0,0,(6:38) (SHOTGUN) 10-J.LOVE PASS INCOMPLETE SHORT LEFT [34-A.ANZALONE]. BALL THROWN AWAY.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,12,502,0,0
2023112300,2023-11-23,1,6,33,GB,DET,3,8,47,1,0,(6:33) (SHOTGUN) 10-J.LOVE PASS SHORT LEFT TO 9-C.WATSON PUSHED OB AT DET 44 FOR 9 YARDS (23-J.JACOBS).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,12,507,0,0
2023112300,2023-11-23,1,5,55,GB,DET,1,10,56,1,0,(5:55) 10-J.LOVE PASS SHORT RIGHT TO 28-A.DILLON PUSHED OB AT DET 33 FOR 11 YARDS (55-D.BARNES).,0,2023,11,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,12,545,0,0
