GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CAR,TEN
2023112605,2023-11-26,2,0,0,TEN,CAR,0,0,100,1,0,END QUARTER 2,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1800,0,0
2023112605,2023-11-26,3,14,53,CAR,TEN,1,10,33,0,0,"(14:53) (SHOTGUN) 6-M.SANDERS UP THE MIDDLE TO CAR 37 FOR 4 YARDS (49-A.KEY, 56-M.RICE).",0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,33,OWN,0,,0,,0,1807,0,0
2023112605,2023-11-26,3,14,13,CAR,TEN,2,6,37,0,0,(14:13) (SHOTGUN) 6-M.SANDERS UP THE MIDDLE TO CAR 35 FOR -2 YARDS (98-J.SIMMONS).,0,2023,-2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,37,OWN,0,,0,,0,1847,0,0
2023112605,2023-11-26,3,13,31,CAR,TEN,3,8,35,0,0,"(13:31) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE SHORT LEFT TO 17-D.CHARK [49-A.KEY]. PENALTY ON TEN-0-S.MURPHY-BUNTING, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT CAR 35 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,35,OWN,1,TEN,1,DEFENSIVE HOLDING,5,1889,0,0
2023112605,2023-11-26,3,13,27,CAR,TEN,1,10,40,0,0,(13:27) 9-B.YOUNG PASS SHORT LEFT TO 80-I.THOMAS TO CAR 49 FOR 9 YARDS (35-K.WALLACE).,0,2023,9,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,1893,0,0
2023112605,2023-11-26,3,12,48,CAR,TEN,2,1,49,0,0,"(12:48) (NO HUDDLE, SHOTGUN) 6-M.SANDERS UP THE MIDDLE TO CAR 46 FOR -3 YARDS (98-J.SIMMONS).",0,2023,-3,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,49,OWN,0,,0,,0,1932,0,0
2023112605,2023-11-26,3,12,8,CAR,TEN,3,4,46,1,0,(12:08) (SHOTGUN) 9-B.YOUNG SCRAMBLES RIGHT END RAN OB AT TEN 48 FOR 6 YARDS (24-E.MOLDEN).,0,2023,6,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,1972,0,0
2023112605,2023-11-26,3,11,34,CAR,TEN,1,10,52,0,0,(11:34) (SHOTGUN) 30-C.HUBBARD RIGHT GUARD TO CAR 48 FOR -4 YARDS (99-R.WEAVER).,0,2023,-4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,48,OPP,0,,0,,0,2006,0,0
2023112605,2023-11-26,3,10,56,CAR,TEN,2,14,48,0,0,"(10:56) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE SHORT RIGHT TO 15-J.MINGO. PENALTY ON TEN-0-S.MURPHY-BUNTING, DEFENSIVE PASS INTERFERENCE, 14 YARDS, ENFORCED AT CAR 48 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,48,OWN,1,TEN,1,DEFENSIVE PASS INTERFERENCE,14,2044,0,0
2023112605,2023-11-26,3,10,52,CAR,TEN,1,10,62,1,0,(10:52) (SHOTGUN) 9-B.YOUNG PASS SHORT MIDDLE TO 30-C.HUBBARD TO TEN 13 FOR 25 YARDS (2-A.AL-SHAAIR).,0,2023,25,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,2048,0,0
