GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,NYJ,MIA
2023112400,2023-11-24,1,9,34,MIA,NYJ,2,2,71,0,0,(9:34) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE SHORT LEFT TO 81-D.SMYTHE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,326,0,0
2023112400,2023-11-24,1,9,31,MIA,NYJ,3,2,71,1,0,(9:31) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT LEFT TO 10-T.HILL TO NYJ 12 FOR 17 YARDS (4-D.REED).,0,2023,17,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,329,0,0
2023112400,2023-11-24,1,9,31,MIA,NYJ,0,0,100,1,0,TIMEOUT #1 BY MIA AT 09:31.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,329,0,0
2023112400,2023-11-24,1,8,47,MIA,NYJ,1,10,88,0,0,(8:47) (SHOTGUN) 31-R.MOSTERT LEFT END PUSHED OB AT NYJ 6 FOR 6 YARDS (56-QU.WILLIAMS).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,12,OPP,0,,0,,0,373,0,0
2023112400,2023-11-24,1,8,6,MIA,NYJ,2,4,94,0,0,(8:06) (SHOTGUN) 31-R.MOSTERT LEFT END TO NYJ 5 FOR 1 YARD (95-Q.WILLIAMS; 70-Q.JEFFERSON).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,6,OPP,0,,0,,0,414,0,0
2023112400,2023-11-24,1,7,24,MIA,NYJ,3,3,95,0,0,(7:24) (SHOTGUN) 1-T.TAGOVAILOA SCRAMBLES RIGHT TACKLE TO NYJ 4 FOR 1 YARD (3-J.WHITEHEAD).,0,2023,1,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,456,0,0
2023112400,2023-11-24,1,6,37,MIA,NYJ,4,2,96,0,0,(6:37) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE SHORT RIGHT TO 10-T.HILL (1-A.GARDNER).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,4,OPP,0,,0,,0,503,0,0
2023112400,2023-11-24,1,6,33,NYJ,MIA,0,0,100,1,0,TIMEOUT AT 06:33.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,507,0,0
2023112400,2023-11-24,1,6,33,NYJ,MIA,1,10,5,0,0,(6:33) 7-T.BOYLE PASS INCOMPLETE SHORT LEFT [15-J.PHILLIPS].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,5,OWN,0,,0,,0,507,0,0
2023112400,2023-11-24,1,6,29,NYJ,MIA,2,10,5,0,0,"(6:29) 20-BRE.HALL RIGHT GUARD TO NYJ 5 FOR NO GAIN (98-R.DAVIS, 51-D.LONG).",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,5,OWN,0,,0,,0,511,0,0
