GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,DEN,CLE
2023112607,2023-11-26,1,8,59,DEN,CLE,3,8,66,1,0,(8:59) (SHOTGUN) 3-R.WILSON PASS DEEP LEFT TO 14-C.SUTTON PUSHED OB AT CLE 3 FOR 31 YARDS (33-R.HICKMAN).,0,2023,31,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,12,361,0,0
2023112607,2023-11-26,1,8,18,DEN,CLE,1,3,97,1,0,"(8:18) (SHOTGUN) 25-S.PERINE UP THE MIDDLE FOR 3 YARDS, TOUCHDOWN. THE REPLAY OFFICIAL REVIEWED THE RUNNER BROKE THE PLANE RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS.",0,2023,3,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,CENTER,3,OPP,0,,0,,0,12,402,0,0
2023112607,2023-11-26,1,8,14,CLE,DEN,0,0,65,1,0,"16-W.LUTZ KICKS 65 YARDS FROM DEN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,12,406,0,0
2023112607,2023-11-26,1,8,14,DEN,CLE,0,0,85,1,0,"16-W.LUTZ EXTRA POINT IS GOOD, CENTER-48-M.FRABONI, HOLDER-9-R.DIXON.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,12,406,0,0
2023112607,2023-11-26,1,8,14,CLE,DEN,1,10,25,0,0,(8:14) (SHOTGUN) 17-D.THOMPSON-ROBINSON PASS SHORT RIGHT TO 85-D.NJOKU TO CLE 30 FOR 5 YARDS (49-A.SINGLETON).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,12,406,0,0
2023112607,2023-11-26,1,7,31,CLE,DEN,2,5,30,1,0,(7:31) (SHOTGUN) 17-D.THOMPSON-ROBINSON PASS SHORT RIGHT TO 19-C.TILLMAN TO CLE 40 FOR 10 YARDS (23-F.MOREAU).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,12,449,0,0
2023112607,2023-11-26,1,6,49,CLE,DEN,1,10,40,0,0,(6:49) (SHOTGUN) 17-D.THOMPSON-ROBINSON PASS SHORT LEFT TO 2-A.COOPER TO CLE 45 FOR 5 YARDS (29-J.MCMILLIAN).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,12,491,0,0
2023112607,2023-11-26,1,6,11,CLE,DEN,2,5,45,0,0,(6:11) 68-M.DUNN REPORTED IN AS ELIGIBLE.  34-J.FORD RIGHT END PUSHED OB AT CLE 49 FOR 4 YARDS (31-J.SIMMONS).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,45,OWN,0,,0,,0,12,529,0,0
2023112607,2023-11-26,1,5,34,CLE,DEN,3,1,49,0,0,"(5:34) (SHOTGUN) PENALTY ON CLE-55-E.POCIC, FALSE START, 4 YARDS, ENFORCED AT CLE 49 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,49,OWN,1,CLE,1,FALSE START,4,12,566,0,0
2023112607,2023-11-26,1,5,17,CLE,DEN,3,5,45,0,0,"(5:17) (SHOTGUN) 17-D.THOMPSON-ROBINSON PASS SHORT MIDDLE TO 19-C.TILLMAN TO CLE 49 FOR 4 YARDS (23-F.MOREAU, 41-D.SANDERS).",0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,12,583,0,0
