GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,ATL,NO
2023112600,2023-11-26,1,15,0,NO,ATL,0,0,65,1,0,"13-B.PINION KICKS 65 YARDS FROM ATL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023112600,2023-11-26,1,15,0,NO,ATL,1,10,25,0,0,(15:00) 41-A.KAMARA LEFT END TO NO 23 FOR -2 YARDS (55-K.ELLISS).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,0,0,0
2023112600,2023-11-26,1,14,33,NO,ATL,2,12,23,0,0,"(14:33) 41-A.KAMARA LEFT GUARD TO NO 27 FOR 4 YARDS (21-M.HUGHES, 3-J.BATES).",0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,23,OWN,0,,0,,0,27,0,0
2023112600,2023-11-26,1,13,58,NO,ATL,3,8,27,0,0,(13:58) (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 12-C.OLAVE TO NO 28 FOR 1 YARD (3-J.BATES) [93-C.CAMPBELL].,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,62,0,0
2023112600,2023-11-26,1,13,13,NO,ATL,4,7,28,0,0,"(13:13) 39-L.HEDLEY PUNTS 46 YARDS TO ATL 26, CENTER-49-Z.WOOD. 20-D.ALFORD TO ATL 35 FOR 9 YARDS (48-J.GRAY; 46-A.PRENTICE).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,107,0,0
2023112600,2023-11-26,1,13,2,ATL,NO,1,10,35,0,0,(13:02) (SHOTGUN) 9-D.RIDDER PASS INCOMPLETE SHORT LEFT TO 7-B.ROBINSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,118,0,0
2023112600,2023-11-26,1,12,58,ATL,NO,2,10,35,0,0,"(12:58) (NO HUDDLE, SHOTGUN) 7-B.ROBINSON LEFT TACKLE TO ATL 40 FOR 5 YARDS (6-M.MAYE; 1-A.TAYLOR).",0,2023,5,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,35,OWN,0,,0,,0,122,0,0
2023112600,2023-11-26,1,12,23,ATL,NO,3,5,40,0,0,(12:23) (SHOTGUN) 9-D.RIDDER PASS INCOMPLETE SHORT RIGHT TO 5-D.LONDON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,157,0,0
2023112600,2023-11-26,1,12,19,ATL,NO,4,10,35,0,0,"(12:19) 13-B.PINION PUNTS 55 YARDS TO NO 10, CENTER-49-L.MCCULLOUGH. 22-R.SHAHEED RAN OB AT NO 16 FOR 6 YARDS (12-K.HODGE).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,161,0,0
2023112600,2023-11-26,1,12,8,NO,ATL,1,10,16,0,0,"(12:08) 4-D.CARR PASS DEEP LEFT TO 12-C.OLAVE TO ATL 33 FOR 51 YARDS (37-D.HELLAMS). PENALTY ON ATL-1-J.OKUDAH, ILLEGAL CONTACT, DECLINED.",0,2023,51,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,1,0,0,,16,OWN,0,ATL,0,ILLEGAL CONTACT,0,172,0,0
2023112600,2023-11-26,1,12,8,ATL,NO,0,0,100,1,0,TIMEOUT AT 12:08.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,172,0,0
2023112600,2023-11-26,1,11,54,NO,ATL,1,10,67,0,0,(11:54) (SHOTGUN) 67-L.YOUNG REPORTED IN AS ELIGIBLE.  7-T.HILL RIGHT GUARD TO ATL 28 FOR 5 YARDS (55-K.ELLISS; 96-Z.HARRISON).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,33,OPP,0,,0,,0,186,0,0
2023112600,2023-11-26,1,11,25,NO,ATL,2,5,72,1,0,(11:25) (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 22-R.SHAHEED TO ATL 23 FOR 5 YARDS (1-J.OKUDAH).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,215,0,0
