GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,WAS,DAL
2023112301,2023-11-23,1,9,59,WAS,DAL,1,10,18,0,0,"(9:59) (SHOTGUN) 8-B.ROBINSON LEFT GUARD TO WAS 19 FOR 1 YARD (33-D.CLARK, 14-M.BELL).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,18,OWN,0,,0,,0,301,0,0
2023112301,2023-11-23,1,9,59,DAL,WAS,0,0,100,1,0,TIMEOUT AT 09:59.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,301,0,0
2023112301,2023-11-23,1,9,21,WAS,DAL,2,9,19,0,0,(9:21) (SHOTGUN) 8-B.ROBINSON LEFT END TO WAS 25 FOR 6 YARDS (33-D.CLARK).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,19,OWN,0,,0,,0,339,0,0
2023112301,2023-11-23,1,8,40,WAS,DAL,3,3,25,1,0,(8:40) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 17-T.MCLAURIN RAN OB AT WAS 33 FOR 8 YARDS.,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,380,0,0
2023112301,2023-11-23,1,8,6,WAS,DAL,1,10,33,0,0,(8:06) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 4-C.SAMUEL PUSHED OB AT WAS 39 FOR 6 YARDS (21-S.GILMORE).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,414,0,0
2023112301,2023-11-23,1,7,34,WAS,DAL,2,4,39,1,0,(7:34) (SHOTGUN) 14-S.HOWELL PASS SHORT LEFT TO 1-J.DOTSON TO WAS 49 FOR 10 YARDS (26-D.BLAND).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,446,0,0
2023112301,2023-11-23,1,6,52,WAS,DAL,1,10,49,0,0,(6:52) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 4-C.SAMUEL TO DAL 43 FOR 8 YARDS (26-D.BLAND).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,488,0,0
2023112301,2023-11-23,1,6,8,WAS,DAL,2,2,57,0,0,(6:08) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE SHORT RIGHT TO 8-B.ROBINSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,532,0,0
2023112301,2023-11-23,1,6,3,WAS,DAL,3,2,57,0,0,(6:03) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE SHORT LEFT TO 17-T.MCLAURIN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,537,0,0
2023112301,2023-11-23,1,6,0,WAS,DAL,4,2,57,0,0,"(6:00) 5-T.WAY PUNTS 33 YARDS TO DAL 10, CENTER-54-C.CHEESEMAN, FAIR CATCH BY 9-K.TURPIN.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,540,0,0
