GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,PIT,CIN
2023112601,2023-11-26,1,7,53,PIT,CIN,2,18,33,0,0,(7:53) (SHOTGUN) 22-N.HARRIS LEFT GUARD TO PIT 38 FOR 5 YARDS (27-J.BATTLE; 22-C.AWUZIE).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,33,OWN,0,,0,,0,12,427,0,0
2023112601,2023-11-26,1,7,8,PIT,CIN,3,13,38,1,0,(7:08) (SHOTGUN) 8-K.PICKETT PASS DEEP MIDDLE TO 88-P.FREIERMUTH TO CIN 33 FOR 29 YARDS (33-N.SCOTT).,0,2023,29,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,12,472,0,0
2023112601,2023-11-26,1,6,22,PIT,CIN,1,10,67,0,0,(6:22) 30-J.WARREN RIGHT GUARD TO CIN 29 FOR 4 YARDS (23-D.HILL).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,33,OPP,0,,0,,0,12,518,0,0
2023112601,2023-11-26,1,5,43,PIT,CIN,2,6,71,0,0,"(5:43) (SHOTGUN) 8-K.PICKETT PASS INCOMPLETE SHORT LEFT TO 22-N.HARRIS. PENALTY ON CIN-55-L.WILSON, DEFENSIVE PASS INTERFERENCE, 6 YARDS, ENFORCED AT CIN 29 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,29,OPP,1,CIN,1,DEFENSIVE PASS INTERFERENCE,6,12,557,0,0
2023112601,2023-11-26,1,5,35,PIT,CIN,1,10,77,0,0,(5:35) (SHOTGUN) 22-N.HARRIS LEFT GUARD TO CIN 15 FOR 8 YARDS (55-L.WILSON).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,23,OPP,0,,0,,0,12,565,0,0
2023112601,2023-11-26,1,4,49,PIT,CIN,2,2,85,0,0,(4:49) (SHOTGUN) 8-K.PICKETT PASS INCOMPLETE SHORT LEFT TO 18-D.JOHNSON (20-D.TURNER).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,12,611,0,0
2023112601,2023-11-26,1,4,45,PIT,CIN,3,2,85,1,0,"(4:45) (SHOTGUN) 30-J.WARREN LEFT GUARD TO CIN 13 FOR 2 YARDS (98-D.READER, 95-Z.CARTER). FUMBLES (95-Z.CARTER), TOUCHED AT CIN 14, RECOVERED BY CIN-20-D.TURNER AT CIN 11. 20-D.TURNER TO CIN 39 FOR 28 YARDS (83-CO.HEYWARD).",0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,1,0,0,0,LEFT GUARD,15,OPP,0,,0,,0,12,615,0,0
2023112601,2023-11-26,1,4,34,CIN,PIT,0,0,100,1,0,TIMEOUT AT 04:34.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,626,0,0
2023112601,2023-11-26,1,4,34,CIN,PIT,1,10,39,0,0,"(4:34) (SHOTGUN) 6-J.BROWNING PASS SHORT MIDDLE TO 1-J.CHASE TO 50 FOR 11 YARDS (24-J.PORTER; 23-D.KAZEE). PENALTY ON PIT-24-J.PORTER, DEFENSIVE PASS INTERFERENCE, DECLINED.",0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,1,0,0,,39,OWN,0,PIT,0,DEFENSIVE PASS INTERFERENCE,0,12,626,0,0
2023112601,2023-11-26,1,4,17,CIN,PIT,1,10,100,0,0,(4:17) 61-C.FORD REPORTED IN AS ELIGIBLE.  28-J.MIXON RIGHT GUARD TO PIT 48 FOR 2 YARDS (97-C.HEYWARD).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,0,OPP,0,,0,,0,12,643,0,0
