GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CHI,MIN
2023112700,2023-11-27,1,5,53,MIN,CHI,1,10,38,0,0,(5:53) 15-J.DOBBS PASS INCOMPLETE DEEP MIDDLE TO 3-J.ADDISON (4-E.JACKSON).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,12,547,0,0
2023112700,2023-11-27,1,5,53,MIN,CHI,0,0,100,1,0,TIMEOUT AT 05:53.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,547,0,0
2023112700,2023-11-27,1,5,45,MIN,CHI,2,10,38,0,0,(5:45) 32-T.CHANDLER LEFT END TO MIN 39 FOR 1 YARD (53-T.EDWARDS).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,38,OWN,0,,0,,0,12,555,0,0
2023112700,2023-11-27,1,5,6,MIN,CHI,3,9,39,0,0,(5:06) (SHOTGUN) 15-J.DOBBS SACKED AT MIN 31 FOR -8 YARDS (98-M.SWEAT).,0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,12,594,0,0
2023112700,2023-11-27,1,4,20,MIN,CHI,4,17,31,0,0,"(4:20) 14-R.WRIGHT PUNTS 43 YARDS TO CHI 26, CENTER-42-A.DEPAOLA. 15-T.TAYLOR TO CHI 26 FOR NO GAIN (11-N.THOMPSON).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,12,640,0,0
2023112700,2023-11-27,1,4,14,MIN,CHI,0,0,100,1,0,TIMEOUT AT 04:14.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,646,0,0
2023112700,2023-11-27,1,4,14,CHI,MIN,1,10,26,1,0,(4:14) (SHOTGUN) 1-J.FIELDS RIGHT END RAN OB AT CHI 40 FOR 14 YARDS (5-M.BLACKMON).,0,2023,14,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,26,OWN,0,,0,,0,12,646,0,0
2023112700,2023-11-27,1,3,41,CHI,MIN,1,10,40,1,0,(3:41) (SHOTGUN) 1-J.FIELDS PASS SHORT LEFT TO 23-R.JOHNSON TO MIN 38 FOR 22 YARDS (5-M.BLACKMON).,0,2023,22,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,12,679,0,0
2023112700,2023-11-27,1,2,56,CHI,MIN,1,10,62,0,0,(2:56) (SHOTGUN) 1-J.FIELDS SACKED AT 50 FOR -12 YARDS (SACK SPLIT BY 44-J.METELLUS AND 99-D.HUNTER).,0,2023,-12,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,12,724,0,0
2023112700,2023-11-27,1,2,9,CHI,MIN,2,22,100,0,0,"(2:09) (SHOTGUN) PENALTY ON CHI, OFFENSIVE TOO MANY MEN ON FIELD, 5 YARDS, ENFORCED AT 50 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,0,OPP,1,CHI,1,OFFENSIVE TOO MANY MEN ON FIELD,5,12,771,0,0
