GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,SF,SEA
2023112302,2023-11-23,1,9,11,SEA,SF,4,9,68,0,0,"(9:11) 5-J.MYERS 51 YARD FIELD GOAL IS GOOD, CENTER-41-C.STOLL, HOLDER-4-M.DICKSON.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,12,349,0,0
2023112302,2023-11-23,1,9,7,SEA,SF,0,0,100,1,0,TIMEOUT AT 09:07.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,353,0,0
2023112302,2023-11-23,1,9,7,SF,SEA,0,0,65,1,0,5-J.MYERS KICKS 66 YARDS FROM SEA 35 TO SF -1. 3-R.MCCLOUD TO SF 22 FOR 23 YARDS (44-N.BELLORE).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,12,353,0,0
2023112302,2023-11-23,1,9,2,SF,SEA,1,10,22,0,0,"(9:02) 23-C.MCCAFFREY LEFT GUARD TO SF 24 FOR 2 YARDS (53-B.MAFE, 56-J.BROOKS).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,22,OWN,0,,0,,0,12,358,0,0
2023112302,2023-11-23,1,8,22,SF,SEA,2,8,24,1,0,(8:22) (SHOTGUN) 13-B.PURDY PASS SHORT LEFT TO 19-D.SAMUEL TO SF 46 FOR 22 YARDS (56-J.BROOKS) [99-L.WILLIAMS].,0,2023,22,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,12,398,0,0
2023112302,2023-11-23,1,7,47,SF,SEA,1,10,46,1,0,(7:47) 13-B.PURDY PASS DEEP LEFT TO 19-D.SAMUEL TO SEA 30 FOR 24 YARDS (20-J.LOVE).,0,2023,24,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,12,433,0,0
2023112302,2023-11-23,1,7,1,SF,SEA,1,10,70,0,0,"(7:01) 23-C.MCCAFFREY UP THE MIDDLE TO SEA 18 FOR 12 YARDS (22-T.BROWN, 56-J.BROOKS). PENALTY ON SF-15-J.JENNINGS, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT SEA 28.",0,2023,12,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,CENTER,30,OPP,1,SF,0,OFFENSIVE HOLDING,10,12,479,0,0
2023112302,2023-11-23,1,6,30,SF,SEA,0,0,100,1,0,TIMEOUT #1 BY SF AT 06:30.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,510,0,0
2023112302,2023-11-23,1,6,30,SF,SEA,1,18,62,0,0,(6:30) (SHOTGUN) 13-B.PURDY PASS SHORT MIDDLE TO 23-C.MCCAFFREY TO SEA 34 FOR 4 YARDS (56-J.BROOKS).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,12,510,0,0
2023112302,2023-11-23,1,5,55,SF,SEA,2,14,66,0,0,(5:55) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE DEEP RIGHT TO 15-J.JENNINGS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,12,545,0,0
