GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NE,NYG
2023112604,2023-11-26,1,0,9,NE,NYG,2,7,35,0,0,(:09) 10-M.JONES PASS DEEP LEFT INTENDED FOR 81-D.DOUGLAS INTERCEPTED BY 25-D.BANKS AT NYG 43. 25-D.BANKS RAN OB AT NYG 43 FOR NO GAIN.,0,2023,0,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,1,0,0,0,0,,35,OWN,0,,0,,0,12,891,0,0
2023112604,2023-11-26,1,0,3,NYG,NE,1,10,43,1,0,(:03) 26-S.BARKLEY RIGHT END TO NE 38 FOR 19 YARDS (26-S.WADE; 5-J.PEPPERS).,0,2023,19,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,43,OWN,0,,0,,0,12,897,0,0
2023112604,2023-11-26,2,15,0,NYG,NE,1,10,62,0,0,(15:00) (SHOTGUN) 15-T.DEVITO PASS INCOMPLETE DEEP LEFT TO 3-S.SHEPARD.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,12,900,0,0
2023112604,2023-11-26,1,0,0,NYG,NE,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,900,0,0
2023112604,2023-11-26,2,14,55,NYG,NE,2,10,62,0,0,(14:55) 26-S.BARKLEY RIGHT TACKLE TO NE 35 FOR 3 YARDS (33-A.JENNINGS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,38,OPP,0,,0,,0,12,905,0,0
2023112604,2023-11-26,2,14,17,NYG,NE,3,7,65,0,0,(14:17) (SHOTGUN) 15-T.DEVITO PASS INCOMPLETE SHORT RIGHT TO 3-S.SHEPARD (3-M.WILSON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,12,943,0,0
2023112604,2023-11-26,2,14,13,NYG,NE,4,7,65,0,0,"(14:13) (SHOTGUN) PENALTY ON NYG, DELAY OF GAME, 5 YARDS, ENFORCED AT NE 35 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,35,OPP,1,NYG,1,DELAY OF GAME,5,12,947,0,0
2023112604,2023-11-26,2,14,13,NYG,NE,4,12,60,0,0,"(14:13) 6-J.GILLAN PUNTS 31 YARDS TO NE 9, CENTER-59-C.KREITER, FAIR CATCH BY 81-D.DOUGLAS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,12,947,0,0
2023112604,2023-11-26,2,14,6,NYG,NE,0,0,100,1,0,TIMEOUT AT 14:06.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,954,0,0
2023112604,2023-11-26,2,14,6,NE,NYG,1,10,9,0,0,(14:06) (SHOTGUN) 10-M.JONES PASS SHORT LEFT TO 15-E.ELLIOTT TO NE 10 FOR 1 YARD (41-M.MCFADDEN).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,9,OWN,0,,0,,0,12,954,0,0
2023112604,2023-11-26,2,13,24,NE,NYG,2,9,10,0,0,(13:24) (SHOTGUN) 10-M.JONES PASS INCOMPLETE SHORT LEFT TO 88-M.GESICKI.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,10,OWN,0,,0,,0,12,996,0,0
2023112604,2023-11-26,2,13,20,NE,NYG,3,9,10,0,0,(13:20) (SHOTGUN) 15-E.ELLIOTT LEFT TACKLE TO NE 18 FOR 8 YARDS (19-I.SIMMONS).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,10,OWN,0,,0,,0,12,1000,0,0
2023112604,2023-11-26,2,13,20,NE,NYG,0,0,100,1,0,TIMEOUT #1 BY NE AT 13:20.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,1000,0,0
2023112604,2023-11-26,2,12,41,NE,NYG,4,1,18,0,0,"(12:41) 17-B.BARINGER PUNTS 39 YARDS TO NYG 43, CENTER-49-J.CARDONA. 44-N.MCCLOUD MUFFS CATCH, TOUCHED AT NYG 42, AND RECOVERS AT NYG 42.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,12,1039,0,0
2023112604,2023-11-26,2,12,30,NYG,NE,0,0,100,1,0,TIMEOUT AT 12:30.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,1050,0,0
2023112604,2023-11-26,2,12,30,NYG,NE,1,10,42,0,0,(12:30) (SHOTGUN) 15-T.DEVITO PASS INCOMPLETE DEEP RIGHT TO 13-J.HYATT (29-J.JACKSON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,12,1050,0,0
2023112604,2023-11-26,2,12,24,NYG,NE,2,10,42,0,0,(12:24) 26-S.BARKLEY RIGHT TACKLE TO NYG 42 FOR NO GAIN (23-K.DUGGER).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,42,OWN,0,,0,,0,12,1056,0,0
2023112604,2023-11-26,2,11,48,NYG,NE,3,10,42,0,0,"(11:48) (SHOTGUN) 15-T.DEVITO SCRAMBLES UP THE MIDDLE TO NYG 47 FOR 5 YARDS (2-J.MILLS, 99-K.WHITE).",0,2023,5,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,12,1092,0,0
2023112604,2023-11-26,2,11,12,NYG,NE,4,5,47,0,0,"(11:12) 6-J.GILLAN PUNTS 37 YARDS TO NE 16, CENTER-59-C.KREITER, FAIR CATCH BY 81-D.DOUGLAS. PENALTY ON NE-99-K.WHITE, UNNECESSARY ROUGHNESS, 8 YARDS, ENFORCED AT NE 16.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,47,OWN,1,NE,0,UNNECESSARY ROUGHNESS,8,12,1128,0,0
2023112604,2023-11-26,2,11,3,NYG,NE,0,0,100,1,0,TIMEOUT AT 11:03.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,1137,0,0
2023112604,2023-11-26,2,11,3,NE,NYG,1,10,8,0,0,(11:03) 10-M.JONES PASS SHORT LEFT TO 80-K.BOUTTE PUSHED OB AT NE 16 FOR 8 YARDS (25-D.BANKS).,0,2023,8,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,8,OWN,0,,0,,0,12,1137,0,0
2023112604,2023-11-26,2,10,36,NE,NYG,2,2,16,1,0,(10:36) 38-R.STEVENSON UP THE MIDDLE TO NE 31 FOR 15 YARDS (29-X.MCKINNEY).,0,2023,15,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,16,OWN,0,,0,,0,12,1164,0,0
2023112604,2023-11-26,2,9,56,NE,NYG,1,10,31,0,0,(9:56) (SHOTGUN) 10-M.JONES PASS SHORT RIGHT TO 81-D.DOUGLAS TO NE 34 FOR 3 YARDS (29-X.MCKINNEY).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,12,1204,0,0
2023112604,2023-11-26,2,9,14,NE,NYG,2,7,34,0,0,(9:14) 38-R.STEVENSON RIGHT END TO NE 36 FOR 2 YARDS (98-D.DAVIDSON).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,34,OWN,0,,0,,0,12,1246,0,0
2023112604,2023-11-26,2,8,29,NE,NYG,3,5,36,1,0,(8:29) (SHOTGUN) 10-M.JONES PASS SHORT LEFT TO 81-D.DOUGLAS PUSHED OB AT NE 45 FOR 9 YARDS (25-D.BANKS).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,12,1291,0,0
2023112604,2023-11-26,2,8,0,NE,NYG,1,10,45,1,0,(8:00) (SHOTGUN) 10-M.JONES PASS SHORT LEFT TO 81-D.DOUGLAS TO NYG 41 FOR 14 YARDS (29-X.MCKINNEY).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,12,1320,0,0
2023112604,2023-11-26,2,7,27,NE,NYG,1,10,59,0,0,(7:27) 38-R.STEVENSON RIGHT END TO NYG 40 FOR 1 YARD (58-B.OKEREKE).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,41,OPP,0,,0,,0,12,1353,0,0
2023112604,2023-11-26,2,6,42,NE,NYG,2,9,60,0,0,(6:42) (SHOTGUN) 10-M.JONES PASS SHORT LEFT TO 38-R.STEVENSON TO NYG 46 FOR -6 YARDS (5-K.THIBODEAUX).,0,2023,-6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,12,1398,0,0
