GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,ARI,LA
2023112606,2023-11-26,1,9,30,ARI,LA,2,6,40,0,0,"(9:30) (NO HUDDLE, SHOTGUN) 1-K.MURRAY PASS SHORT LEFT TO 6-J.CONNER TO ARI 39 FOR -1 YARDS (0-B.YOUNG).",0,2023,-1,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,330,0,0
2023112606,2023-11-26,1,8,50,ARI,LA,3,7,39,1,0,(8:50) (SHOTGUN) 1-K.MURRAY PASS SHORT MIDDLE TO 2-M.BROWN PUSHED OB AT LAR 44 FOR 17 YARDS (44-A.WITHERSPOON).,0,2023,17,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,370,0,0
2023112606,2023-11-26,1,8,13,ARI,LA,1,10,56,1,0,(8:13) 1-K.MURRAY PASS SHORT LEFT TO 85-T.MCBRIDE TO LAR 32 FOR 12 YARDS (59-T.REEDER).,0,2023,12,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,407,0,0
2023112606,2023-11-26,1,7,29,ARI,LA,1,10,68,1,0,(7:29) 1-K.MURRAY PASS SHORT RIGHT TO 83-G.DORTCH TO LAR 18 FOR 14 YARDS (1-D.KENDRICK).,0,2023,14,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,451,0,0
2023112606,2023-11-26,1,6,48,ARI,LA,1,10,82,0,0,(6:48) (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE DEEP RIGHT TO 6-J.CONNER.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,492,0,0
2023112606,2023-11-26,1,6,44,ARI,LA,2,10,82,1,0,(6:44) (SHOTGUN) 6-J.CONNER RIGHT END TO LAR 4 FOR 14 YARDS (43-J.JOHNSON; 92-J.WILLIAMS).,0,2023,14,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,18,OPP,0,,0,,0,496,0,0
2023112606,2023-11-26,1,6,2,ARI,LA,1,4,96,0,0,"(6:02) (SHOTGUN) 1-K.MURRAY SACKED AT LAR 9 FOR -5 YARDS (97-M.HOECHT). PENALTY ON LAR-53-E.JONES, DEFENSIVE HOLDING, 2 YARDS, ENFORCED AT LAR 4 - NO PLAY.",0,2023,-5,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,1,0,0,,4,OPP,1,LAR,1,DEFENSIVE HOLDING,2,538,0,0
2023112606,2023-11-26,1,5,41,ARI,LA,1,2,98,0,0,(5:41) (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE SHORT RIGHT TO 85-T.MCBRIDE (53-E.JONES).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,2,OPP,0,,0,,0,559,0,0
2023112606,2023-11-26,1,5,37,ARI,LA,2,2,98,0,0,(5:37) 6-J.CONNER UP THE MIDDLE TO LAR 2 FOR NO GAIN (53-E.JONES; 91-K.TURNER).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,2,OPP,0,,0,,0,563,0,0
2023112606,2023-11-26,1,4,54,ARI,LA,3,2,98,1,0,"(4:54) (SHOTGUN) 1-K.MURRAY RIGHT END FOR 2 YARDS, TOUCHDOWN.",0,2023,2,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT END,2,OPP,0,,0,,0,606,0,0
