GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,IND,TB
2023112603,2023-11-26,1,8,51,TB,IND,0,0,100,1,0,TIMEOUT AT 08:51.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,369,0,0
2023112603,2023-11-26,1,8,39,TB,IND,2,1,99,0,0,"(8:39) (SHOTGUN) PENALTY ON TB-64-A.STINNIE, FALSE START, 4 YARDS, ENFORCED AT IND 1 - NO PLAY. 2-K.TRASK IN AT QB FOR TB.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,1,OPP,1,TB,1,FALSE START,4,381,0,0
2023112603,2023-11-26,1,8,15,TB,IND,2,5,95,0,0,(8:15) (SHOTGUN) 1-R.WHITE UP THE MIDDLE TO IND 3 FOR 2 YARDS (52-S.EBUKAM; 93-E.JOHNSON).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,5,OPP,0,,0,,0,405,0,0
2023112603,2023-11-26,1,7,36,TB,IND,3,3,97,0,0,(7:36) (SHOTGUN) 2-K.TRASK PASS INCOMPLETE SHORT RIGHT TO 14-C.GODWIN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,3,OPP,0,,0,,0,444,0,0
2023112603,2023-11-26,1,7,31,TB,IND,4,3,97,0,0,"(7:31) 4-C.MCLAUGHLIN 21 YARD FIELD GOAL IS GOOD, CENTER-97-Z.TRINER, HOLDER-5-J.CAMARDA.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,3,OPP,0,,0,,0,449,0,0
2023112603,2023-11-26,1,7,28,IND,TB,0,0,65,1,0,"5-J.CAMARDA KICKS 61 YARDS FROM TB 35 TO IND 4, FAIR CATCH BY 6-I.MCKENZIE.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,452,0,0
2023112603,2023-11-26,1,7,28,IND,TB,0,0,100,1,0,TIMEOUT AT 07:28.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,452,0,0
2023112603,2023-11-26,1,7,28,IND,TB,1,10,25,0,0,(7:28) (SHOTGUN) 10-G.MINSHEW PASS SHORT LEFT TO 1-J.DOWNS TO IND 34 FOR 9 YARDS (45-D.WHITE).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,452,0,0
2023112603,2023-11-26,1,6,54,IND,TB,2,1,34,1,0,"(6:54) (NO HUDDLE, SHOTGUN) 10-G.MINSHEW PASS SHORT LEFT TO 11-M.PITTMAN TO IND 45 FOR 11 YARDS (45-D.WHITE, 27-Z.MCCOLLUM).",0,2023,11,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,486,0,0
2023112603,2023-11-26,1,6,14,IND,TB,1,10,45,0,0,"(6:14) (SHOTGUN) 10-G.MINSHEW PASS INCOMPLETE DEEP MIDDLE TO 11-M.PITTMAN [7-S.BARRETT]. PENALTY ON TB-24-C.DAVIS, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT IND 45 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,1,0,0,,45,OWN,1,TB,1,DEFENSIVE HOLDING,5,526,0,0
2023112603,2023-11-26,1,6,8,IND,TB,1,10,100,0,0,(6:08) (SHOTGUN) 10-G.MINSHEW PASS SHORT RIGHT TO 14-A.PIERCE TO TB 42 FOR 8 YARDS (8-S.DENNIS).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,532,0,0
