GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LA,SF,Week
2024010710,2024-01-07,1,7,27,LA,SF,0,0,65,1,0,"4-J.MOODY KICKS 62 YARDS FROM SF 35 TO LAR 3, FAIR CATCH BY 81-A.TRAMMELL.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,453,0,0,18
2024010710,2024-01-07,1,7,27,LA,SF,1,10,75,0,0,"(7:27) (SHOTGUN) 20-R.RIVERS UP THE MIDDLE TO LAR 30 FOR 5 YARDS (7-C.WARD, 48-O.BURKS).",0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OPP,0,,0,,0,453,0,0,18
2024010710,2024-01-07,1,7,0,LA,SF,2,5,70,1,0,"(7:00) (NO HUDDLE, SHOTGUN) 11-C.WENTZ PASS SHORT RIGHT TO 87-D.ALLEN PUSHED OB AT LAR 39 FOR 9 YARDS (7-C.WARD).",0,2023,9,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,480,0,0,18
2024010710,2024-01-07,1,6,26,LA,SF,1,10,61,0,0,"(6:26) (NO HUDDLE, SHOTGUN) 11-C.WENTZ PASS SHORT MIDDLE TO 17-P.NACUA TO LAR 48 FOR 9 YARDS (7-C.WARD).",0,2023,9,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,514,0,0,18
2024010710,2024-01-07,1,5,59,LA,SF,2,1,52,1,0,"(5:59) 20-R.RIVERS UP THE MIDDLE TO SF 42 FOR 10 YARDS (2-D.LENOIR, 41-T.HAWKINS).",0,2023,10,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,48,OPP,0,,0,,0,541,0,0,18
2024010710,2024-01-07,1,5,31,LA,SF,1,10,58,0,0,"(5:31) (NO HUDDLE, SHOTGUN) 11-C.WENTZ SCRAMBLES UP THE MIDDLE TO SF 40 FOR 2 YARDS (99-J.KINLAW).",0,2023,2,NO HUDDLE SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,569,0,0,18
2024010710,2024-01-07,1,4,47,LA,SF,2,8,60,0,0,(4:47) (SHOTGUN) 20-R.RIVERS UP THE MIDDLE TO SF 35 FOR 5 YARDS (26-I.OLIVER).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,40,OPP,0,,0,,0,613,0,0,18
2024010710,2024-01-07,1,4,7,LA,SF,3,3,65,0,0,(4:07) (SHOTGUN) 20-R.RIVERS RIGHT GUARD TO SF 34 FOR 1 YARD (97-N.BOSA; 48-O.BURKS).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,35,OPP,0,,0,,0,653,0,0,18
2024010710,2024-01-07,1,3,25,LA,SF,4,2,66,1,0,(3:25) (SHOTGUN) 11-C.WENTZ PASS SHORT RIGHT TO 87-D.ALLEN TO SF 24 FOR 10 YARDS (33-L.RYAN).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,695,0,0,18
2024010710,2024-01-07,1,2,46,LA,SF,1,10,76,0,0,(2:46) 11-C.WENTZ PASS INCOMPLETE SHORT RIGHT TO 17-P.NACUA.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,734,0,0,18
2024010710,2024-01-07,1,2,41,LA,SF,2,10,76,0,0,(2:41) (SHOTGUN) 11-C.WENTZ RIGHT GUARD TO SF 19 FOR 5 YARDS (7-C.WARD).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,24,OPP,0,,0,,0,739,0,0,18
2024010710,2024-01-07,1,1,59,LA,SF,3,5,81,0,0,"(1:59) (SHOTGUN) 11-C.WENTZ PASS DEEP RIGHT TO 17-P.NACUA FOR 19 YARDS, TOUCHDOWN. PENALTY ON SF-7-C.WARD, DEFENSIVE PASS INTERFERENCE, DECLINED.",0,2023,19,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,1,0,0,,19,OPP,0,SF,0,DEFENSIVE PASS INTERFERENCE,0,781,0,0,18
2024010710,2024-01-07,1,1,53,LA,SF,0,0,85,1,0,"8-B.MAHER EXTRA POINT IS GOOD, CENTER-46-C.TINKER, HOLDER-42-E.EVANS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,787,0,0,18
