GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CAR,TB,Week
2024010705,2024-01-07,1,2,34,TB,CAR,1,10,24,0,0,(2:34) 22-C.EDMONDS LEFT TACKLE TO TB 32 FOR 8 YARDS (95-DER.BROWN).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,24,OWN,0,,0,,0,746,0,0,18
2024010705,2024-01-07,1,1,57,TB,CAR,2,2,32,1,0,(1:57) 14-C.GODWIN RIGHT END TO TB 36 FOR 4 YARDS (54-K.GRUGIER-HILL).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,32,OWN,0,,0,,0,783,0,0,18
2024010705,2024-01-07,1,1,18,TB,CAR,1,10,36,0,0,"(1:18) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT LEFT TO 14-C.GODWIN. PENALTY ON TB-64-A.STINNIE, INELIGIBLE DOWNFIELD PASS, 5 YARDS, ENFORCED AT TB 36 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,36,OWN,1,TB,1,INELIGIBLE DOWNFIELD PASS,5,822,0,0,18
2024010705,2024-01-07,1,1,14,TB,CAR,1,15,31,0,0,(1:14) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE DEEP RIGHT TO 10-T.PALMER.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,826,0,0,18
2024010705,2024-01-07,1,1,8,TB,CAR,2,15,31,0,0,"(1:08) (SHOTGUN) 6-B.MAYFIELD PASS SHORT MIDDLE TO 10-T.PALMER TO TB 35 FOR 4 YARDS (49-F.LUVU). FUMBLES (49-F.LUVU), TOUCHED AT TB 35, RECOVERED BY TB-70-R.HAINSEY AT TB 35. 70-R.HAINSEY TO TB 37 FOR 2 YARDS (25-X.WOODS).",0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,,31,OWN,0,,0,,0,832,0,0,18
2024010705,2024-01-07,1,0,26,TB,CAR,3,9,37,0,0,(:26) (SHOTGUN) 6-B.MAYFIELD SACKED AT TB 30 FOR -7 YARDS (97-Y.GROSS-MATOS).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,874,0,0,18
2024010705,2024-01-07,1,0,18,TB,CAR,4,16,30,0,0,"(:18) 5-J.CAMARDA PUNTS 40 YARDS TO CAR 30, CENTER-97-Z.TRINER, DOWNED BY TB-19-D.MOORE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,882,0,0,18
2024010705,2024-01-07,1,0,18,TB,CAR,0,0,100,1,0,TIMEOUT #1 BY CAR AT 00:18.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,882,0,0,18
2024010705,2024-01-07,2,12,18,TB,CAR,1,10,20,0,0,(12:18) (SHOTGUN) 6-B.MAYFIELD PASS SHORT MIDDLE TO 10-T.PALMER TO TB 26 FOR 6 YARDS (49-F.LUVU).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,1062,0,0,18
2024010705,2024-01-07,2,11,42,TB,CAR,2,4,26,0,0,(11:42) (SHOTGUN) 1-R.WHITE UP THE MIDDLE TO TB 27 FOR 1 YARD (96-D.WILLIAMS).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,26,OWN,0,,0,,0,1098,0,0,18
2024010705,2024-01-07,2,11,3,TB,CAR,3,3,27,0,0,(11:03) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE DEEP RIGHT TO 13-M.EVANS [49-F.LUVU].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,1137,0,0,18
2024010705,2024-01-07,2,10,58,TB,CAR,4,3,27,0,0,"(10:58) 5-J.CAMARDA PUNTS 60 YARDS TO CAR 13, CENTER-97-Z.TRINER. 11-I.SMITH-MARSETTE TO CAR 21 FOR 8 YARDS (19-D.MOORE; 32-J.HAYES).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,1142,0,0,18
2024010705,2024-01-07,2,9,13,TB,CAR,1,10,29,0,0,(9:13) 1-R.WHITE LEFT TACKLE TO TB 33 FOR 4 YARDS (99-S.TUTTLE).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,29,OWN,0,,0,,0,1247,0,0,18
2024010705,2024-01-07,2,8,29,TB,CAR,2,6,33,1,0,(8:29) 1-R.WHITE LEFT TACKLE TO TB 46 FOR 13 YARDS (25-X.WOODS).,0,2023,13,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,33,OWN,0,,0,,0,1291,0,0,18
2024010705,2024-01-07,2,7,48,TB,CAR,1,10,46,0,0,(7:48) 1-R.WHITE RIGHT TACKLE TO CAR 45 FOR 9 YARDS (93-L.RAY; 54-K.GRUGIER-HILL).,0,2023,9,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,46,OWN,0,,0,,0,1332,0,0,18
2024010705,2024-01-07,2,7,6,TB,CAR,2,1,55,1,0,(7:06) 6-B.MAYFIELD PASS SHORT RIGHT TO 88-C.OTTON PUSHED OB AT CAR 25 FOR 20 YARDS (8-J.HORN).,0,2023,20,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,1374,0,0,18
2024010705,2024-01-07,2,6,26,TB,CAR,1,10,75,0,0,(6:26) 6-B.MAYFIELD PASS SHORT RIGHT TO 22-C.EDMONDS TO CAR 28 FOR -3 YARDS (25-X.WOODS).,0,2023,-3,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,1414,0,0,18
2024010705,2024-01-07,2,5,40,TB,CAR,2,13,72,0,0,(5:40) 1-R.WHITE RIGHT GUARD TO CAR 24 FOR 4 YARDS (95-DER.BROWN).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,28,OPP,0,,0,,0,1460,0,0,18
2024010705,2024-01-07,2,4,59,TB,CAR,3,9,76,0,0,(4:59) (SHOTGUN) 6-B.MAYFIELD PASS SHORT LEFT TO 14-C.GODWIN TO CAR 18 FOR 6 YARDS (8-J.HORN).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,1501,0,0,18
2024010705,2024-01-07,2,4,17,TB,CAR,4,3,82,0,0,"(4:17) 4-C.MCLAUGHLIN 36 YARD FIELD GOAL IS GOOD, CENTER-97-Z.TRINER, HOLDER-5-J.CAMARDA.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,1543,0,0,18
2024010705,2024-01-07,2,2,13,TB,CAR,1,10,26,0,0,"(2:13) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT MIDDLE TO 13-M.EVANS (8-J.HORN, 95-DER.BROWN) [95-DER.BROWN].",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,1667,0,0,18
2024010705,2024-01-07,2,2,9,TB,CAR,2,10,26,0,0,(2:09) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT LEFT TO 13-M.EVANS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,1671,0,0,18
2024010705,2024-01-07,2,2,5,TB,CAR,3,10,26,0,0,(2:05) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT MIDDLE TO 10-T.PALMER (40-D.JONES).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,1675,0,0,18
2024010705,2024-01-07,2,2,1,TB,CAR,4,10,26,0,0,"(2:01) 5-J.CAMARDA PUNTS 74 YARDS TO END ZONE, CENTER-97-Z.TRINER, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,1679,0,0,18
2024010705,2024-01-07,2,1,11,TB,CAR,1,10,44,0,0,(1:11) 6-B.MAYFIELD PASS SHORT MIDDLE TO 14-C.GODWIN TO CAR 49 FOR 7 YARDS (49-F.LUVU; 40-D.JONES).,0,2023,7,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,1729,0,0,18
