GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,IND,HOU,Week
2024010601,2024-01-06,1,0,0,HOU,IND,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0,18
2024010601,2024-01-06,2,15,0,HOU,IND,4,3,54,0,0,"(15:00) 11-C.JOHNSTON PUNTS 45 YARDS TO IND 1, CENTER-46-J.WEEKS, DOWNED BY HOU-37-D.ROSS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,900,0,0,18
2024010601,2024-01-06,2,11,11,HOU,IND,1,10,30,0,0,(11:11) 26-D.SINGLETARY LEFT GUARD TO HOU 31 FOR 1 YARD (50-S.OLUBI).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,30,OWN,0,,0,,0,1129,0,0,18
2024010601,2024-01-06,2,10,34,HOU,IND,2,9,31,0,0,(10:34) (SHOTGUN) 7-C.STROUD PASS SHORT RIGHT TO 8-J.METCHIE TO HOU 36 FOR 5 YARDS (23-K.MOORE).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,1166,0,0,18
2024010601,2024-01-06,2,9,53,HOU,IND,3,4,36,1,0,(9:53) (SHOTGUN) 7-C.STROUD PASS SHORT MIDDLE TO 86-D.SCHULTZ TO HOU 41 FOR 5 YARDS (45-E.SPEED).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,1207,0,0,18
2024010601,2024-01-06,2,9,14,HOU,IND,1,10,41,0,0,(9:14) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT LEFT TO 86-D.SCHULTZ.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,1246,0,0,18
2024010601,2024-01-06,2,9,9,HOU,IND,2,10,41,0,0,(9:09) (SHOTGUN) 26-D.SINGLETARY UP THE MIDDLE TO HOU 44 FOR 3 YARDS (90-G.STEWART; 44-Z.FRANKLIN).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,41,OWN,0,,0,,0,1251,0,0,18
2024010601,2024-01-06,2,8,30,HOU,IND,3,7,44,0,0,(8:30) (SHOTGUN) 7-C.STROUD PASS SHORT MIDDLE TO 19-X.HUTCHINSON TO 50 FOR 6 YARDS (23-K.MOORE).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,1290,0,0,18
2024010601,2024-01-06,2,7,58,HOU,IND,4,1,100,0,0,"(7:58) (NO HUDDLE) PENALTY ON HOU-78-L.TUNSIL, FALSE START, 5 YARDS, ENFORCED AT 50 - NO PLAY.",0,2023,0,NO HUDDLE,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,0,OPP,1,HOU,1,FALSE START,5,1322,0,0,18
2024010601,2024-01-06,2,7,58,HOU,IND,4,6,45,0,0,"(7:58) 11-C.JOHNSTON PUNTS 44 YARDS TO IND 11, CENTER-46-J.WEEKS, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,1322,0,0,18
2024010601,2024-01-06,2,6,23,HOU,IND,1,10,43,0,0,(6:23) 26-D.SINGLETARY RIGHT END TO 50 FOR 7 YARDS (44-Z.FRANKLIN).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,43,OWN,0,,0,,0,1417,0,0,18
2024010601,2024-01-06,2,5,41,HOU,IND,2,3,100,1,0,(5:41) 7-C.STROUD PASS SHORT LEFT TO 81-E.SAUBERT TO IND 45 FOR 5 YARDS (50-S.OLUBI).,0,2023,5,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1459,0,0,18
2024010601,2024-01-06,2,5,4,HOU,IND,1,10,55,0,0,(5:04) 26-D.SINGLETARY UP THE MIDDLE TO IND 39 FOR 6 YARDS (50-S.OLUBI).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,45,OPP,0,,0,,0,1496,0,0,18
