GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BUF,MIA
2024010713,2024-01-07,1,7,35,BUF,MIA,3,1,88,1,0,"(7:35) 17-J.ALLEN LEFT GUARD TO MIA 8 FOR 4 YARDS (45-D.RILEY, 5-J.RAMSEY).",0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,12,OPP,0,,0,,0,18,445,0,0
2024010713,2024-01-07,1,6,54,BUF,MIA,1,8,92,0,0,(6:54) 5-L.FOURNETTE UP THE MIDDLE TO MIA 5 FOR 3 YARDS (33-E.APPLE; 93-D.HAND).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,8,OPP,0,,0,,0,18,486,0,0
2024010713,2024-01-07,1,6,14,BUF,MIA,2,5,95,0,0,(6:14) 17-J.ALLEN PASS INCOMPLETE SHORT LEFT TO 88-D.KNOX (4-K.KOHOU).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,18,526,0,0
2024010713,2024-01-07,1,6,8,BUF,MIA,3,5,95,1,0,(6:08) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT INTENDED FOR 13-G.DAVIS INTERCEPTED BY 33-E.APPLE AT MIA -5. 33-E.APPLE TO MIA 3 FOR 8 YARDS (13-G.DAVIS).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,1,0,0,0,0,,5,OPP,0,,0,,0,18,532,0,0
2024010713,2024-01-07,1,5,58,MIA,BUF,1,10,3,0,0,"(5:58) (SHOTGUN) 28-D.ACHANE LEFT GUARD TO MIA 2 FOR -1 YARDS (91-E.OLIVER). PENALTY ON BUF-90-S.LAWSON, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT MIA 3 - NO PLAY.",0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT GUARD,3,OWN,1,BUF,1,DEFENSIVE OFFSIDE,5,18,542,0,0
2024010713,2024-01-07,1,5,58,MIA,BUF,0,0,100,1,0,TIMEOUT AT 05:58.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,542,0,0
2024010713,2024-01-07,1,5,32,MIA,BUF,1,5,8,0,0,"(5:32) (SHOTGUN) 28-D.ACHANE LEFT END PUSHED OB AT MIA 14 FOR 6 YARDS (7-TA.JOHNSON). PENALTY ON MIA-72-T.ARMSTEAD, OFFENSIVE HOLDING, 4 YARDS, ENFORCED AT MIA 8 - NO PLAY.",0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT END,8,OWN,1,MIA,1,OFFENSIVE HOLDING,4,18,568,0,0
2024010713,2024-01-07,1,5,18,MIA,BUF,1,9,4,1,0,(5:18) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT RIGHT TO 85-R.CRACRAFT TO MIA 22 FOR 18 YARDS (21-J.POYER).,0,2023,18,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,4,OWN,0,,0,,0,18,582,0,0
2024010713,2024-01-07,1,4,38,MIA,BUF,1,10,22,1,0,(4:38) (SHOTGUN) 1-T.TAGOVAILOA PASS DEEP LEFT TO 10-T.HILL TO MIA 41 FOR 19 YARDS (47-C.BENFORD).,0,2023,19,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,18,622,0,0
2024010713,2024-01-07,1,3,59,MIA,BUF,1,10,41,1,0,(3:59) (SHOTGUN) 28-D.ACHANE RIGHT END PUSHED OB AT BUF 48 FOR 11 YARDS (25-T.DODSON).,0,2023,11,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,41,OWN,0,,0,,0,18,661,0,0
