GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NO,ATL
2024010700,2024-01-07,1,8,42,NO,ATL,1,15,20,0,0,(8:42) (SHOTGUN) 7-T.HILL LEFT GUARD TO NO 24 FOR 4 YARDS (55-K.ELLISS; 95-T.GRAHAM).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,20,OWN,0,,0,,0,18,378,0,0
2024010700,2024-01-07,1,8,42,NO,ATL,1,10,25,0,0,"(8:42) 73-M.GARCIA REPORTED IN AS ELIGIBLE.  PENALTY ON NO-73-M.GARCIA, FALSE START, 5 YARDS, ENFORCED AT NO 25 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,25,OWN,1,NO,1,FALSE START,5,18,378,0,0
2024010700,2024-01-07,1,8,42,NO,ATL,0,0,65,1,0,"13-B.PINION KICKS 65 YARDS FROM ATL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,18,378,0,0
2024010700,2024-01-07,1,8,9,NO,ATL,2,11,24,0,0,"(8:09) 4-D.CARR PASS DEEP LEFT TO 22-R.SHAHEED TO NO 44 FOR 20 YARDS (34-C.PHILLIPS). PENALTY ON ATL-34-C.PHILLIPS, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT NO 44.",0,2023,20,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,1,0,0,,24,OWN,1,ATL,0,UNNECESSARY ROUGHNESS,15,18,411,0,0
2024010700,2024-01-07,1,7,39,NO,ATL,1,10,59,0,0,(7:39) 21-J.WILLIAMS LEFT TACKLE TO ATL 38 FOR 3 YARDS (94-A.HUGGINS; 90-D.ONYEMATA).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,41,OPP,0,,0,,0,18,441,0,0
2024010700,2024-01-07,1,7,2,NO,ATL,2,7,62,1,0,(7:02) (SHOTGUN) 7-T.HILL LEFT GUARD TO ATL 30 FOR 8 YARDS (55-K.ELLISS).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,38,OPP,0,,0,,0,18,478,0,0
2024010700,2024-01-07,1,6,24,NO,ATL,1,10,70,0,0,(6:24) 25-K.MILLER LEFT GUARD TO ATL 21 FOR 9 YARDS (27-R.GRANT).,0,2023,9,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,30,OPP,0,,0,,0,18,516,0,0
2024010700,2024-01-07,1,5,44,NO,ATL,2,1,79,1,0,(5:44) 4-D.CARR PASS SHORT RIGHT TO 7-T.HILL TO ATL 18 FOR 3 YARDS (55-K.ELLISS).,0,2023,3,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,21,OPP,0,,0,,0,18,556,0,0
2024010700,2024-01-07,1,5,7,NO,ATL,1,10,82,1,0,"(5:07) (SHOTGUN) 4-D.CARR PASS DEEP LEFT TO 17-A.PERRY FOR 18 YARDS, TOUCHDOWN.",0,2023,18,SHOTGUN,PASS,0,1,0,1,DEEP LEFT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,18,593,0,0
2024010700,2024-01-07,1,5,1,ATL,NO,1,10,25,0,0,(5:01) (SHOTGUN) 7-B.ROBINSON RIGHT TACKLE TO ATL 29 FOR 4 YARDS (92-T.KPASSAGNON).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,18,599,0,0
2024010700,2024-01-07,1,5,1,ATL,NO,0,0,65,1,0,"19-B.GRUPE KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,18,599,0,0
2024010700,2024-01-07,1,5,1,NO,ATL,0,0,85,1,0,"19-B.GRUPE EXTRA POINT IS GOOD, CENTER-49-Z.WOOD, HOLDER-39-L.HEDLEY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,18,599,0,0
2024010700,2024-01-07,1,5,1,NO,ATL,0,0,100,1,0,TIMEOUT AT 05:01.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,599,0,0
2024010700,2024-01-07,1,4,24,ATL,NO,2,6,29,1,0,"(4:24) (SHOTGUN) 9-D.RIDDER PASS SHORT LEFT TO 7-B.ROBINSON FOR 71 YARDS, TOUCHDOWN.",0,2023,71,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,18,636,0,0
2024010700,2024-01-07,1,4,13,NO,ATL,0,0,100,1,0,TIMEOUT AT 04:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,647,0,0
2024010700,2024-01-07,1,4,13,NO,ATL,1,10,25,0,0,(4:13) 25-K.MILLER RIGHT GUARD TO NO 30 FOR 5 YARDS (94-A.HUGGINS; 27-R.GRANT).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,18,647,0,0
2024010700,2024-01-07,1,4,13,NO,ATL,0,0,65,1,0,"13-B.PINION KICKS 65 YARDS FROM ATL 35 TO END ZONE, TOUCHBACK. ATL-18-M.HOLLINS WAS INJURED DURING THE PLAY.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,18,647,0,0
2024010700,2024-01-07,1,4,13,ATL,NO,0,0,85,1,0,"6-Y.KOO EXTRA POINT IS GOOD, CENTER-49-L.MCCULLOUGH, HOLDER-13-B.PINION.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,18,647,0,0
2024010700,2024-01-07,1,4,13,NO,ATL,0,0,100,1,0,TIMEOUT AT 04:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,647,0,0
2024010700,2024-01-07,1,3,38,NO,ATL,2,5,30,1,0,"(3:38) (SHOTGUN) 7-T.HILL LEFT GUARD TO NO 38 FOR 8 YARDS (93-C.CAMPBELL, 27-R.GRANT).",0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,30,OWN,0,,0,,0,18,682,0,0
2024010700,2024-01-07,1,3,4,NO,ATL,1,10,38,0,0,(3:04) 73-M.GARCIA REPORTED IN AS ELIGIBLE.  4-D.CARR PASS SHORT LEFT TO 21-J.WILLIAMS PUSHED OB AT NO 41 FOR 3 YARDS (17-A.EBIKETIE; 34-C.PHILLIPS).,0,2023,3,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,18,716,0,0
2024010700,2024-01-07,1,2,25,NO,ATL,2,7,41,0,0,(2:25) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT RIGHT TO 22-R.SHAHEED (24-A.TERRELL).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,18,755,0,0
2024010700,2024-01-07,1,2,21,NO,ATL,3,7,41,1,0,(2:21) (SHOTGUN) 4-D.CARR PASS SHORT RIGHT TO 12-C.OLAVE TO ATL 45 FOR 14 YARDS (34-C.PHILLIPS).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,18,759,0,0
2024010700,2024-01-07,1,1,41,NO,ATL,1,10,55,0,0,(1:41) 21-J.WILLIAMS LEFT TACKLE TO ATL 44 FOR 1 YARD (0-L.CARTER).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,45,OPP,0,,0,,0,18,799,0,0
2024010700,2024-01-07,1,1,0,NO,ATL,2,9,56,0,0,(1:00) (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 7-T.HILL TO ATL 36 FOR 8 YARDS (53-N.LANDMAN).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,18,840,0,0
2024010700,2024-01-07,1,0,18,NO,ATL,3,1,64,1,0,(:18) 21-J.WILLIAMS RIGHT GUARD TO ATL 34 FOR 2 YARDS (53-N.LANDMAN; 72-L.LONDON).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,36,OPP,0,,0,,0,18,882,0,0
2024010700,2024-01-07,2,15,0,NO,ATL,1,10,66,0,0,(15:00) 4-D.CARR PASS INCOMPLETE SHORT RIGHT TO 33-J.MIMS (59-A.SMITH).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,18,900,0,0
2024010700,2024-01-07,1,0,0,NO,ATL,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,900,0,0
2024010700,2024-01-07,2,14,54,NO,ATL,2,10,66,0,0,(14:54) 25-K.MILLER LEFT GUARD TO ATL 32 FOR 2 YARDS (21-M.HUGHES).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,34,OPP,0,,0,,0,18,906,0,0
2024010700,2024-01-07,2,14,17,NO,ATL,3,8,68,0,0,"(14:17) (SHOTGUN) 4-D.CARR PASS SHORT MIDDLE TO 7-T.HILL TO ATL 26 FOR 6 YARDS (34-C.PHILLIPS, 27-R.GRANT).",0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,18,943,0,0
2024010700,2024-01-07,2,13,37,NO,ATL,4,2,74,1,0,"(13:37) (SHOTGUN) 4-D.CARR PASS SHORT RIGHT TO 83-J.JOHNSON TO ATL 14 FOR 12 YARDS (59-A.SMITH; 27-R.GRANT). INJURY UPDATE: ATL 55-K.ELLISS, KNEE, QUESTIONABLE TO RETURN.",0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,18,983,0,0
2024010700,2024-01-07,2,13,2,NO,ATL,1,10,86,0,0,(13:02) (SHOTGUN) 4-D.CARR RIGHT GUARD TO ATL 8 FOR 6 YARDS (59-A.SMITH).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,14,OPP,0,,0,,0,18,1018,0,0
2024010700,2024-01-07,2,12,27,NO,ATL,2,4,92,1,0,(12:27) 21-J.WILLIAMS LEFT GUARD TO ATL 4 FOR 4 YARDS (0-L.CARTER; 53-N.LANDMAN).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,8,OPP,0,,0,,0,18,1053,0,0
2024010700,2024-01-07,2,11,49,NO,ATL,1,4,96,0,0,(11:49) 21-J.WILLIAMS RIGHT GUARD TO ATL 3 FOR 1 YARD (59-A.SMITH; 53-N.LANDMAN).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,4,OPP,0,,0,,0,18,1091,0,0
