GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,ARI,SEA
2024010712,2024-01-07,1,15,0,ARI,SEA,0,0,65,1,0,5-J.MYERS KICKS 64 YARDS FROM SEA 35 TO ARI 1. 83-G.DORTCH TO ARI 18 FOR 17 YARDS (39-T.OKADA; 44-N.BELLORE).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,18,0,0,0
2024010712,2024-01-07,1,14,56,ARI,SEA,1,10,18,0,0,(14:56) (SHOTGUN) 6-J.CONNER UP THE MIDDLE TO ARI 18 FOR NO GAIN (54-B.WAGNER; 56-J.BROOKS).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,18,OWN,0,,0,,0,18,4,0,0
2024010712,2024-01-07,1,14,13,ARI,SEA,2,10,18,1,0,(14:13) 1-K.MURRAY PASS SHORT LEFT TO 85-T.MCBRIDE PUSHED OB AT ARI 43 FOR 25 YARDS (6-Q.DIGGS).,0,2023,25,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,18,47,0,0
2024010712,2024-01-07,1,13,30,ARI,SEA,1,10,43,0,0,(13:30) 6-J.CONNER RIGHT TACKLE TO ARI 45 FOR 2 YARDS (55-D.JONES).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,43,OWN,0,,0,,0,18,90,0,0
2024010712,2024-01-07,1,12,50,ARI,SEA,2,8,45,0,0,"(12:50) 6-J.CONNER UP THE MIDDLE PUSHED OB AT SEA 48 FOR 7 YARDS (27-T.WOOLEN, 52-D.TAYLOR).",0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,45,OWN,0,,0,,0,18,130,0,0
2024010712,2024-01-07,1,12,16,ARI,SEA,3,1,52,1,0,(12:16) 15-C.TUNE AT QB. 15-C.TUNE UP THE MIDDLE TO SEA 47 FOR 1 YARD (54-B.WAGNER).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,48,OPP,0,,0,,0,18,164,0,0
2024010712,2024-01-07,1,11,20,ARI,SEA,1,10,53,0,0,(11:20) 1-K.MURRAY AT QB. (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE DEEP LEFT TO 85-T.MCBRIDE (56-J.BROOKS). SEA-56-J.BROOKS WAS INJURED DURING THE PLAY.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,18,220,0,0
2024010712,2024-01-07,1,11,14,ARI,SEA,2,10,53,0,0,(11:14) 1-K.MURRAY PASS INCOMPLETE SHORT MIDDLE [53-B.MAFE].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,18,226,0,0
2024010712,2024-01-07,1,11,14,ARI,SEA,0,0,100,1,0,TIMEOUT AT 11:14.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,226,0,0
2024010712,2024-01-07,1,11,9,ARI,SEA,3,15,48,0,0,(11:09) (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE DEEP LEFT TO 85-T.MCBRIDE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,18,231,0,0
2024010712,2024-01-07,1,11,9,ARI,SEA,3,10,53,0,0,"(11:09) (SHOTGUN) PENALTY ON ARI-65-E.WILKINSON, FALSE START, 5 YARDS, ENFORCED AT SEA 47 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,47,OPP,1,ARI,1,FALSE START,5,18,231,0,0
2024010712,2024-01-07,1,11,5,ARI,SEA,4,15,48,0,0,"(11:05) 12-B.GILLIKIN PUNTS 45 YARDS TO SEA 7, CENTER-46-A.BREWER, DOWNED BY ARI-47-E.TURNER.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,18,235,0,0
2024010712,2024-01-07,1,10,54,SEA,ARI,1,10,7,0,0,(10:54) 9-K.WALKER UP THE MIDDLE TO SEA 8 FOR 1 YARD (3-B.BAKER).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,7,OWN,0,,0,,0,18,246,0,0
2024010712,2024-01-07,1,10,54,ARI,SEA,0,0,100,1,0,TIMEOUT AT 10:54.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,246,0,0
2024010712,2024-01-07,1,10,27,SEA,ARI,2,9,8,1,0,"(10:27) (NO HUDDLE, SHOTGUN) 7-G.SMITH PASS SHORT LEFT TO 14-D.METCALF PUSHED OB AT SEA 18 FOR 10 YARDS (24-S.THOMAS).",0,2023,10,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,8,OWN,0,,0,,0,18,273,0,0
2024010712,2024-01-07,1,9,54,SEA,ARI,1,10,18,1,0,(9:54) 9-K.WALKER LEFT END PUSHED OB AT SEA 30 FOR 12 YARDS (3-B.BAKER).,0,2023,12,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,18,OWN,0,,0,,0,18,306,0,0
2024010712,2024-01-07,1,9,17,SEA,ARI,1,10,30,0,0,"(9:17) (SHOTGUN) 7-G.SMITH PASS SHORT RIGHT TO 19-J.BOBO TO SEA 39 FOR 9 YARDS (45-D.GARDECK, 3-B.BAKER).",0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,18,343,0,0
2024010712,2024-01-07,1,8,38,SEA,ARI,2,1,39,1,0,"(8:38) 9-K.WALKER UP THE MIDDLE TO SEA 42 FOR 3 YARDS (3-B.BAKER, 95-L.FOTU).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,39,OWN,0,,0,,0,18,382,0,0
