GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,TEN,JAX
2024010702,2024-01-07,1,9,45,TEN,JAX,0,0,65,1,0,"10-B.MCMANUS KICKS 64 YARDS FROM JAX 35 TO TEN 1, FAIR CATCH BY 11-C.MOORE.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,18,315,0,0
2024010702,2024-01-07,1,9,45,TEN,JAX,0,0,100,1,0,TIMEOUT AT 09:45.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,315,0,0
2024010702,2024-01-07,1,9,3,TEN,JAX,1,10,37,0,0,(9:03) (SHOTGUN) 17-R.TANNEHILL PASS SHORT RIGHT TO 10-D.HOPKINS RAN OB AT TEN 43 FOR 6 YARDS.,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,18,357,0,0
2024010702,2024-01-07,1,8,26,TEN,JAX,2,4,43,1,0,"(8:26) 22-D.HENRY LEFT END TO TEN 47 FOR 4 YARDS (23-F.OLUOKUN, 95-R.ROBERTSON-HARRIS).",0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,43,OWN,0,,0,,0,18,394,0,0
2024010702,2024-01-07,1,7,46,TEN,JAX,1,10,47,1,0,(7:46) 17-R.TANNEHILL PASS SHORT RIGHT TO 85-C.OKONKWO TO JAX 32 FOR 21 YARDS (33-D.LLOYD).,0,2023,21,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,18,434,0,0
2024010702,2024-01-07,1,6,55,TEN,JAX,1,10,68,0,0,(6:55) (SHOTGUN) 10-D.HOPKINS PASS INCOMPLETE SHORT LEFT TO 17-R.TANNEHILL [91-D.SMOOT].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,18,485,0,0
2024010702,2024-01-07,1,6,49,TEN,JAX,2,10,68,0,0,(6:49) (SHOTGUN) 17-R.TANNEHILL PASS SHORT LEFT TO 10-D.HOPKINS TO JAX 28 FOR 4 YARDS (26-A.JOHNSON).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,18,491,0,0
2024010702,2024-01-07,1,6,5,TEN,JAX,3,6,72,1,0,"(6:05) (SHOTGUN) 17-R.TANNEHILL PASS SHORT RIGHT TO 32-T.SPEARS FOR 28 YARDS, TOUCHDOWN.",0,2023,28,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,18,535,0,0
2024010702,2024-01-07,1,5,57,TEN,JAX,0,0,85,1,0,"6-N.FOLK EXTRA POINT IS GOOD, CENTER-46-M.COX, HOLDER-13-T.ZENTNER.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,18,543,0,0
2024010702,2024-01-07,1,5,57,TEN,JAX,0,0,100,1,0,TIMEOUT AT 05:57.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,543,0,0
