GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CAR,TB
2024010705,2024-01-07,1,10,22,CAR,TB,2,10,37,0,0,(10:22) 3-R.BLACKSHEAR LEFT END PUSHED OB AT CAR 43 FOR 6 YARDS (54-L.DAVID).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,37,OWN,0,,0,,0,278,0,0
2024010705,2024-01-07,1,9,40,CAR,TB,3,4,43,0,0,(9:40) (SHOTGUN) 9-B.YOUNG SACKED AT CAR 35 FOR -8 YARDS (0-Y.DIABY).,0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,320,0,0
2024010705,2024-01-07,1,8,57,CAR,TB,4,12,35,0,0,"(8:57) 10-J.HEKKER PUNTS 43 YARDS TO TB 22, CENTER-44-J.JANSEN, FAIR CATCH BY 83-D.THOMPKINS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,363,0,0
2024010705,2024-01-07,1,8,50,TB,CAR,1,10,22,0,0,(8:50) 6-B.MAYFIELD PASS SHORT RIGHT TO 1-R.WHITE TO TB 29 FOR 7 YARDS (26-D.JACKSON).,0,2023,7,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,370,0,0
2024010705,2024-01-07,1,8,50,CAR,TB,0,0,100,1,0,TIMEOUT AT 08:50.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,370,0,0
2024010705,2024-01-07,1,8,4,TB,CAR,2,3,29,1,0,(8:04) 1-R.WHITE LEFT TACKLE TO TB 34 FOR 5 YARDS (24-V.BELL; 26-D.JACKSON).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,29,OWN,0,,0,,0,416,0,0
2024010705,2024-01-07,1,7,19,TB,CAR,1,10,34,0,0,(7:19) 1-R.WHITE RIGHT GUARD TO TB 34 FOR NO GAIN (91-N.THURMAN).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,34,OWN,0,,0,,0,461,0,0
2024010705,2024-01-07,1,6,37,TB,CAR,2,10,34,0,0,(6:37) (SHOTGUN) 6-B.MAYFIELD PASS SHORT LEFT TO 1-R.WHITE TO TB 39 FOR 5 YARDS (8-J.HORN).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,503,0,0
2024010705,2024-01-07,1,5,56,TB,CAR,3,5,39,0,0,(5:56) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE DEEP RIGHT TO 13-M.EVANS (25-X.WOODS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,544,0,0
2024010705,2024-01-07,1,5,50,TB,CAR,4,5,39,0,0,"(5:50) 5-J.CAMARDA PUNTS 61 YARDS TO END ZONE, CENTER-97-Z.TRINER, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,550,0,0
2024010705,2024-01-07,1,5,41,CAR,TB,1,10,20,0,0,(5:41) (SHOTGUN) 9-B.YOUNG PASS SHORT LEFT TO 30-C.HUBBARD PUSHED OB AT CAR 28 FOR 8 YARDS (35-J.DEAN).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,559,0,0
2024010705,2024-01-07,1,5,41,CAR,TB,0,0,100,1,0,TIMEOUT AT 05:41.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,559,0,0
2024010705,2024-01-07,1,5,8,CAR,TB,2,2,28,1,0,(5:08) 30-C.HUBBARD UP THE MIDDLE TO CAR 34 FOR 6 YARDS (23-R.NEAL).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,28,OWN,0,,0,,0,592,0,0
2024010705,2024-01-07,1,4,33,CAR,TB,1,10,34,0,0,(4:33) (SHOTGUN) 30-C.HUBBARD LEFT END TO CAR 40 FOR 6 YARDS (90-L.HALL; 54-L.DAVID).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,34,OWN,0,,0,,0,627,0,0
2024010705,2024-01-07,1,3,56,CAR,TB,2,4,40,0,0,(3:56) (SHOTGUN) 30-C.HUBBARD LEFT TACKLE TO CAR 40 FOR NO GAIN (50-V.VEA).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,40,OWN,0,,0,,0,664,0,0
2024010705,2024-01-07,1,3,18,CAR,TB,3,4,40,0,0,(3:18) (SHOTGUN) 30-C.HUBBARD LEFT TACKLE TO CAR 37 FOR -3 YARDS (45-D.WHITE).,0,2023,-3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,40,OWN,0,,0,,0,702,0,0
