GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CIN,CLE
2024010701,2024-01-07,1,10,10,CIN,CLE,0,0,100,1,0,TIMEOUT AT 10:10.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,290,0,0
2024010701,2024-01-07,1,9,37,CIN,CLE,2,8,42,0,0,"(9:37) 30-C.BROWN UP THE MIDDLE TO CIN 41 FOR -1 YARDS (29-C.MITCHELL, 40-M.ADAMS).",0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,42,OWN,0,,0,,0,323,0,0
2024010701,2024-01-07,1,8,59,CIN,CLE,3,9,41,1,0,(8:59) (SHOTGUN) 6-J.BROWNING PASS DEEP MIDDLE TO 15-C.JONES TO CLE 24 FOR 35 YARDS (29-C.MITCHELL).,0,2023,35,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,361,0,0
2024010701,2024-01-07,1,8,13,CIN,CLE,1,10,76,1,0,(8:13) (SHOTGUN) 6-J.BROWNING PASS SHORT RIGHT TO 1-J.CHASE TO CLE 13 FOR 11 YARDS (25-K.HAILASSIE).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,407,0,0
2024010701,2024-01-07,1,7,34,CIN,CLE,1,10,87,0,0,"(7:34) (SHOTGUN) 6-J.BROWNING PASS INCOMPLETE SHORT RIGHT. PENALTY ON CIN-75-O.BROWN, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT CLE 13 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,13,OPP,1,CIN,1,OFFENSIVE HOLDING,10,446,0,0
2024010701,2024-01-07,1,7,26,CIN,CLE,1,20,77,0,0,(7:26) (SHOTGUN) 28-J.MIXON LEFT GUARD TO CLE 10 FOR 13 YARDS (33-R.HICKMAN; 42-T.FIELDS).,0,2023,13,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,23,OPP,0,,0,,0,454,0,0
2024010701,2024-01-07,1,6,44,CIN,CLE,2,7,90,1,0,(6:44) (SHOTGUN) 28-J.MIXON LEFT END PUSHED OB AT CLE 1 FOR 9 YARDS (42-T.FIELDS).,0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,10,OPP,0,,0,,0,496,0,0
2024010701,2024-01-07,1,6,11,CIN,CLE,1,1,99,1,0,"(6:11) 61-C.FORD REPORTED IN AS ELIGIBLE.  28-J.MIXON RIGHT END FOR 1 YARD, TOUCHDOWN.",0,2023,1,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT END,1,OPP,0,,0,,0,529,0,0
2024010701,2024-01-07,1,6,7,CIN,CLE,0,0,85,1,0,"2-E.MCPHERSON EXTRA POINT IS GOOD, CENTER-48-C.ADOMITIS, HOLDER-10-B.ROBBINS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,533,0,0
2024010701,2024-01-07,1,6,7,CLE,CIN,1,10,25,0,0,(6:07) 20-P.STRONG RIGHT END TO CLE 22 FOR -3 YARDS (21-M.HILTON).,0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,25,OWN,0,,0,,0,533,0,0
