GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,PHI,NYG
2024010711,2024-01-07,1,9,52,NYG,PHI,2,2,68,1,0,(9:52) (SHOTGUN) 2-T.TAYLOR PASS SHORT MIDDLE TO 18-I.HODGINS TO PHI 19 FOR 13 YARDS (24-J.BRADBERRY).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,18,308,0,0
2024010711,2024-01-07,1,9,16,NYG,PHI,1,10,81,0,0,(9:16) (SHOTGUN) 2-T.TAYLOR PASS INCOMPLETE SHORT RIGHT TO 86-D.SLAYTON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,19,OPP,0,,0,,0,18,344,0,0
2024010711,2024-01-07,1,9,13,NYG,PHI,2,10,81,1,0,"(9:13) 26-S.BARKLEY RIGHT TACKLE TO PHI 8 FOR 11 YARDS (32-R.BLANKENSHIP, 31-K.BYARD).",0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,19,OPP,0,,0,,0,18,347,0,0
2024010711,2024-01-07,1,8,37,NYG,PHI,1,8,92,0,0,(8:37) (SHOTGUN) 26-S.BARKLEY UP THE MIDDLE TO PHI 8 FOR NO GAIN (95-M.TUIPULOTU; 52-Z.CUNNINGHAM).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,8,OPP,0,,0,,0,18,383,0,0
2024010711,2024-01-07,1,8,5,NYG,PHI,2,8,92,0,0,(8:05) (SHOTGUN) 2-T.TAYLOR SACKED AT PHI 13 FOR -5 YARDS (95-M.TUIPULOTU).,0,2023,-5,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,18,415,0,0
2024010711,2024-01-07,1,7,26,NYG,PHI,3,13,87,0,0,(7:26) (SHOTGUN) 2-T.TAYLOR SCRAMBLES RIGHT TACKLE PUSHED OB AT PHI 6 FOR 7 YARDS (31-K.BYARD).,0,2023,7,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,18,454,0,0
2024010711,2024-01-07,1,6,57,NYG,PHI,4,6,94,0,0,"(6:57) 21-M.CROSBY 24 YARD FIELD GOAL IS GOOD, CENTER-59-C.KREITER, HOLDER-6-J.GILLAN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,18,483,0,0
2024010711,2024-01-07,1,6,54,PHI,NYG,0,0,65,1,0,"21-M.CROSBY KICKS 64 YARDS FROM NYG 35 TO PHI 1, FAIR CATCH BY 35-B.SCOTT.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,18,486,0,0
2024010711,2024-01-07,1,6,54,NYG,PHI,0,0,100,1,0,TIMEOUT AT 06:54.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,486,0,0
2024010711,2024-01-07,1,6,54,PHI,NYG,1,10,25,0,0,(6:54) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 88-D.GOEDERT TO PHI 29 FOR 4 YARDS (29-X.MCKINNEY).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,18,486,0,0
2024010711,2024-01-07,1,6,23,PHI,NYG,2,6,29,1,0,"(6:23) (NO HUDDLE, SHOTGUN) 14-K.GAINWELL RIGHT GUARD TO NYG 39 FOR 32 YARDS (41-M.MCFADDEN).",0,2023,32,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,29,OWN,0,,0,,0,18,517,0,0
2024010711,2024-01-07,1,5,51,PHI,NYG,1,10,61,0,0,"(5:51) (NO HUDDLE, SHOTGUN) 1-J.HURTS PASS INCOMPLETE SHORT RIGHT TO 14-K.GAINWELL (41-M.MCFADDEN).",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,18,549,0,0
2024010711,2024-01-07,1,5,44,PHI,NYG,2,10,61,0,0,(5:44) (SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 16-Q.WATKINS PUSHED OB AT NYG 30 FOR 9 YARDS (58-B.OKEREKE).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,18,556,0,0
2024010711,2024-01-07,1,5,10,PHI,NYG,3,1,70,1,0,(5:10) 1-J.HURTS UP THE MIDDLE TO NYG 28 FOR 2 YARDS (58-B.OKEREKE).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,30,OPP,0,,0,,0,18,590,0,0
2024010711,2024-01-07,1,4,26,PHI,NYG,1,10,72,0,0,(4:26) (SHOTGUN) 23-R.PENNY LEFT END TO NYG 27 FOR 1 YARD (41-M.MCFADDEN).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,28,OPP,0,,0,,0,18,634,0,0
