GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,IND,HOU
2024010601,2024-01-06,1,9,15,HOU,IND,0,0,65,1,0,"7-M.GAY KICKS 65 YARDS FROM IND 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,18,345,0,0
2024010601,2024-01-06,1,9,15,HOU,IND,1,10,25,1,0,"(9:15) 7-C.STROUD PASS DEEP MIDDLE TO 12-N.COLLINS FOR 75 YARDS, TOUCHDOWN [99-D.BUCKNER].",0,2023,75,UNDER CENTER,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,18,345,0,0
2024010601,2024-01-06,1,9,6,HOU,IND,0,0,85,1,0,"15-K.FAIRBAIRN EXTRA POINT IS GOOD, CENTER-46-J.WEEKS, HOLDER-11-C.JOHNSTON.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,18,354,0,0
2024010601,2024-01-06,1,9,6,IND,HOU,0,0,100,1,0,TIMEOUT AT 09:06.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,354,0,0
2024010601,2024-01-06,1,9,6,IND,HOU,0,0,65,1,0,15-K.FAIRBAIRN KICKS 59 YARDS FROM HOU 35 TO IND 6. 1-J.DOWNS TO IND 23 FOR 17 YARDS (33-D.OGUNBOWALE).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,18,354,0,0
2024010601,2024-01-06,1,9,2,IND,HOU,1,10,23,0,0,(9:02) (SHOTGUN) 10-G.MINSHEW PASS INCOMPLETE SHORT LEFT TO 14-A.PIERCE (21-S.NELSON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,18,358,0,0
2024010601,2024-01-06,1,8,58,IND,HOU,2,10,23,0,0,(8:58) (SHOTGUN) 10-G.MINSHEW SACKED AT IND 15 FOR -8 YARDS (48-C.HARRIS).,0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,18,362,0,0
2024010601,2024-01-06,1,8,18,IND,HOU,3,18,15,0,0,(8:18) (SHOTGUN) 28-J.TAYLOR UP THE MIDDLE TO IND 25 FOR 10 YARDS (53-B.CASHMAN; 55-J.HUGHES).,0,2023,10,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,15,OWN,0,,0,,0,18,402,0,0
2024010601,2024-01-06,1,7,30,IND,HOU,4,8,25,0,0,"(7:30) 8-R.SANCHEZ PUNTS 51 YARDS TO HOU 24, CENTER-46-L.RHODES, FAIR CATCH BY 25-D.KING.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,18,450,0,0
2024010601,2024-01-06,1,7,23,HOU,IND,1,10,24,0,0,(7:23) 26-D.SINGLETARY UP THE MIDDLE TO HOU 29 FOR 5 YARDS (99-D.BUCKNER; 45-E.SPEED).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,24,OWN,0,,0,,0,18,457,0,0
2024010601,2024-01-06,1,7,23,IND,HOU,0,0,100,1,0,TIMEOUT AT 07:23.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,457,0,0
2024010601,2024-01-06,1,6,51,HOU,IND,2,5,29,0,0,(6:51) 26-D.SINGLETARY UP THE MIDDLE TO HOU 31 FOR 2 YARDS (48-R.HARRISON; 44-Z.FRANKLIN).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,29,OWN,0,,0,,0,18,489,0,0
2024010601,2024-01-06,1,6,13,HOU,IND,3,3,31,1,0,(6:13) (SHOTGUN) 7-C.STROUD SCRAMBLES UP THE MIDDLE TO HOU 35 FOR 4 YARDS (48-R.HARRISON).,0,2023,4,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,18,527,0,0
2024010601,2024-01-06,1,5,34,HOU,IND,1,10,35,0,0,(5:34) (SHOTGUN) 7-C.STROUD PASS SHORT LEFT TO 12-N.COLLINS RAN OB AT HOU 41 FOR 6 YARDS.,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,18,566,0,0
2024010601,2024-01-06,1,5,1,HOU,IND,2,4,41,0,0,(5:01) 26-D.SINGLETARY LEFT END TO HOU 43 FOR 2 YARDS (50-S.OLUBI).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,41,OWN,0,,0,,0,18,599,0,0
