GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,GB,CHI
2024010706,2024-01-07,4,5,27,GB,CHI,2,13,3,0,0,(5:27) (SHOTGUN) 10-J.LOVE PASS SHORT MIDDLE TO 88-L.MUSGRAVE TO GB 14 FOR 11 YARDS (53-T.EDWARDS; 9-J.BRISKER).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,3,OWN,0,,0,,0,3273,0,0
2024010706,2024-01-07,4,4,49,GB,CHI,3,2,14,1,0,"(4:49) (NO HUDDLE, SHOTGUN) 10-J.LOVE PASS SHORT RIGHT TO 11-J.REED TO GB 29 FOR 15 YARDS (4-E.JACKSON).",0,2023,15,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,14,OWN,0,,0,,0,3311,0,0
2024010706,2024-01-07,4,4,6,GB,CHI,1,10,29,0,0,"(4:06) 33-A.JONES UP THE MIDDLE TO GB 37 FOR 8 YARDS (31-JA.JONES, 9-J.BRISKER).",0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,29,OWN,0,,0,,0,3354,0,0
2024010706,2024-01-07,4,3,20,GB,CHI,2,2,37,1,0,(3:20) 33-A.JONES UP THE MIDDLE TO GB 40 FOR 3 YARDS (97-A.BILLINGS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,37,OWN,0,,0,,0,3400,0,0
2024010706,2024-01-07,4,3,15,GB,CHI,1,10,40,0,0,"(3:15) 10-J.LOVE PASS SHORT MIDDLE TO 33-A.JONES TO GB 45 FOR 5 YARDS (93-JU.JONES, 4-E.JACKSON).",0,2023,5,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,3405,0,0
2024010706,2024-01-07,4,3,15,GB,CHI,0,0,100,1,0,TIMEOUT #1 BY CHI AT 03:15.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3405,0,0
2024010706,2024-01-07,4,3,8,GB,CHI,2,5,45,0,0,(3:08) 33-A.JONES RIGHT GUARD TO GB 43 FOR -2 YARDS (9-J.BRISKER).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,45,OWN,0,,0,,0,3412,0,0
2024010706,2024-01-07,4,3,8,GB,CHI,0,0,100,1,0,TIMEOUT #2 BY CHI AT 03:08.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3412,0,0
2024010706,2024-01-07,4,2,25,GB,CHI,0,0,100,1,0,TIMEOUT #2 BY GB AT 02:25.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3455,0,0
2024010706,2024-01-07,4,2,25,GB,CHI,3,7,43,1,0,(2:25) (SHOTGUN) 10-J.LOVE PASS SHORT RIGHT TO 85-T.KRAFT TO CHI 42 FOR 15 YARDS (6-K.GORDON).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,3455,0,0
2024010706,2024-01-07,4,2,17,GB,CHI,0,0,100,1,0,TIMEOUT #3 BY CHI AT 02:17.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3463,0,0
2024010706,2024-01-07,4,2,17,GB,CHI,1,10,58,0,0,(2:17) 33-A.JONES UP THE MIDDLE TO CHI 41 FOR 1 YARD (31-JA.JONES).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,42,OPP,0,,0,,0,3463,0,0
2024010706,2024-01-07,4,2,0,GB,CHI,2,9,59,1,0,"(2:00) 33-A.JONES LEFT END TO CHI 31 FOR 10 YARDS (4-E.JACKSON, 93-JU.JONES).",0,2023,10,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,41,OPP,0,,0,,0,3480,0,0
2024010706,2024-01-07,4,2,0,GB,CHI,0,0,100,1,0,TWO-MINUTE WARNING,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3480,0,0
2024010706,2024-01-07,4,1,12,GB,CHI,1,10,69,0,0,(1:12) 10-J.LOVE KNEELS TO CHI 32 FOR -1 YARDS.,0,2023,0,UNDER CENTER,QB KNEEL,0,0,0,0,,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,3528,0,0
2024010706,2024-01-07,4,0,34,GB,CHI,2,11,68,0,0,(:34) 10-J.LOVE KNEELS TO CHI 33 FOR -1 YARDS.,0,2023,0,UNDER CENTER,QB KNEEL,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,3566,0,0
2024010706,2024-01-07,4,0,0,GB,CHI,0,0,100,1,0,END GAME,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3600,0,0
