GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,GB,CHI
2023091008,2023-09-10,1,8,51,GB,CHI,2,3,77,1,0,(8:51) (SHOTGUN) 33-A.JONES LEFT GUARD PUSHED OB AT CHI 20 FOR 3 YARDS (57-J.SANBORN).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,23,OPP,0,,0,,0,1,369,0,0
2023091008,2023-09-10,1,8,18,GB,CHI,1,10,80,0,0,(8:18) (SHOTGUN) 33-A.JONES RIGHT TACKLE TO CHI 12 FOR 8 YARDS (91-Y.NGAKOUE).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,20,OPP,0,,0,,0,1,402,0,0
2023091008,2023-09-10,1,7,34,GB,CHI,2,2,88,0,0,(7:34) 10-J.LOVE PASS INCOMPLETE SHORT LEFT TO 13-D.WICKS.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,1,446,0,0
2023091008,2023-09-10,1,7,28,GB,CHI,3,2,88,1,0,(7:28) (SHOTGUN) 33-A.JONES RIGHT END TO CHI 5 FOR 7 YARDS (9-J.BRISKER). CHI-9-J.BRISKER WAS INJURED DURING THE PLAY.,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,12,OPP,0,,0,,0,1,452,0,0
2023091008,2023-09-10,1,7,12,GB,CHI,0,0,100,1,0,TIMEOUT AT 07:12.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,468,0,0
2023091008,2023-09-10,1,6,57,GB,CHI,1,5,95,0,0,(6:57) (SHOTGUN) 28-A.DILLON LEFT END TO CHI 8 FOR -3 YARDS (49-T.EDMUNDS).,0,2023,-3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,5,OPP,0,,0,,0,1,483,0,0
2023091008,2023-09-10,1,6,17,GB,CHI,2,8,92,0,0,(6:17) 10-J.LOVE PASS INCOMPLETE SHORT MIDDLE TO 33-A.JONES.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,1,523,0,0
2023091008,2023-09-10,1,6,14,GB,CHI,3,8,92,1,0,"(6:14) (SHOTGUN) 10-J.LOVE PASS SHORT MIDDLE TO 87-R.DOUBS FOR 8 YARDS, TOUCHDOWN.",0,2023,8,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,1,526,0,0
2023091008,2023-09-10,1,6,8,GB,CHI,0,0,85,1,0,"17-A.CARLSON EXTRA POINT IS GOOD, CENTER-42-M.ORZECH, HOLDER-19-D.WHELAN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,1,532,0,0
2023091008,2023-09-10,1,6,8,CHI,GB,0,0,100,1,0,TIMEOUT AT 06:08.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,532,0,0
2023091008,2023-09-10,1,6,8,CHI,GB,0,0,65,1,0,17-A.CARLSON KICKS 64 YARDS FROM GB 35 TO CHI 1. 13-T.SCOTT PUSHED OB AT CHI 34 FOR 33 YARDS (58-I.MCDUFFIE).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,532,0,0
2023091008,2023-09-10,1,6,1,CHI,GB,1,10,34,1,0,(6:01) (SHOTGUN) 1-J.FIELDS PASS DEEP RIGHT TO 11-D.MOONEY TO GB 43 FOR 23 YARDS (26-D.SAVAGE).,0,2023,23,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,1,539,0,0
2023091008,2023-09-10,1,5,18,CHI,GB,1,10,57,0,0,"(5:18) (SHOTGUN) 24-K.HERBERT RIGHT END TO GB 45 FOR -2 YARDS (7-Q.WALKER, 47-J.HOLLINS).",0,2023,-2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,43,OPP,0,,0,,0,1,582,0,0
2023091008,2023-09-10,1,4,38,CHI,GB,2,12,55,1,0,(4:38) (SHOTGUN) 1-J.FIELDS PASS SHORT LEFT TO 24-K.HERBERT PUSHED OB AT GB 31 FOR 14 YARDS (25-K.NIXON).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,1,622,0,0
2023091008,2023-09-10,1,4,0,CHI,GB,1,10,69,0,0,"(4:00) (NO HUDDLE, SHOTGUN) PENALTY ON CHI-70-B.JONES, FALSE START, 5 YARDS, ENFORCED AT GB 31 - NO PLAY.",0,2023,0,NO HUDDLE SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,31,OPP,1,CHI,1,FALSE START,5,1,660,0,0
2023091008,2023-09-10,1,3,39,CHI,GB,1,15,64,0,0,"(3:39) (SHOTGUN) PENALTY ON CHI-70-B.JONES, FALSE START, 5 YARDS, ENFORCED AT GB 36 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,36,OPP,1,CHI,1,FALSE START,5,1,681,0,0
