GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CLE,CIN
2023091002,2023-09-10,1,8,30,CIN,CLE,1,10,14,0,0,(8:30) (SHOTGUN) 28-J.MIXON LEFT GUARD TO CIN 17 FOR 3 YARDS (54-O.OKORONKWO).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,14,OWN,0,,0,,0,1,390,0,0
2023091002,2023-09-10,1,8,30,CLE,CIN,0,0,100,1,0,TIMEOUT AT 08:30.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,390,0,0
2023091002,2023-09-10,1,7,56,CIN,CLE,2,7,17,0,0,(7:56) (SHOTGUN) 9-J.BURROW PASS SHORT RIGHT TO 28-J.MIXON TO CIN 23 FOR 6 YARDS (44-S.TAKITAKI).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,1,424,0,0
2023091002,2023-09-10,1,7,13,CIN,CLE,3,1,23,0,0,(7:13) (SHOTGUN) 9-J.BURROW PASS INCOMPLETE SHORT RIGHT TO 81-I.SMITH.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,1,467,0,0
2023091002,2023-09-10,1,7,10,CIN,CLE,4,6,18,0,0,"(7:10) 10-B.ROBBINS PUNTS 45 YARDS TO CLE 37, CENTER-48-C.ADOMITIS. 11-D.PEOPLES-JONES TO CLE 41 FOR 4 YARDS (51-M.BAILEY, 27-J.BATTLE).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,1,470,0,0
2023091002,2023-09-10,1,6,59,CLE,CIN,0,0,100,1,0,TIMEOUT AT 06:59.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,481,0,0
2023091002,2023-09-10,1,6,59,CLE,CIN,1,10,41,0,0,(6:59) 24-N.CHUBB LEFT TACKLE TO CLE 41 FOR NO GAIN (95-Z.CARTER).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,41,OWN,0,,0,,0,1,481,0,0
2023091002,2023-09-10,1,6,24,CLE,CIN,2,10,41,1,0,(6:24) 4-D.WATSON PASS SHORT RIGHT TO 24-N.CHUBB TO CIN 49 FOR 10 YARDS (57-G.PRATT).,0,2023,10,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,1,516,0,0
2023091002,2023-09-10,1,5,49,CLE,CIN,1,10,51,0,0,(5:49) 24-N.CHUBB LEFT TACKLE TO CIN 43 FOR 6 YARDS (94-S.HUBBARD; 33-N.SCOTT).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,49,OPP,0,,0,,0,1,551,0,0
2023091002,2023-09-10,1,5,13,CLE,CIN,2,4,57,0,0,(5:13) (SHOTGUN) DIRECT SNAP TO 24-N.CHUBB.  4-D.WATSON PASS INCOMPLETE DEEP RIGHT TO 3-M.GOODWIN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,1,587,0,0
2023091002,2023-09-10,1,5,6,CLE,CIN,3,4,57,1,0,(5:06) (SHOTGUN) 24-N.CHUBB LEFT TACKLE TO CIN 26 FOR 17 YARDS (22-C.AWUZIE).,0,2023,17,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,43,OPP,0,,0,,0,1,594,0,0
2023091002,2023-09-10,1,4,28,CLE,CIN,1,10,74,0,0,(4:28) 4-D.WATSON SCRAMBLES RIGHT END TO CIN 21 FOR 5 YARDS (94-S.HUBBARD).,0,2023,5,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,1,632,0,0
2023091002,2023-09-10,1,3,44,CLE,CIN,2,5,79,0,0,"(3:44) (SHOTGUN) 4-D.WATSON TO CIN 25 FOR -4 YARDS. FUMBLES, AND RECOVERS AT CIN 25. 4-D.WATSON TO CIN 24 FOR 1 YARD. HANDOFF TO 34-J.FORD TO CIN 16 FOR 8 YARDS (57-G.PRATT; 33-N.SCOTT). FUMBLES (57-G.PRATT), RECOVERED BY CIN-22-C.AWUZIE AT CIN 13. 22-C.AWUZIE TO CIN 13 FOR NO GAIN (8-E.MOORE).",0,2023,0,SHOTGUN,FUMBLES,0,0,0,0,,0,0,0,,0,1,0,0,0,,21,OPP,0,,0,,0,1,676,0,0
2023091002,2023-09-10,1,3,35,CLE,CIN,0,0,100,1,0,TIMEOUT AT 03:35.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,685,0,0
2023091002,2023-09-10,1,3,35,CIN,CLE,1,10,13,0,0,(3:35) (SHOTGUN) 28-J.MIXON RIGHT TACKLE TO CIN 16 FOR 3 YARDS (44-S.TAKITAKI; 21-D.WARD).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,13,OWN,0,,0,,0,1,685,0,0
2023091002,2023-09-10,1,3,3,CIN,CLE,2,7,16,0,0,(3:03) (SHOTGUN) 9-J.BURROW PASS INCOMPLETE SHORT RIGHT TO 81-I.SMITH.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,16,OWN,0,,0,,0,1,717,0,0
2023091002,2023-09-10,1,2,58,CIN,CLE,3,7,16,0,0,(2:58) (SHOTGUN) 9-J.BURROW PASS SHORT MIDDLE TO 83-T.BOYD TO CIN 22 FOR 6 YARDS (22-G.DELPIT).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,16,OWN,0,,0,,0,1,722,0,0
2023091002,2023-09-10,1,2,17,CIN,CLE,4,1,22,0,0,"(2:17) 10-B.ROBBINS PUNTS 41 YARDS TO CLE 37, CENTER-48-C.ADOMITIS. 11-D.PEOPLES-JONES TO CLE 43 FOR 6 YARDS (84-M.WILCOX).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,1,763,0,0
2023091002,2023-09-10,1,2,9,CLE,CIN,1,10,43,0,0,(2:09) (SHOTGUN) 4-D.WATSON PASS SHORT LEFT TO 24-N.CHUBB TO 50 FOR 7 YARDS (96-C.SAMPLE).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,1,771,0,0
2023091002,2023-09-10,1,2,9,CLE,CIN,0,0,100,1,0,TIMEOUT AT 02:09.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,771,0,0
2023091002,2023-09-10,1,1,32,CLE,CIN,2,3,100,1,0,"(1:32) 24-N.CHUBB RIGHT GUARD TO CIN 44 FOR 6 YARDS (55-L.WILSON, 33-N.SCOTT).",0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,0,OPP,0,,0,,0,1,808,0,0
2023091002,2023-09-10,1,0,58,CLE,CIN,1,10,56,1,0,(:58) (SHOTGUN) 4-D.WATSON PASS DEEP RIGHT TO 2-A.COOPER TO CIN 24 FOR 20 YARDS (55-L.WILSON). CLE-2-A.COOPER WAS INJURED DURING THE PLAY. HIS RETURN IS PROBABLE.,0,2023,20,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,1,842,0,0
2023091002,2023-09-10,1,0,20,CLE,CIN,1,10,76,0,0,(:20) (SHOTGUN) 4-D.WATSON SCRAMBLES LEFT END RAN OB AT CIN 22 FOR 2 YARDS (57-G.PRATT).,0,2023,2,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,1,880,0,0
2023091002,2023-09-10,2,15,0,CLE,CIN,2,8,78,0,0,"(15:00) (SHOTGUN) 4-D.WATSON PASS SHORT RIGHT TO 24-N.CHUBB TO CIN 24 FOR -2 YARDS (55-L.WILSON, 94-S.HUBBARD).",0,2023,-2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,1,900,0,0
2023091002,2023-09-10,1,0,0,CLE,CIN,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,900,0,0
2023091002,2023-09-10,2,14,23,CLE,CIN,3,10,76,0,0,(14:23) (SHOTGUN) 4-D.WATSON PASS INCOMPLETE SHORT LEFT TO 8-E.MOORE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,1,937,0,0
