GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NE,PHI
2023091011,2023-09-10,1,8,28,PHI,NE,3,6,94,0,0,(8:28) (SHOTGUN) 1-J.HURTS SACKED AT NE 14 FOR -8 YARDS (9-M.JUDON).,0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,1,392,0,0
2023091011,2023-09-10,1,7,46,PHI,NE,4,14,86,0,0,"(7:46) 4-J.ELLIOTT 32 YARD FIELD GOAL IS GOOD, CENTER-45-R.LOVATO, HOLDER-10-A.SIPOSS.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,1,434,0,0
2023091011,2023-09-10,1,7,42,NE,PHI,0,0,65,1,0,4-J.ELLIOTT KICKS 60 YARDS FROM PHI 35 TO NE 5. 14-T.MONTGOMERY TO NE 24 FOR 19 YARDS (3-N.SMITH).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,438,0,0
2023091011,2023-09-10,1,7,42,NE,PHI,0,0,100,1,0,TIMEOUT AT 07:42.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,438,0,0
2023091011,2023-09-10,1,7,36,NE,PHI,1,10,24,0,0,(7:36) (SHOTGUN) 38-R.STEVENSON LEFT GUARD TO NE 26 FOR 2 YARDS (93-M.WILLIAMS; 7-H.REDDICK).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,24,OWN,0,,0,,0,1,444,0,0
2023091011,2023-09-10,1,7,4,NE,PHI,2,8,26,1,0,(7:04) (SHOTGUN) 10-M.JONES PASS SHORT MIDDLE TO 85-H.HENRY TO NE 35 FOR 9 YARDS (30-J.EVANS; 29-A.MADDOX).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,1,476,0,0
2023091011,2023-09-10,1,6,40,NE,PHI,1,10,35,0,0,"(6:40) (NO HUDDLE, SHOTGUN) 14-T.MONTGOMERY RIGHT TACKLE TO NE 42 FOR 7 YARDS (32-R.BLANKENSHIP; 2-D.SLAY).",0,2023,7,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,35,OWN,0,,0,,0,1,500,0,0
2023091011,2023-09-10,1,6,11,NE,PHI,2,3,42,1,0,(6:11) (SHOTGUN) 15-E.ELLIOTT RIGHT END PUSHED OB AT PHI 47 FOR 11 YARDS (32-R.BLANKENSHIP).,0,2023,11,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,42,OWN,0,,0,,0,1,529,0,0
2023091011,2023-09-10,1,5,42,NE,PHI,1,10,53,0,0,(5:42) (SHOTGUN) 10-M.JONES PASS SHORT LEFT TO 81-D.DOUGLAS TO PHI 42 FOR 5 YARDS (29-A.MADDOX).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,1,558,0,0
2023091011,2023-09-10,1,5,16,NE,PHI,2,5,58,0,0,"(5:16) (NO HUDDLE, SHOTGUN) 10-M.JONES PASS INCOMPLETE SHORT MIDDLE TO 81-D.DOUGLAS.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,1,584,0,0
