GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,PIT,SF
2023091006,2023-09-10,1,9,24,PIT,SF,1,10,27,0,0,(9:24) 22-N.HARRIS LEFT TACKLE TO PIT 25 FOR -2 YARDS (54-F.WARNER).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,27,OWN,0,,0,,0,336,0,0
2023091006,2023-09-10,1,8,48,PIT,SF,2,12,25,0,0,(8:48) (SHOTGUN) 8-K.PICKETT PASS SHORT RIGHT TO 19-C.AUSTIN TO PIT 32 FOR 7 YARDS (2-D.LENOIR).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,372,0,0
2023091006,2023-09-10,1,8,8,PIT,SF,3,5,32,1,0,(8:08) (SHOTGUN) 8-K.PICKETT PASS DEEP RIGHT INTENDED FOR 18-D.JOHNSON INTERCEPTED BY 7-C.WARD AT SF 43. 7-C.WARD PUSHED OB AT PIT 48 FOR 9 YARDS (88-P.FREIERMUTH).,0,2023,9,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,1,0,0,0,0,,32,OWN,0,,0,,0,412,0,0
2023091006,2023-09-10,1,8,0,SF,PIT,1,10,52,0,0,(8:00) 23-C.MCCAFFREY LEFT TACKLE TO PIT 49 FOR -1 YARDS (50-E.ROBERTS).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,48,OPP,0,,0,,0,420,0,0
2023091006,2023-09-10,1,8,0,PIT,SF,0,0,100,1,0,TIMEOUT AT 08:00.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,420,0,0
2023091006,2023-09-10,1,7,20,SF,PIT,2,11,51,1,0,(7:20) (SHOTGUN) 13-B.PURDY PASS SHORT MIDDLE TO 11-B.AIYUK TO PIT 26 FOR 23 YARDS (31-K.NEAL; 39-M.FITZPATRICK).,0,2023,23,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,460,0,0
2023091006,2023-09-10,1,6,38,SF,PIT,1,10,74,0,0,"(6:38) 23-C.MCCAFFREY RIGHT TACKLE TO PIT 24 FOR 2 YARDS (56-A.HIGHSMITH). PENALTY ON SF-74-S.BURFORD, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT PIT 26 - NO PLAY.",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT TACKLE,26,OPP,1,SF,1,OFFENSIVE HOLDING,10,502,0,0
2023091006,2023-09-10,1,6,14,SF,PIT,1,20,64,0,0,(6:14) (SHOTGUN) 13-B.PURDY PASS SHORT MIDDLE TO 85-G.KITTLE TO PIT 30 FOR 6 YARDS (39-M.FITZPATRICK).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,526,0,0
2023091006,2023-09-10,1,5,36,SF,PIT,2,14,70,0,0,(5:36) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT MIDDLE TO 15-J.JENNINGS (20-P.PETERSON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,564,0,0
2023091006,2023-09-10,1,5,32,SF,PIT,3,14,70,0,0,(5:32) (SHOTGUN) 13-B.PURDY PASS SHORT RIGHT TO 85-G.KITTLE TO PIT 28 FOR 2 YARDS (23-D.KAZEE; 31-K.NEAL) [90-T.WATT].,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,568,0,0
2023091006,2023-09-10,1,4,48,SF,PIT,0,0,100,1,0,TIMEOUT #1 BY PIT AT 04:48.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,612,0,0
2023091006,2023-09-10,1,4,41,SF,PIT,4,7,77,0,0,"(4:41) 4-J.MOODY 41 YARD FIELD GOAL IS GOOD, CENTER-46-T.PEPPER, HOLDER-18-M.WISHNOWSKY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,619,0,0
2023091006,2023-09-10,1,4,38,PIT,SF,0,0,100,1,0,TIMEOUT AT 04:38.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,622,0,0
