GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,BUF,NYJ
2023091100,2023-09-11,1,9,24,BUF,NYJ,1,10,23,0,0,"(9:24) (SHOTGUN) PENALTY ON BUF-88-D.KNOX, FALSE START, 5 YARDS, ENFORCED AT BUF 23 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,23,OWN,1,BUF,1,FALSE START,5,336,0,0
2023091100,2023-09-11,1,9,24,NYJ,BUF,0,0,100,1,0,TIMEOUT AT 09:24.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,336,0,0
2023091100,2023-09-11,1,8,44,BUF,NYJ,2,10,23,0,0,(8:44) (SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 11-D.HARTY TO BUF 24 FOR 1 YARD (57-C.MOSLEY).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,376,0,0
2023091100,2023-09-11,1,8,2,BUF,NYJ,3,9,24,1,0,(8:02) (SHOTGUN) 17-J.ALLEN SCRAMBLES UP THE MIDDLE TO BUF 38 FOR 14 YARDS (4-D.REED).,0,2023,14,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,418,0,0
2023091100,2023-09-11,1,7,25,BUF,NYJ,1,10,38,0,0,(7:25) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 11-D.HARTY PUSHED OB AT BUF 41 FOR 3 YARDS (0-A.AMOS).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,455,0,0
2023091100,2023-09-11,1,6,52,BUF,NYJ,2,7,41,1,0,"(6:52) (NO HUDDLE, SHOTGUN) 4-J.COOK UP THE MIDDLE TO BUF 49 FOR 8 YARDS (4-D.REED).",0,2023,8,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,41,OWN,0,,0,,0,488,0,0
2023091100,2023-09-11,1,6,18,BUF,NYJ,1,10,49,0,0,"(6:18) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 88-D.KNOX TO NYJ 45 FOR 6 YARDS (4-D.REED).",0,2023,6,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,522,0,0
2023091100,2023-09-11,1,5,44,BUF,NYJ,2,4,55,1,0,"(5:44) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 14-S.DIGGS TO NYJ 30 FOR 15 YARDS (0-A.AMOS).",0,2023,15,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,556,0,0
2023091100,2023-09-11,1,5,10,BUF,NYJ,1,10,70,0,0,"(5:10) (NO HUDDLE, SHOTGUN) 17-J.ALLEN SACKED AT NYJ 39 FOR -9 YARDS (91-J.FRANKLIN-MYERS).",0,2023,-9,NO HUDDLE SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,590,0,0
2023091100,2023-09-11,1,4,30,BUF,NYJ,2,19,61,0,0,"(4:30) (SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 88-D.KNOX TO NYJ 35 FOR 4 YARDS (95-Q.WILLIAMS, 30-M.CARTER).",0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,630,0,0
2023091100,2023-09-11,1,3,56,BUF,NYJ,3,15,65,0,0,"(3:56) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 22-D.HARRIS TO NYJ 22 FOR 13 YARDS (56-QU.WILLIAMS).",0,2023,13,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,664,0,0
2023091100,2023-09-11,1,3,9,BUF,NYJ,4,2,78,0,0,"(3:09) 2-T.BASS 40 YARD FIELD GOAL IS GOOD, CENTER-69-R.FERGUSON, HOLDER-8-S.MARTIN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,711,0,0
2023091100,2023-09-11,1,3,5,NYJ,BUF,0,0,65,1,0,2-T.BASS KICKS 61 YARDS FROM BUF 35 TO NYJ 4. 82-X.GIPSON PUSHED OB AT NYJ 22 FOR 18 YARDS (20-T.RAPP).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,715,0,0
2023091100,2023-09-11,1,3,5,NYJ,BUF,0,0,100,1,0,TIMEOUT AT 03:05.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,715,0,0
2023091100,2023-09-11,1,3,1,NYJ,BUF,1,10,22,0,0,"(3:01) (SHOTGUN) 2-Z.WILSON PASS INCOMPLETE SHORT RIGHT. PENALTY ON NYJ-77-M.BECTON, INELIGIBLE DOWNFIELD PASS, DECLINED.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,22,OWN,0,NYJ,0,INELIGIBLE DOWNFIELD PASS,0,719,0,0
2023091100,2023-09-11,1,2,58,NYJ,BUF,2,10,22,0,0,"(2:58) (SHOTGUN) PENALTY ON NYJ-78-L.TOMLINSON, FALSE START, 5 YARDS, ENFORCED AT NYJ 22 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,22,OWN,1,NYJ,1,FALSE START,5,722,0,0
