GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DEN,LV
2023091009,2023-09-10,1,15,0,LV,DEN,0,0,65,0,0,"16-W.LUTZ KICKS ONSIDE 9 YARDS FROM DEN 35 TO DEN 44, DOWNED BY DEN-1-T.SMITH. PENALTY ON DEN-1-T.SMITH, ILLEGAL TOUCH KICK, 0 YARDS, ENFORCED AT DEN 44.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,1,0,0,,35,OPP,1,DEN,0,ILLEGAL TOUCH KICK,0,0,0,0
2023091009,2023-09-10,1,14,56,LV,DEN,1,10,56,0,0,(14:56) 77-T.MUNFORD REPORTED IN AS ELIGIBLE.  8-J.JACOBS RIGHT TACKLE TO DEN 43 FOR 1 YARD (49-A.SINGLETON; 47-J.JEWELL).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,44,OPP,0,,0,,0,4,0,0
2023091009,2023-09-10,1,14,20,LV,DEN,2,9,57,0,0,(14:20) 10-J.GAROPPOLO PASS SHORT LEFT TO 17-D.ADAMS TO DEN 35 FOR 8 YARDS (2-P.SURTAIN).,0,2023,8,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,40,0,0
2023091009,2023-09-10,1,13,45,LV,DEN,3,1,65,0,0,(13:45) 77-T.MUNFORD REPORTED IN AS ELIGIBLE.  10-J.GAROPPOLO UP THE MIDDLE TO DEN 35 FOR NO GAIN (92-J.HARRIS; 49-A.SINGLETON).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,35,OPP,0,,0,,0,75,0,0
2023091009,2023-09-10,1,12,54,LV,DEN,4,1,65,1,0,(12:54) 77-T.MUNFORD REPORTED IN AS ELIGIBLE.  10-J.GAROPPOLO PASS SHORT RIGHT TO 17-D.ADAMS TO DEN 22 FOR 13 YARDS (22-K.JACKSON).,0,2023,13,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,126,0,0
2023091009,2023-09-10,1,12,15,LV,DEN,1,10,78,0,0,(12:15) 8-J.JACOBS LEFT END TO DEN 21 FOR 1 YARD (27-D.MATHIS).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,22,OPP,0,,0,,0,165,0,0
2023091009,2023-09-10,1,11,38,LV,DEN,2,9,79,0,0,(11:38) 8-J.JACOBS RIGHT TACKLE TO DEN 19 FOR 2 YARDS (21-E.BASSEY).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,21,OPP,0,,0,,0,202,0,0
2023091009,2023-09-10,1,10,58,LV,DEN,3,7,81,0,0,"(10:58) (SHOTGUN) 10-J.GAROPPOLO SCRAMBLES LEFT GUARD TO DEN 11 FOR 8 YARDS (55-F.CLARK). PENALTY ON DEN-31-J.SIMMONS, UNNECESSARY ROUGHNESS, 6 YARDS, ENFORCED AT DEN 11.",0,2023,8,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,1,0,0,,19,OPP,1,DEN,0,UNNECESSARY ROUGHNESS,6,242,0,0
2023091009,2023-09-10,1,10,42,LV,DEN,1,5,95,0,0,(10:42) (SHOTGUN) 8-J.JACOBS RIGHT GUARD TO DEN 3 FOR 2 YARDS (49-A.SINGLETON).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,5,OPP,0,,0,,0,258,0,0
2023091009,2023-09-10,1,10,6,LV,DEN,2,3,97,0,0,"(10:06) (SHOTGUN) 77-T.MUNFORD REPORTED IN AS ELIGIBLE.  8-J.JACOBS LEFT TACKLE TO DEN 3 FOR NO GAIN (49-A.SINGLETON, 95-E.GARCIA).",0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,3,OPP,0,,0,,0,294,0,0
2023091009,2023-09-10,1,9,32,LV,DEN,0,0,100,1,0,TIMEOUT #1 BY LV AT 09:32.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,328,0,0
2023091009,2023-09-10,1,9,32,LV,DEN,3,3,97,0,0,"(9:32) (SHOTGUN) 10-J.GAROPPOLO PASS SHORT LEFT TO 16-J.MEYERS FOR 3 YARDS, TOUCHDOWN. PENALTY ON LV-16-J.MEYERS, TAUNTING, 15 YARDS, ENFORCED BETWEEN DOWNS.",0,2023,3,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,1,0,0,,3,OPP,1,LV,0,TAUNTING,15,328,0,0
