GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,WAS,ARI
2023091007,2023-09-10,1,9,8,ARI,WAS,2,10,28,0,0,(9:08) 9-J.DOBBS PASS SHORT LEFT TO 86-Z.ERTZ TO ARI 25 FOR -3 YARDS (22-D.FORREST; 96-J.SMITH-WILLIAMS).,0,2023,-3,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,1,352,0,0
2023091007,2023-09-10,1,8,28,ARI,WAS,3,13,25,0,0,(8:28) (SHOTGUN) 6-J.CONNER RIGHT GUARD TO ARI 30 FOR 5 YARDS (31-K.CURL; 57-C.BARTON).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,1,392,0,0
2023091007,2023-09-10,1,7,45,ARI,WAS,4,8,30,0,0,"(7:45) 16-N.COONEY PUNTS 51 YARDS TO WAS 19, CENTER-46-A.BREWER. 83-J.CROWDER PUSHED OB AT WAS 29 FOR 10 YARDS (52-V.DIMUKEJE). PENALTY ON WAS-20-J.MARTIN, ILLEGAL BLOCK ABOVE THE WAIST, 10 YARDS, ENFORCED AT WAS 19.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,30,OWN,1,WAS,0,ILLEGAL BLOCK ABOVE THE WAIST,10,1,435,0,0
2023091007,2023-09-10,1,7,35,WAS,ARI,1,10,9,0,0,"(7:35) (SHOTGUN) 14-S.HOWELL SACKED AT WAS 9 FOR 0 YARDS (97-C.THOMAS). PENALTY ON ARI-7-K.WHITE, LOWERING THE HEAD TO MAKE FORCIBLE CONTACT, 15 YARDS, ENFORCED AT WAS 9 - NO PLAY.",0,2023,0,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,1,0,0,,9,OWN,1,ARI,1,LOWERING THE HEAD TO MAKE FORCIBLE CONTACT,15,1,445,0,0
2023091007,2023-09-10,1,7,35,WAS,ARI,0,0,100,1,0,TIMEOUT AT 07:35.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,445,0,0
2023091007,2023-09-10,1,7,29,WAS,ARI,0,0,100,1,0,TIMEOUT AT 07:29.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,451,0,0
2023091007,2023-09-10,1,7,11,WAS,ARI,1,10,24,0,0,(7:11) (SHOTGUN) 14-S.HOWELL PASS SHORT MIDDLE TO 82-L.THOMAS TO WAS 30 FOR 6 YARDS (20-MA.WILSON).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,1,469,0,0
2023091007,2023-09-10,1,6,40,WAS,ARI,2,4,30,0,0,(6:40) 24-A.GIBSON RIGHT TACKLE TO WAS 33 FOR 3 YARDS (7-K.WHITE).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,30,OWN,0,,0,,0,1,500,0,0
2023091007,2023-09-10,1,6,10,WAS,ARI,3,1,33,0,0,"(6:10) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 1-J.DOTSON PUSHED OB AT WAS 36 FOR 3 YARDS (34-J.THOMPSON). PENALTY ON ARI-34-J.THOMPSON, LOWERING THE HEAD TO MAKE FORCIBLE CONTACT, 15 YARDS, ENFORCED AT WAS 36.",0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,33,OWN,1,ARI,0,LOWERING THE HEAD TO MAKE FORCIBLE CONTACT,15,1,530,0,0
2023091007,2023-09-10,1,5,47,WAS,ARI,1,10,51,0,0,(5:47) (SHOTGUN) 8-B.ROBINSON RIGHT END TO 50 FOR -1 YARDS (92-K.STRONG).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,49,OPP,0,,0,,0,1,553,0,0
