GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,JAX,IND
2023091003,2023-09-10,1,10,25,JAX,IND,1,10,39,0,0,(10:25) 1-T.ETIENNE UP THE MIDDLE TO JAX 39 FOR NO GAIN (90-G.STEWART).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,39,OWN,0,,0,,0,1,275,0,0
2023091003,2023-09-10,1,10,25,IND,JAX,0,0,100,1,0,TIMEOUT AT 10:25.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,275,0,0
2023091003,2023-09-10,1,9,46,JAX,IND,2,10,39,0,0,(9:46) (SHOTGUN) 16-T.LAWRENCE PASS SHORT RIGHT TO 13-C.KIRK RAN OB AT JAX 48 FOR 9 YARDS.,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,1,314,0,0
2023091003,2023-09-10,1,9,11,JAX,IND,3,1,48,1,0,(9:11) (SHOTGUN) 16-T.LAWRENCE RIGHT END TO IND 49 FOR 3 YARDS (99-D.BUCKNER).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,48,OWN,0,,0,,0,1,349,0,0
2023091003,2023-09-10,1,8,32,JAX,IND,1,10,51,1,0,(8:32) 16-T.LAWRENCE PASS DEEP LEFT TO 0-C.RIDLEY TO IND 25 FOR 24 YARDS (33-D.FLOWERS).,0,2023,24,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,1,388,0,0
2023091003,2023-09-10,1,8,5,JAX,IND,1,10,75,0,0,"(8:05) (NO HUDDLE, SHOTGUN) 16-T.LAWRENCE PASS SHORT RIGHT TO 0-C.RIDLEY TO IND 20 FOR 5 YARDS (23-K.MOORE).",0,2023,5,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,1,415,0,0
2023091003,2023-09-10,1,7,30,JAX,IND,2,5,80,1,0,"(7:30) (SHOTGUN) 1-T.ETIENNE UP THE MIDDLE TO IND 12 FOR 8 YARDS (44-Z.FRANKLIN, 32-J.BLACKMON).",0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,20,OPP,0,,0,,0,1,450,0,0
2023091003,2023-09-10,1,6,52,JAX,IND,1,10,88,0,0,(6:52) (SHOTGUN) 39-J.AGNEW LEFT END TO IND 12 FOR NO GAIN (44-Z.FRANKLIN).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,12,OPP,0,,0,,0,1,488,0,0
2023091003,2023-09-10,1,6,14,JAX,IND,2,10,88,0,0,"(6:14) (SHOTGUN) 16-T.LAWRENCE PASS SHORT RIGHT TO 0-C.RIDLEY TO IND 9 FOR 3 YARDS (51-K.PAYE, 44-Z.FRANKLIN).",0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,1,526,0,0
2023091003,2023-09-10,1,5,26,JAX,IND,3,7,91,1,0,"(5:26) (SHOTGUN) 16-T.LAWRENCE PASS SHORT LEFT TO 0-C.RIDLEY FOR 9 YARDS, TOUCHDOWN.",0,2023,9,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,9,OPP,0,,0,,0,1,574,0,0
2023091003,2023-09-10,1,5,18,IND,JAX,1,10,25,0,0,(5:18) (SHOTGUN) 35-D.JACKSON UP THE MIDDLE TO IND 26 FOR 1 YARD (23-F.OLUOKUN).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,1,582,0,0
2023091003,2023-09-10,1,5,18,JAX,IND,0,0,85,1,0,"10-B.MCMANUS EXTRA POINT IS GOOD, CENTER-46-R.MATISCIK, HOLDER-9-L.COOKE.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,1,582,0,0
2023091003,2023-09-10,1,5,18,IND,JAX,0,0,100,1,0,TIMEOUT AT 05:18.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,582,0,0
2023091003,2023-09-10,1,5,18,IND,JAX,0,0,65,1,0,"10-B.MCMANUS KICKS 65 YARDS FROM JAX 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,582,0,0
2023091003,2023-09-10,1,4,41,IND,JAX,2,9,26,1,0,"(4:41) (SHOTGUN) 5-A.RICHARDSON PASS SHORT RIGHT TO 83-K.GRANSON TO IND 37 FOR 11 YARDS (2-R.JENKINS, 5-A.CISCO).",0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,1,619,0,0
2023091003,2023-09-10,1,4,11,IND,JAX,1,10,37,0,0,"(4:11) (NO HUDDLE, SHOTGUN) 35-D.JACKSON RIGHT END TO IND 37 FOR NO GAIN (44-T.WALKER; 99-J.LEDBETTER).",0,2023,0,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,37,OWN,0,,0,,0,1,649,0,0
2023091003,2023-09-10,1,3,33,IND,JAX,2,10,37,0,0,(3:33) (SHOTGUN) 5-A.RICHARDSON PASS SHORT RIGHT TO 35-D.JACKSON TO IND 45 FOR 8 YARDS (41-J.ALLEN).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,1,687,0,0
2023091003,2023-09-10,1,2,53,IND,JAX,3,2,45,1,0,(2:53) (SHOTGUN) 5-A.RICHARDSON PASS SHORT RIGHT TO 83-K.GRANSON RAN OB AT JAX 48 FOR 7 YARDS.,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,1,727,0,0
2023091003,2023-09-10,1,2,17,IND,JAX,1,10,52,1,0,(2:17) (SHOTGUN) 5-A.RICHARDSON LEFT END TO JAX 36 FOR 12 YARDS (23-F.OLUOKUN).,0,2023,12,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,48,OPP,0,,0,,0,1,763,0,0
2023091003,2023-09-10,1,1,48,IND,JAX,1,10,64,0,0,"(1:48) (NO HUDDLE, SHOTGUN) 35-D.JACKSON RIGHT TACKLE TO JAX 35 FOR 1 YARD (44-T.WALKER).",0,2023,1,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,36,OPP,0,,0,,0,1,792,0,0
2023091003,2023-09-10,1,1,9,IND,JAX,2,9,65,1,0,(1:09) (SHOTGUN) 5-A.RICHARDSON PASS SHORT MIDDLE TO 1-J.DOWNS TO JAX 13 FOR 22 YARDS (2-R.JENKINS) [23-F.OLUOKUN].,0,2023,22,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,831,0,0
2023091003,2023-09-10,1,0,44,IND,JAX,1,10,87,0,0,"(:44) (NO HUDDLE, SHOTGUN) 35-D.JACKSON UP THE MIDDLE TO JAX 6 FOR 7 YARDS (44-T.WALKER).",0,2023,7,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,13,OPP,0,,0,,0,1,856,0,0
