GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,DAL,NYG
2023091013,2023-09-10,1,8,14,NYG,DAL,4,21,73,0,0,"(8:14) 9-G.GANO 45 YARD FIELD GOAL IS BLOCKED (30-J.THOMAS), CENTER-59-C.KREITER, HOLDER-6-J.GILLAN, RECOVERED BY DAL-19-N.IGBINOGHENE AT DAL 42. 19-N.IGBINOGHENE FOR 58 YARDS, TOUCHDOWN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,1,,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,1,406,0,0
2023091013,2023-09-10,1,8,3,NYG,DAL,0,0,65,1,0,"17-B.AUBREY KICKS 65 YARDS FROM DAL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,417,0,0
2023091013,2023-09-10,1,8,3,NYG,DAL,1,10,25,0,0,(8:03) (SHOTGUN) 8-D.JONES PASS INCOMPLETE SHORT RIGHT TO 86-D.SLAYTON (56-D.FOWLER) [56-D.FOWLER].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1,417,0,0
2023091013,2023-09-10,1,8,3,NYG,DAL,0,0,15,1,0,"17-B.AUBREY EXTRA POINT IS NO GOOD, WIDE LEFT, CENTER-44-T.SIEG, HOLDER-5-B.ANGER.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,1,417,0,0
2023091013,2023-09-10,1,8,3,NYG,DAL,0,0,100,1,0,TIMEOUT AT 08:03.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,417,0,0
2023091013,2023-09-10,1,7,59,NYG,DAL,2,10,25,0,0,(7:59) (SHOTGUN) 8-D.JONES PASS INCOMPLETE SHORT RIGHT TO 12-D.WALLER (30-J.THOMAS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1,421,0,0
2023091013,2023-09-10,1,7,54,NYG,DAL,3,10,25,0,0,(7:54) (SHOTGUN) 8-D.JONES SACKED AT NYG 15 FOR -10 YARDS (11-M.PARSONS).,0,2023,-10,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1,426,0,0
2023091013,2023-09-10,1,7,18,NYG,DAL,4,20,15,0,0,"(7:18) 6-J.GILLAN PUNTS 59 YARDS TO DAL 26, CENTER-59-C.KREITER, DOWNED BY NYG-44-N.MCCLOUD.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,1,462,0,0
2023091013,2023-09-10,1,7,6,NYG,DAL,0,0,100,1,0,TIMEOUT AT 07:06.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,474,0,0
2023091013,2023-09-10,1,7,6,DAL,NYG,1,10,26,0,0,(7:06) (SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 87-J.FERGUSON TO DAL 28 FOR 2 YARDS (29-X.MCKINNEY).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,1,474,0,0
2023091013,2023-09-10,1,6,37,DAL,NYG,2,8,28,0,0,(6:37) 20-T.POLLARD RIGHT GUARD TO DAL 32 FOR 4 YARDS (41-M.MCFADDEN; 22-A.JACKSON).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,28,OWN,0,,0,,0,1,503,0,0
2023091013,2023-09-10,1,5,55,DAL,NYG,3,4,32,1,0,(5:55) (SHOTGUN) 4-D.PRESCOTT PASS DEEP LEFT TO 88-C.LAMB PUSHED OB AT NYG 19 FOR 49 YARDS (22-A.JACKSON).,0,2023,49,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,1,545,0,0
2023091013,2023-09-10,1,5,26,DAL,NYG,1,10,81,0,0,"(5:26) (NO HUDDLE, SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 87-J.FERGUSON TO NYG 10 FOR 9 YARDS (37-T.HAWKINS, 29-X.MCKINNEY).",0,2023,9,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,19,OPP,0,,0,,0,1,574,0,0
2023091013,2023-09-10,1,4,47,DAL,NYG,2,1,90,1,0,(4:47) (SHOTGUN) 20-T.POLLARD RIGHT GUARD TO NYG 6 FOR 4 YARDS (41-M.MCFADDEN; 58-B.OKEREKE).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,10,OPP,0,,0,,0,1,613,0,0
