GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,KC,DET
2023090700,2023-09-07,1,15,0,DET,KC,0,0,65,1,0,"7-H.BUTKER KICKS 65 YARDS FROM KC 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,0,0,0
2023090700,2023-09-07,1,15,0,DET,KC,1,10,25,0,0,(15:00) 5-D.MONTGOMERY RIGHT GUARD TO DET 32 FOR 7 YARDS (32-N.BOLTON; 56-G.KARLAFTIS).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,1,0,0,0
2023090700,2023-09-07,1,14,29,DET,KC,2,3,32,0,0,(14:29) 16-J.GOFF PASS INCOMPLETE SHORT RIGHT.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,1,31,0,0
2023090700,2023-09-07,1,14,25,DET,KC,3,3,32,0,0,(14:25) (SHOTGUN) 16-J.GOFF PASS INCOMPLETE DEEP RIGHT TO 8-J.REYNOLDS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,1,35,0,0
2023090700,2023-09-07,1,14,21,DET,KC,4,3,32,0,0,"(14:21) 3-J.FOX PUNTS 61 YARDS TO KC 7, CENTER-47-S.DALY. 17-R.JAMES TO KC 13 FOR 6 YARDS (30-K.DORSEY).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,1,39,0,0
2023090700,2023-09-07,1,14,9,KC,DET,1,10,13,0,0,(14:09) (SHOTGUN) 25-C.EDWARDS-HELAIRE RIGHT END TO KC 18 FOR 5 YARDS (97-A.HUTCHINSON).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,13,OWN,0,,0,,0,1,51,0,0
2023090700,2023-09-07,1,13,34,KC,DET,2,5,18,0,0,(13:34) (SHOTGUN) 25-C.EDWARDS-HELAIRE RIGHT END TO KC 21 FOR 3 YARDS (54-A.MCNEILL; 34-A.ANZALONE).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,18,OWN,0,,0,,0,1,86,0,0
2023090700,2023-09-07,1,12,56,KC,DET,3,2,21,1,0,(12:56) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 1-J.MCKINNON TO KC 31 FOR 10 YARDS (44-M.RODRIGUEZ).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,1,124,0,0
2023090700,2023-09-07,1,12,20,KC,DET,1,10,31,0,0,(12:20) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 83-N.GRAY TO KC 36 FOR 5 YARDS (34-A.ANZALONE).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,1,160,0,0
2023090700,2023-09-07,1,11,44,KC,DET,2,5,36,0,0,(11:44) 15-P.MAHOMES PASS INCOMPLETE SHORT RIGHT [34-A.ANZALONE].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,1,196,0,0
2023090700,2023-09-07,1,11,35,KC,DET,3,5,36,0,0,(11:35) (SHOTGUN) 15-P.MAHOMES SCRAMBLES UP THE MIDDLE TO KC 38 FOR 2 YARDS (79-J.COMINSKY).,0,2023,2,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,1,205,0,0
2023090700,2023-09-07,1,10,58,KC,DET,4,3,38,0,0,"(10:58) 5-T.TOWNSEND PUNTS 53 YARDS TO DET 9, CENTER-41-J.WINCHESTER, FAIR CATCH BY 11-K.RAYMOND.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,1,242,0,0
2023090700,2023-09-07,1,10,50,DET,KC,1,10,9,0,0,(10:50) 5-D.MONTGOMERY LEFT TACKLE TO DET 12 FOR 3 YARDS (56-G.KARLAFTIS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,9,OWN,0,,0,,0,1,250,0,0
2023090700,2023-09-07,1,10,50,KC,DET,0,0,100,1,0,TIMEOUT AT 10:50.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,250,0,0
