GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIN,TB
2023091004,2023-09-10,1,15,0,MIN,TB,1,10,25,0,0,(15:00) (SHOTGUN) 2-A.MATTISON UP THE MIDDLE TO MIN 33 FOR 8 YARDS (31-A.WINFIELD; 45-D.WHITE).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,1,0,0,0
2023091004,2023-09-10,1,15,0,MIN,TB,0,0,65,1,0,"5-J.CAMARDA KICKS 65 YARDS FROM TB 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,0,0,0
2023091004,2023-09-10,1,14,32,MIN,TB,2,2,33,0,0,(14:32) (NO HUDDLE) 8-K.COUSINS PASS INCOMPLETE SHORT LEFT TO 18-J.JEFFERSON (31-A.WINFIELD) [31-A.WINFIELD].,0,2023,0,NO HUDDLE,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,1,28,0,0
2023091004,2023-09-10,1,14,27,MIN,TB,3,7,28,0,0,(14:27) (SHOTGUN) 8-K.COUSINS PASS INCOMPLETE SHORT MIDDLE TO 18-J.JEFFERSON [94-C.KANCEY].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,1,33,0,0
2023091004,2023-09-10,1,14,27,MIN,TB,3,2,33,0,0,"(14:27) (SHOTGUN) PENALTY ON MIN-75-B.O'NEILL, FALSE START, 5 YARDS, ENFORCED AT MIN 33 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,33,OWN,1,MIN,1,FALSE START,5,1,33,0,0
2023091004,2023-09-10,1,14,23,MIN,TB,4,7,28,0,0,"(14:23) 14-R.WRIGHT PUNTS 52 YARDS TO TB 20, CENTER-42-A.DEPAOLA. 83-D.THOMPKINS TO TB 33 FOR 13 YARDS (42-A.DEPAOLA; 98-D.WONNUM).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,1,37,0,0
2023091004,2023-09-10,1,14,12,TB,MIN,1,10,33,0,0,(14:12) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT RIGHT TO 41-K.KIEFT (99-D.HUNTER).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,1,48,0,0
2023091004,2023-09-10,1,14,9,TB,MIN,2,10,33,0,0,(14:09) 6-B.MAYFIELD PASS INCOMPLETE DEEP LEFT TO 41-K.KIEFT.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,1,51,0,0
2023091004,2023-09-10,1,14,4,TB,MIN,3,10,33,0,0,"(14:04) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 1-R.WHITE PUSHED OB AT TB 35 FOR 2 YARDS (5-M.BLACKMON). PENALTY ON TB-67-L.GOEDEKE, OFFENSIVE HOLDING, DECLINED.",0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,33,OWN,0,TB,0,OFFENSIVE HOLDING,0,1,56,0,0
2023091004,2023-09-10,1,13,45,TB,MIN,4,8,35,0,0,"(13:45) 5-J.CAMARDA PUNTS 53 YARDS TO MIN 12, CENTER-97-Z.TRINER. 4-B.POWELL TO MIN 13 FOR 1 YARD (27-Z.MCCOLLUM).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,1,75,0,0
2023091004,2023-09-10,1,13,36,MIN,TB,1,10,13,0,0,(13:36) 2-A.MATTISON UP THE MIDDLE TO MIN 16 FOR 3 YARDS (45-D.WHITE).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,13,OWN,0,,0,,0,1,84,0,0
2023091004,2023-09-10,1,13,36,MIN,TB,0,0,100,1,0,TIMEOUT AT 13:36.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,84,0,0
2023091004,2023-09-10,1,12,57,MIN,TB,2,7,16,1,0,"(12:57) (SHOTGUN) 8-K.COUSINS PASS SHORT RIGHT TO 18-J.JEFFERSON TO MIN 24 FOR 8 YARDS (54-L.DAVID, 24-C.DAVIS).",0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,16,OWN,0,,0,,0,1,123,0,0
