GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,BAL,HOU
2023091001,2023-09-10,1,8,7,BAL,HOU,2,15,75,0,0,(8:07) (SHOTGUN) 8-L.JACKSON PASS SHORT LEFT TO 7-R.BATEMAN TO HOU 16 FOR 9 YARDS (4-T.THOMAS) [92-D.HORTON].,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,413,0,0
2023091001,2023-09-10,1,7,25,BAL,HOU,3,6,84,0,0,(7:25) (SHOTGUN) 8-L.JACKSON PASS SHORT LEFT INTENDED FOR 4-Z.FLOWERS INTERCEPTED BY 21-S.NELSON [51-W.ANDERSON] AT HOU 15. 21-S.NELSON TO HOU 15 FOR NO GAIN (4-Z.FLOWERS).,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,1,0,0,0,0,,16,OPP,0,,0,,0,455,0,0
2023091001,2023-09-10,1,7,20,BAL,HOU,0,0,100,1,0,TIMEOUT AT 07:20.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,460,0,0
2023091001,2023-09-10,1,7,20,HOU,BAL,1,10,15,0,0,(7:20) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT RIGHT TO 86-D.SCHULTZ.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,460,0,0
2023091001,2023-09-10,1,7,16,HOU,BAL,2,10,15,0,0,(7:16) 31-D.PIERCE LEFT END PUSHED OB AT HOU 22 FOR 7 YARDS (21-B.STEPHENS).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,15,OWN,0,,0,,0,464,0,0
2023091001,2023-09-10,1,6,39,HOU,BAL,3,3,22,0,0,"(6:39) (SHOTGUN) 7-C.STROUD PASS SHORT LEFT TO 3-N.DELL RAN OB AT HOU 31 FOR 9 YARDS. PENALTY ON HOU-78-L.TUNSIL, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT HOU 22 - NO PLAY.",0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,22,OWN,1,HOU,1,OFFENSIVE HOLDING,10,501,0,0
2023091001,2023-09-10,1,6,39,HOU,BAL,0,0,100,1,0,TIMEOUT #1 BY HOU AT 06:39.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,501,0,0
2023091001,2023-09-10,1,6,11,HOU,BAL,3,13,12,0,0,(6:11) (SHOTGUN) 7-C.STROUD PASS SHORT RIGHT TO 85-N.BROWN TO HOU 19 FOR 7 YARDS (29-A.WASHINGTON; 0-R.SMITH).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,12,OWN,0,,0,,0,529,0,0
2023091001,2023-09-10,1,5,35,HOU,BAL,4,6,19,0,0,"(5:35) 16-T.ZENTNER PUNTS 39 YARDS TO BAL 42, CENTER-46-J.WEEKS, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,565,0,0
2023091001,2023-09-10,1,5,28,BAL,HOU,1,10,42,0,0,(5:28) (SHOTGUN) 4-Z.FLOWERS RIGHT END PUSHED OB AT BAL 48 FOR 6 YARDS (24-D.STINGLEY).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,42,OWN,0,,0,,0,572,0,0
