GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,LA,SEA
2023091012,2023-09-10,1,9,52,LA,SEA,1,10,75,0,0,"(9:52) 3-C.AKERS RIGHT TACKLE TO LAR 25 FOR NO GAIN (54-B.WAGNER, 55-D.JONES).",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OPP,0,,0,,0,1,308,0,0
2023091012,2023-09-10,1,9,52,SEA,LA,0,0,100,1,0,TIMEOUT AT 09:52.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,308,0,0
2023091012,2023-09-10,1,9,12,LA,SEA,2,10,75,0,0,(9:12) (SHOTGUN) 23-K.WILLIAMS RIGHT TACKLE TO LAR 31 FOR 6 YARDS (20-J.LOVE).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OPP,0,,0,,0,1,348,0,0
2023091012,2023-09-10,1,8,32,LA,SEA,3,4,69,1,0,(8:32) (SHOTGUN) 9-M.STAFFORD PASS SHORT MIDDLE TO 89-T.HIGBEE TO LAR 38 FOR 7 YARDS (56-J.BROOKS).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,1,388,0,0
2023091012,2023-09-10,1,7,49,LA,SEA,1,10,62,1,0,(7:49) 3-C.AKERS RIGHT TACKLE TO 50 FOR 12 YARDS (56-J.BROOKS; 90-JA.REED).,0,2023,12,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,38,OPP,0,,0,,0,1,431,0,0
2023091012,2023-09-10,1,7,19,LA,SEA,1,10,100,0,0,(7:19) (NO HUDDLE) 3-C.AKERS LEFT GUARD TO SEA 48 FOR 2 YARDS (90-JA.REED).,0,2023,2,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,0,OPP,0,,0,,0,1,461,0,0
2023091012,2023-09-10,1,6,35,LA,SEA,2,8,52,0,0,(6:35) 23-K.WILLIAMS LEFT GUARD TO SEA 44 FOR 4 YARDS (54-B.WAGNER).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,48,OPP,0,,0,,0,1,505,0,0
2023091012,2023-09-10,1,5,51,LA,SEA,0,0,100,1,0,TIMEOUT #1 BY LAR AT 05:51.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,549,0,0
2023091012,2023-09-10,1,5,51,LA,SEA,3,4,56,1,0,"(5:51) (SHOTGUN) 23-K.WILLIAMS RIGHT GUARD TO SEA 35 FOR 9 YARDS (8-C.BRYANT, 6-Q.DIGGS).",0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,44,OPP,0,,0,,0,1,549,0,0
2023091012,2023-09-10,1,5,16,LA,SEA,1,10,65,0,0,(5:16) 9-M.STAFFORD PASS INCOMPLETE SHORT RIGHT [8-C.BRYANT].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,584,0,0
2023091012,2023-09-10,1,5,13,LA,SEA,2,10,65,0,0,(5:13) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT RIGHT TO 17-P.NACUA.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,587,0,0
2023091012,2023-09-10,1,5,10,LA,SEA,3,10,65,1,0,(5:10) (SHOTGUN) 9-M.STAFFORD PASS SHORT MIDDLE TO 12-V.JEFFERSON TO SEA 25 FOR 10 YARDS (20-J.LOVE).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,590,0,0
2023091012,2023-09-10,1,4,24,LA,SEA,1,10,75,0,0,(4:24) 3-C.AKERS LEFT END TO SEA 29 FOR -4 YARDS (10-U.NWOSU).,0,2023,-4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OPP,0,,0,,0,1,636,0,0
2023091012,2023-09-10,1,3,40,LA,SEA,2,14,71,0,0,"(3:40) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 17-P.NACUA TO SEA 19 FOR 10 YARDS (20-J.LOVE, 27-T.WOOLEN).",0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,1,680,0,0
2023091012,2023-09-10,1,2,55,LA,SEA,3,4,81,1,0,(2:55) (SHOTGUN) 9-M.STAFFORD PASS SHORT MIDDLE TO 89-T.HIGBEE TO SEA 7 FOR 12 YARDS (8-C.BRYANT).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,19,OPP,0,,0,,0,1,725,0,0
2023091012,2023-09-10,1,2,16,LA,SEA,1,7,93,0,0,"(2:16) 5-T.ATWELL LEFT END TO SEA 10 FOR -3 YARDS (20-J.LOVE). PENALTY ON LAR-12-V.JEFFERSON, ILLEGAL BLOCK ABOVE THE WAIST, 10 YARDS, ENFORCED AT SEA 7 - NO PLAY.",0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT END,7,OPP,1,LAR,1,ILLEGAL BLOCK ABOVE THE WAIST,10,1,764,0,0
2023091012,2023-09-10,1,1,46,LA,SEA,1,17,83,0,0,(1:46) (SHOTGUN) 23-K.WILLIAMS LEFT TACKLE TO SEA 17 FOR NO GAIN (56-J.BROOKS).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,17,OPP,0,,0,,0,1,794,0,0
2023091012,2023-09-10,1,1,3,LA,SEA,2,17,83,0,0,(1:03) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 17-P.NACUA PUSHED OB AT SEA 1 FOR 16 YARDS (22-T.BROWN).,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,1,837,0,0
2023091012,2023-09-10,1,0,42,LA,SEA,3,1,99,1,0,"(:42) (NO HUDDLE) 23-K.WILLIAMS LEFT GUARD FOR 1 YARD, TOUCHDOWN.",0,2023,1,NO HUDDLE,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT GUARD,1,OPP,0,,0,,0,1,858,0,0
2023091012,2023-09-10,1,0,39,SEA,LA,0,0,65,1,0,"42-E.EVANS KICKS 65 YARDS FROM LAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,861,0,0
