GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,JAX,CLE
2023121004,2023-12-10,1,15,0,CLE,JAX,1,10,25,0,0,(15:00) (SHOTGUN) 34-J.FORD RIGHT GUARD TO CLE 33 FOR 8 YARDS (33-D.LLOYD).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,0,0,0
2023121004,2023-12-10,1,15,0,CLE,JAX,0,0,65,1,0,"10-B.MCMANUS KICKS 65 YARDS FROM JAX 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023121004,2023-12-10,1,14,27,CLE,JAX,2,2,33,1,0,(14:27) 15-J.FLACCO PASS SHORT LEFT TO 34-J.FORD TO CLE 43 FOR 10 YARDS (23-F.OLUOKUN).,0,2023,10,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,33,0,0
2023121004,2023-12-10,1,13,49,CLE,JAX,1,10,43,1,0,(13:49) (SHOTGUN) 15-J.FLACCO PASS SHORT LEFT TO 19-C.TILLMAN TO JAX 43 FOR 14 YARDS (30-M.BROWN).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,71,0,0
2023121004,2023-12-10,1,13,12,CLE,JAX,1,10,57,0,0,(13:12) 34-J.FORD RIGHT TACKLE TO JAX 42 FOR 1 YARD (95-R.ROBERTSON-HARRIS).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,43,OPP,0,,0,,0,108,0,0
2023121004,2023-12-10,1,12,31,CLE,JAX,2,9,58,0,0,(12:31) 15-J.FLACCO PASS SHORT LEFT TO 34-J.FORD PUSHED OB AT JAX 34 FOR 8 YARDS (34-G.JUNIOR).,0,2023,8,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,149,0,0
2023121004,2023-12-10,1,11,45,CLE,JAX,3,1,66,1,0,"(11:45) 53-N.HARRIS AND 66-J.HUDSON REPORTED IN AS ELIGIBLE.  15-J.FLACCO PASS DEEP LEFT TO 85-D.NJOKU FOR 34 YARDS, TOUCHDOWN.",0,2023,34,UNDER CENTER,PASS,0,1,0,1,DEEP LEFT,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,195,0,0
2023121004,2023-12-10,1,11,39,CLE,JAX,0,0,85,1,0,"7-D.HOPKINS EXTRA POINT IS GOOD, CENTER-47-C.HUGHLETT, HOLDER-13-C.BOJORQUEZ.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,201,0,0
2023121004,2023-12-10,1,11,39,CLE,JAX,0,0,100,1,0,TIMEOUT AT 11:39.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,201,0,0
2023121004,2023-12-10,1,11,39,JAX,CLE,0,0,65,1,0,7-D.HOPKINS KICKS 63 YARDS FROM CLE 35 TO JAX 2. 25-D.JOHNSON TO JAX 16 FOR 14 YARDS (40-M.ADAMS).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,201,0,0
2023121004,2023-12-10,1,11,35,JAX,CLE,1,10,16,0,0,(11:35) (SHOTGUN) 1-T.ETIENNE LEFT GUARD TO JAX 15 FOR -1 YARDS (6-J.OWUSU-KORAMOAH).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,16,OWN,0,,0,,0,205,0,0
2023121004,2023-12-10,1,10,57,JAX,CLE,2,11,15,0,0,(10:57) (SHOTGUN) 16-T.LAWRENCE PASS SHORT RIGHT TO 17-E.ENGRAM TO JAX 24 FOR 9 YARDS (5-A.WALKER).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,243,0,0
2023121004,2023-12-10,1,10,15,JAX,CLE,3,2,24,0,0,(10:15) (SHOTGUN) 16-T.LAWRENCE SACKED AT JAX 23 FOR -1 YARDS (99-Z.SMITH).,0,2023,-1,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,285,0,0
2023121004,2023-12-10,1,9,29,JAX,CLE,4,3,23,0,0,"(9:29) 9-L.COOKE PUNTS 57 YARDS TO CLE 20, CENTER-46-R.MATISCIK. 11-J.PROCHE TO CLE 31 FOR 11 YARDS (46-R.MATISCIK).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,331,0,0
