GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,SEA,SF
2023121008,2023-12-10,1,9,44,SF,SEA,0,0,65,1,0,"5-J.MYERS KICKS 65 YARDS FROM SEA 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,316,0,0
2023121008,2023-12-10,1,9,44,SF,SEA,1,10,25,0,0,(9:44) (SHOTGUN) 23-C.MCCAFFREY UP THE MIDDLE TO SF 26 FOR 1 YARD (90-JA.REED; 99-L.WILLIAMS).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,316,0,0
2023121008,2023-12-10,1,9,0,SF,SEA,2,9,26,0,0,(9:00) 23-C.MCCAFFREY RIGHT TACKLE TO SF 27 FOR 1 YARD (54-B.WAGNER).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,26,OWN,0,,0,,0,360,0,0
2023121008,2023-12-10,1,8,17,SF,SEA,3,8,27,0,0,(8:17) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT MIDDLE TO 85-G.KITTLE (30-M.JACKSON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,403,0,0
2023121008,2023-12-10,1,8,13,SF,SEA,4,8,27,0,0,"(8:13) 18-M.WISHNOWSKY PUNTS 52 YARDS TO SEA 21, CENTER-46-T.PEPPER. 31-D.DALLAS TO SEA 29 FOR 8 YARDS (89-C.WOERNER, 10-R.BELL).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,407,0,0
2023121008,2023-12-10,1,8,2,SF,SEA,0,0,100,1,0,TIMEOUT AT 08:02.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,418,0,0
2023121008,2023-12-10,1,8,2,SEA,SF,1,10,29,0,0,(8:02) 2-D.LOCK SCRAMBLES LEFT END RAN OB AT SEA 32 FOR 3 YARDS (98-J.HARGRAVE).,0,2023,3,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,418,0,0
2023121008,2023-12-10,1,7,22,SEA,SF,2,7,32,0,0,(7:22) 9-K.WALKER UP THE MIDDLE TO SEA 32 FOR NO GAIN (90-K.GIVENS).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,32,OWN,0,,0,,0,458,0,0
2023121008,2023-12-10,1,6,38,SEA,SF,3,7,32,0,0,(6:38) (SHOTGUN) 2-D.LOCK PASS INCOMPLETE SHORT RIGHT TO 11-J.SMITH-NJIGBA (2-D.LENOIR).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,502,0,0
2023121008,2023-12-10,1,6,30,SEA,SF,4,7,32,0,0,"(6:30) 4-M.DICKSON PUNTS 60 YARDS TO SF 8, CENTER-41-C.STOLL. 10-R.BELL RAN OB AT SF 8 FOR NO GAIN.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,510,0,0
