GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DET,CHI
2023121002,2023-12-10,1,7,44,DET,CHI,2,6,49,0,0,"(7:44) 16-J.GOFF PASS INCOMPLETE SHORT RIGHT TO 5-D.MONTGOMERY. PENALTY ON DET-60-G.GLASGOW, TRIPPING, 15 YARDS, ENFORCED AT DET 49 - NO PLAY.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,49,OWN,1,DET,1,TRIPPING,15,436,0,0
2023121002,2023-12-10,1,7,38,DET,CHI,2,21,34,0,0,(7:38) (SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 14-A.ST. BROWN PUSHED OB AT DET 45 FOR 11 YARDS (53-T.EDWARDS).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,442,0,0
2023121002,2023-12-10,1,7,22,DET,CHI,3,10,45,0,0,(7:22) (SHOTGUN) 16-J.GOFF SACKED AT DET 37 FOR -8 YARDS (91-Y.NGAKOUE).,0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,458,0,0
2023121002,2023-12-10,1,6,43,DET,CHI,4,18,37,0,0,"(6:43) 3-J.FOX PUNTS 55 YARDS TO CHI 8, CENTER-43-J.MCQUAIDE. 15-T.TAYLOR TO CHI 9 FOR 1 YARD (30-K.DORSEY).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,497,0,0
2023121002,2023-12-10,1,6,34,CHI,DET,0,0,100,1,0,TIMEOUT AT 06:34.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,506,0,0
2023121002,2023-12-10,1,6,34,CHI,DET,1,10,9,0,0,(6:34) 21-D.FOREMAN LEFT TACKLE TO CHI 11 FOR 2 YARDS (55-D.BARNES; 79-J.COMINSKY).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,9,OWN,0,,0,,0,506,0,0
2023121002,2023-12-10,1,5,53,CHI,DET,2,8,11,0,0,(5:53) (SHOTGUN) 1-J.FIELDS PASS INCOMPLETE SHORT LEFT TO 21-D.FOREMAN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,547,0,0
2023121002,2023-12-10,1,5,46,CHI,DET,3,8,11,1,0,(5:46) (SHOTGUN) 1-J.FIELDS SCRAMBLES RIGHT END TO CHI 30 FOR 19 YARDS (31-K.JOSEPH).,0,2023,19,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,554,0,0
2023121002,2023-12-10,1,5,4,CHI,DET,1,10,30,0,0,(5:04) 21-D.FOREMAN LEFT GUARD TO CHI 35 FOR 5 YARDS (46-J.CAMPBELL).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,30,OWN,0,,0,,0,596,0,0
2023121002,2023-12-10,1,4,38,CHI,DET,2,5,35,0,0,"(4:38) (NO HUDDLE, SHOTGUN) 21-D.FOREMAN RIGHT TACKLE TO CHI 36 FOR 1 YARD (46-J.CAMPBELL; 6-I.MELIFONWU).",0,2023,1,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,35,OWN,0,,0,,0,622,0,0
