GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,DEN,LAC
2023121010,2023-12-10,1,8,48,DEN,LAC,1,10,31,0,0,"(8:48) (NO HUDDLE, SHOTGUN) 3-R.WILSON PASS SHORT MIDDLE TO 33-J.WILLIAMS TO DEN 36 FOR 5 YARDS (26-A.SAMUEL, 3-D.JAMES).",0,2023,5,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,14,372,0,0
2023121010,2023-12-10,1,8,4,DEN,LAC,2,5,36,1,0,(8:04) 3-R.WILSON PASS SHORT LEFT TO 14-C.SUTTON TO LAC 48 FOR 16 YARDS (32-A.GILMAN).,0,2023,16,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,14,416,0,0
2023121010,2023-12-10,1,7,24,DEN,LAC,1,10,52,0,0,(7:24) 3-R.WILSON PASS SHORT RIGHT TO 14-C.SUTTON TO LAC 48 FOR NO GAIN (26-A.SAMUEL) [6-E.KENDRICKS].,0,2023,0,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,14,456,0,0
2023121010,2023-12-10,1,6,41,DEN,LAC,2,10,52,0,0,(6:41) 38-J.MCLAUGHLIN RIGHT GUARD TO LAC 43 FOR 5 YARDS (9-K.MURRAY).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,48,OPP,0,,0,,0,14,499,0,0
2023121010,2023-12-10,1,6,5,DEN,LAC,3,5,57,0,0,"(6:05) (NO HUDDLE, SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT LEFT TO 38-J.MCLAUGHLIN [52-K.MACK].",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,14,535,0,0
2023121010,2023-12-10,1,6,0,DEN,LAC,4,5,57,0,0,"(6:00) 9-R.DIXON PUNTS 34 YARDS TO LAC 9, CENTER-48-M.FRABONI, DOWNED BY DEN-57-B.NIEMANN.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,14,540,0,0
2023121010,2023-12-10,1,5,50,LAC,DEN,1,10,9,0,0,(5:50) 25-J.KELLEY UP THE MIDDLE TO LAC 12 FOR 3 YARDS (98-M.PURCELL).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,9,OWN,0,,0,,0,14,550,0,0
2023121010,2023-12-10,1,5,12,LAC,DEN,2,7,12,0,0,(5:12) (SHOTGUN) 10-J.HERBERT PASS INCOMPLETE DEEP RIGHT TO 82-A.ERICKSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,12,OWN,0,,0,,0,14,588,0,0
2023121010,2023-12-10,1,5,7,LAC,DEN,3,7,12,0,0,(5:07) (SHOTGUN) 10-J.HERBERT PASS SHORT MIDDLE INTENDED FOR 13-K.ALLEN INTERCEPTED BY 0-J.COOPER (56-B.BROWNING) AT LAC 7. 0-J.COOPER TO LAC 3 FOR 4 YARDS (70-R.SLATER).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,1,0,0,0,0,,12,OWN,0,,0,,0,14,593,0,0
2023121010,2023-12-10,1,5,0,DEN,LAC,1,3,97,1,0,"(5:00) 33-J.WILLIAMS UP THE MIDDLE FOR 3 YARDS, TOUCHDOWN.",0,2023,3,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,CENTER,3,OPP,0,,0,,0,14,600,0,0
