GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIA,TEN
2023121100,2023-12-11,3,9,35,MIA,TEN,0,0,100,1,0,TIMEOUT AT 09:35.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,14,2125,0,0
2023121100,2023-12-11,3,8,57,TEN,MIA,2,7,28,0,0,(8:57) (SHOTGUN) 32-T.SPEARS LEFT GUARD TO TEN 30 FOR 2 YARDS (2-B.CHUBB; 92-Z.SIELER).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,28,OWN,0,,0,,0,14,2163,0,0
2023121100,2023-12-11,3,8,14,TEN,MIA,3,5,30,0,0,"(8:14) (SHOTGUN) 8-W.LEVIS PASS SHORT RIGHT TO 32-T.SPEARS TO TEN 38 FOR 8 YARDS (45-D.RILEY). PENALTY ON MIA-5-J.RAMSEY, DEFENSIVE HOLDING, DECLINED.",0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,30,OWN,0,MIA,0,DEFENSIVE HOLDING,0,14,2206,0,0
2023121100,2023-12-11,3,7,46,TEN,MIA,1,10,38,0,0,(7:46) 8-W.LEVIS PASS INCOMPLETE SHORT MIDDLE TO 16-T.BURKS [4-K.KOHOU].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,14,2234,0,0
2023121100,2023-12-11,3,7,43,TEN,MIA,2,10,38,0,0,(7:43) (SHOTGUN) 22-D.HENRY RIGHT END TO TEN 41 FOR 3 YARDS (92-Z.SIELER; 21-D.ELLIOTT).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,38,OWN,0,,0,,0,14,2237,0,0
2023121100,2023-12-11,3,6,58,TEN,MIA,3,7,41,0,0,(6:58) (SHOTGUN) 8-W.LEVIS PASS INCOMPLETE DEEP RIGHT TO 16-T.BURKS (25-X.HOWARD).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,14,2282,0,0
2023121100,2023-12-11,3,6,51,TEN,MIA,4,7,41,0,0,"(6:51) 13-T.ZENTNER PUNTS 50 YARDS TO MIA 9, CENTER-46-M.COX, FAIR CATCH BY 0-B.BERRIOS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,14,2289,0,0
2023121100,2023-12-11,3,6,43,MIA,TEN,0,0,100,1,0,TIMEOUT AT 06:43.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,14,2297,0,0
2023121100,2023-12-11,3,6,43,MIA,TEN,1,10,9,0,0,(6:43) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT LEFT TO 17-J.WADDLE PUSHED OB AT MIA 15 FOR 6 YARDS (23-T.AVERY).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,9,OWN,0,,0,,0,14,2297,0,0
2023121100,2023-12-11,3,6,11,MIA,TEN,2,4,15,0,0,(6:11) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE SHORT LEFT TO 81-D.SMYTHE (37-A.HOOKER).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,14,2329,0,0
