GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,NYJ,HOU
2023121006,2023-12-10,1,8,23,NYJ,HOU,1,10,67,0,0,(8:23) 20-BRE.HALL UP THE MIDDLE TO HOU 33 FOR NO GAIN (5-J.PITRE; 48-C.HARRIS).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,33,OPP,0,,0,,0,397,0,0
2023121006,2023-12-10,1,7,46,NYJ,HOU,2,10,67,0,0,(7:46) 2-Z.WILSON PASS SHORT LEFT TO 20-BRE.HALL TO HOU 27 FOR 6 YARDS (53-B.CASHMAN).,0,2023,6,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,434,0,0
2023121006,2023-12-10,1,6,56,NYJ,HOU,3,4,73,0,0,(6:56) (SHOTGUN) 2-Z.WILSON SACKED AT HOU 37 FOR -10 YARDS (98-S.RANKINS).,0,2023,-10,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,484,0,0
2023121006,2023-12-10,1,5,55,NYJ,HOU,4,14,63,0,0,"(5:55) 5-T.MORSTEAD PUNTS 37 YARDS TO END ZONE, CENTER-42-T.HENNESSY, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,545,0,0
2023121006,2023-12-10,1,5,48,HOU,NYJ,1,10,20,0,0,"(5:48) (SHOTGUN) 7-C.STROUD PASS DEEP MIDDLE TO 19-X.HUTCHINSON TO NYJ 49 FOR 31 YARDS (22-T.ADAMS, 1-A.GARDNER). PENALTY ON HOU-19-X.HUTCHINSON, OFFENSIVE PASS INTERFERENCE, 10 YARDS, ENFORCED AT HOU 20 - NO PLAY.",0,2023,31,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,1,0,0,,20,OWN,1,HOU,1,OFFENSIVE PASS INTERFERENCE,10,552,0,0
2023121006,2023-12-10,1,5,48,NYJ,HOU,0,0,100,1,0,TIMEOUT AT 05:48.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,552,0,0
2023121006,2023-12-10,1,5,24,HOU,NYJ,1,20,10,0,0,(5:24) 26-D.SINGLETARY UP THE MIDDLE TO HOU 10 FOR NO GAIN (57-C.MOSLEY).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,10,OWN,0,,0,,0,576,0,0
2023121006,2023-12-10,1,4,39,HOU,NYJ,2,20,10,0,0,(4:39) 26-D.SINGLETARY RIGHT GUARD TO HOU 26 FOR 16 YARDS (22-T.ADAMS; 30-M.CARTER).,0,2023,16,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,10,OWN,0,,0,,0,621,0,0
2023121006,2023-12-10,1,3,55,HOU,NYJ,3,4,26,1,0,(3:55) (SHOTGUN) 7-C.STROUD PASS SHORT LEFT TO 9-B.JORDAN TO HOU 32 FOR 6 YARDS (4-D.REED).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,665,0,0
2023121006,2023-12-10,1,3,13,HOU,NYJ,1,10,32,0,0,(3:13) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT LEFT TO 26-D.SINGLETARY (57-C.MOSLEY).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,707,0,0
2023121006,2023-12-10,1,3,8,HOU,NYJ,2,10,32,0,0,(3:08) 26-D.SINGLETARY LEFT END TO HOU 36 FOR 4 YARDS (94-S.THOMAS).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,32,OWN,0,,0,,0,712,0,0
2023121006,2023-12-10,1,2,29,HOU,NYJ,3,6,36,0,0,(2:29) (SHOTGUN) 7-C.STROUD SACKED AT HOU 22 FOR -14 YARDS (47-B.HUFF).,0,2023,-14,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,751,0,0
2023121006,2023-12-10,1,1,54,HOU,NYJ,4,20,22,0,0,"(1:54) 11-C.JOHNSTON PUNTS 65 YARDS TO NYJ 13, CENTER-46-J.WEEKS. 82-X.GIPSON TO NYJ 27 FOR 14 YARDS (35-J.HANSEN).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,786,0,0
2023121006,2023-12-10,1,1,43,NYJ,HOU,1,10,27,0,0,"(1:43) 76-D.BROWN REPORTED IN AS ELIGIBLE.  2-Z.WILSON PASS SHORT LEFT TO 20-BRE.HALL TO NYJ 41 FOR 14 YARDS (24-D.STINGLEY; 48-C.HARRIS). PENALTY ON NYJ-77-M.BECTON, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT NYJ 27 - NO PLAY.",0,2023,14,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,27,OWN,1,NYJ,1,OFFENSIVE HOLDING,10,797,0,0
2023121006,2023-12-10,1,1,43,NYJ,HOU,0,0,100,1,0,TIMEOUT AT 01:43.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,797,0,0
2023121006,2023-12-10,1,1,19,NYJ,HOU,1,20,17,0,0,(1:19) (SHOTGUN) 2-Z.WILSON PASS SHORT RIGHT TO 82-X.GIPSON PUSHED OB AT NYJ 20 FOR 3 YARDS (24-D.STINGLEY).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,821,0,0
2023121006,2023-12-10,1,0,42,NYJ,HOU,2,17,20,0,0,(:42) (SHOTGUN) 2-Z.WILSON PASS SHORT RIGHT TO 20-BRE.HALL TO NYJ 28 FOR 8 YARDS (53-B.CASHMAN) [51-W.ANDERSON].,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,858,0,0
2023121006,2023-12-10,1,0,0,NYJ,HOU,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023121006,2023-12-10,2,15,0,NYJ,HOU,3,9,28,0,0,"(15:00) (SHOTGUN) 2-Z.WILSON PASS INCOMPLETE SHORT LEFT TO 17-G.WILSON. NEW YORK JETS CHALLENGED THE INCOMPLETE PASS RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS. (TIMEOUT #1.)",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,1,0,,0,0,0,0,0,,28,OWN,0,,0,,0,900,0,0
2023121006,2023-12-10,2,14,55,NYJ,HOU,0,0,100,1,0,TIMEOUT AT 14:55.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,905,0,0
2023121006,2023-12-10,2,14,55,NYJ,HOU,4,9,28,0,0,"(14:55) 5-T.MORSTEAD PUNTS 61 YARDS TO HOU 11, CENTER-42-T.HENNESSY. 25-D.KING TO HOU 33 FOR 22 YARDS (21-A.DAVIS; 34-J.HARDEE).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,905,0,0
2023121006,2023-12-10,2,14,42,HOU,NYJ,1,10,33,0,0,"(14:42) 7-C.STROUD SACKED AT HOU 26 FOR -7 YARDS. FUMBLES, BALL OUT OF BOUNDS AT HOU 24.",0,2023,-7,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,33,OWN,0,,0,,0,918,0,0
2023121006,2023-12-10,2,14,12,HOU,NYJ,2,19,24,0,0,(14:12) (SHOTGUN) 7-C.STROUD PASS SHORT LEFT TO 31-D.PIERCE TO HOU 22 FOR -2 YARDS (56-QU.WILLIAMS).,0,2023,-2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,948,0,0
2023121006,2023-12-10,2,13,32,HOU,NYJ,3,21,22,0,0,"(13:32) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE DEEP RIGHT TO 85-N.BROWN (1-A.GARDNER). PENALTY ON NYJ-1-A.GARDNER, ILLEGAL CONTACT, 5 YARDS, ENFORCED AT HOU 22 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,22,OWN,1,NYJ,1,ILLEGAL CONTACT,5,988,0,0
2023121006,2023-12-10,2,13,25,HOU,NYJ,1,10,27,0,0,(13:25) 31-D.PIERCE UP THE MIDDLE TO HOU 27 FOR NO GAIN (70-Q.JEFFERSON).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,27,OWN,0,,0,,0,995,0,0
2023121006,2023-12-10,2,12,47,HOU,NYJ,2,10,27,0,0,"(12:47) PENALTY ON HOU-69-S.MASON, FALSE START, 5 YARDS, ENFORCED AT HOU 27 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,27,OWN,1,HOU,1,FALSE START,5,1033,0,0
2023121006,2023-12-10,2,12,36,HOU,NYJ,2,15,22,0,0,"(12:36) (SHOTGUN) 31-D.PIERCE RIGHT GUARD TO HOU 25 FOR 3 YARDS (11-J.JOHNSON, 95-Q.WILLIAMS).",0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,22,OWN,0,,0,,0,1044,0,0
2023121006,2023-12-10,2,11,58,HOU,NYJ,3,12,25,0,0,(11:58) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE DEEP LEFT TO 85-N.BROWN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1082,0,0
2023121006,2023-12-10,2,11,51,HOU,NYJ,4,12,25,0,0,"(11:51) 11-C.JOHNSTON PUNTS 51 YARDS TO NYJ 24, CENTER-46-J.WEEKS. 82-X.GIPSON TO NYJ 24 FOR NO GAIN (37-D.ROSS).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1089,0,0
2023121006,2023-12-10,2,11,43,NYJ,HOU,0,0,100,1,0,TIMEOUT AT 11:43.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1097,0,0
2023121006,2023-12-10,2,11,43,NYJ,HOU,1,10,24,0,0,(11:43) 33-D.COOK LEFT TACKLE TO NYJ 24 FOR NO GAIN (52-J.GREENARD).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,24,OWN,0,,0,,0,1097,0,0
2023121006,2023-12-10,2,11,8,NYJ,HOU,2,10,24,0,0,(11:08) 33-D.COOK RIGHT GUARD TO NYJ 27 FOR 3 YARDS (94-K.DAVIS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,24,OWN,0,,0,,0,1132,0,0
2023121006,2023-12-10,2,10,22,NYJ,HOU,3,7,27,0,0,(10:22) (SHOTGUN) 2-Z.WILSON PASS SHORT RIGHT TO 83-T.CONKLIN TO NYJ 33 FOR 6 YARDS (48-C.HARRIS).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,1178,0,0
