GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,IND,CIN
2023121003,2023-12-10,1,15,0,IND,CIN,0,0,65,1,0,"2-E.MCPHERSON KICKS 65 YARDS FROM CIN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,14,0,0,0
2023121003,2023-12-10,1,15,0,IND,CIN,1,10,25,0,0,(15:00) (SHOTGUN) 10-G.MINSHEW SACKED AT IND 18 FOR -7 YARDS (91-T.HENDRICKSON).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,14,0,0,0
2023121003,2023-12-10,1,14,18,IND,CIN,2,17,18,0,0,(14:18) (SHOTGUN) 10-G.MINSHEW PASS SHORT MIDDLE TO 1-J.DOWNS TO IND 27 FOR 9 YARDS (55-L.WILSON).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,14,42,0,0
2023121003,2023-12-10,1,13,34,IND,CIN,3,8,27,0,0,(13:34) (SHOTGUN) 10-G.MINSHEW PASS INCOMPLETE SHORT RIGHT TO 85-A.OGLETREE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,14,86,0,0
2023121003,2023-12-10,1,13,29,IND,CIN,4,8,27,0,0,"(13:29) 8-R.SANCHEZ PUNTS 55 YARDS TO CIN 18, CENTER-46-L.RHODES. 15-C.JONES TO CIN 19 FOR 1 YARD (37-A.SPEED).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,14,91,0,0
2023121003,2023-12-10,1,13,19,CIN,IND,1,10,19,0,0,(13:19) (SHOTGUN) 28-J.MIXON RIGHT GUARD TO CIN 23 FOR 4 YARDS (99-D.BUCKNER; 48-R.HARRISON).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,19,OWN,0,,0,,0,14,101,0,0
2023121003,2023-12-10,1,12,43,CIN,IND,2,6,23,0,0,(12:43) 6-J.BROWNING PASS SHORT RIGHT TO 28-J.MIXON TO CIN 27 FOR 4 YARDS (23-K.MOORE).,0,2023,4,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,14,137,0,0
2023121003,2023-12-10,1,12,5,CIN,IND,3,2,27,0,0,"(12:05) (SHOTGUN) 28-J.MIXON UP THE MIDDLE TO CIN 28 FOR 1 YARD (99-D.BUCKNER, 44-Z.FRANKLIN).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,27,OWN,0,,0,,0,14,175,0,0
2023121003,2023-12-10,1,11,31,CIN,IND,4,1,28,0,0,"(11:31) 10-B.ROBBINS PUNTS 52 YARDS TO IND 20, CENTER-48-C.ADOMITIS, DOWNED BY CIN-59-A.DAVIS-GAITHER.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,14,209,0,0
2023121003,2023-12-10,1,11,18,CIN,IND,0,0,100,1,0,TIMEOUT AT 11:18.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,14,222,0,0
2023121003,2023-12-10,1,11,18,IND,CIN,1,10,20,0,0,(11:18) (SHOTGUN) 10-G.MINSHEW PASS SHORT RIGHT TO 11-M.PITTMAN TO IND 25 FOR 5 YARDS (22-C.AWUZIE).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,14,222,0,0
2023121003,2023-12-10,1,10,38,IND,CIN,2,5,25,1,0,(10:38) (SHOTGUN) 10-G.MINSHEW PASS SHORT MIDDLE TO 11-M.PITTMAN TO IND 37 FOR 12 YARDS (27-J.BATTLE).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,14,262,0,0
2023121003,2023-12-10,1,10,15,IND,CIN,1,10,37,0,0,"(10:15) (NO HUDDLE, SHOTGUN) 21-Z.MOSS RIGHT END TO IND 34 FOR -3 YARDS (22-C.AWUZIE, 99-M.MURPHY).",0,2023,-3,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,37,OWN,0,,0,,0,14,285,0,0
2023121003,2023-12-10,1,9,35,IND,CIN,2,13,34,0,0,(9:35) (SHOTGUN) 10-G.MINSHEW PASS SHORT MIDDLE TO 1-J.DOWNS TO IND 45 FOR 11 YARDS (23-D.HILL).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,14,325,0,0
