GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,MIN,LV
2023121007,2023-12-10,1,15,0,LV,MIN,0,0,65,1,0,1-G.JOSEPH KICKS 61 YARDS FROM MIN 35 TO LV 4. 3-D.CARTER TO LV 20 FOR 16 YARDS (30-C.HAM).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023121007,2023-12-10,1,14,54,LV,MIN,1,10,20,0,0,(14:54) (SHOTGUN) 4-A.O'CONNELL PASS SHORT LEFT TO 17-D.ADAMS TO LV 24 FOR 4 YARDS (40-I.PACE).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,6,0,0
2023121007,2023-12-10,1,14,18,LV,MIN,2,6,24,0,0,(14:18) 8-J.JACOBS UP THE MIDDLE TO LV 26 FOR 2 YARDS (40-I.PACE).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,24,OWN,0,,0,,0,42,0,0
2023121007,2023-12-10,1,13,35,LV,MIN,3,4,26,1,0,(13:35) (SHOTGUN) 4-A.O'CONNELL PASS SHORT MIDDLE TO 8-J.JACOBS TO LV 35 FOR 9 YARDS (5-M.BLACKMON).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,85,0,0
2023121007,2023-12-10,1,12,46,LV,MIN,1,10,35,0,0,"(12:46) 8-J.JACOBS LEFT GUARD TO LV 39 FOR 4 YARDS (90-J.BULLARD, 40-I.PACE).",0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,35,OWN,0,,0,,0,134,0,0
2023121007,2023-12-10,1,12,10,LV,MIN,2,6,39,0,0,(12:10) (SHOTGUN) 4-A.O'CONNELL PASS SHORT RIGHT TO 16-J.MEYERS TO LV 43 FOR 4 YARDS (24-C.BYNUM).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,170,0,0
2023121007,2023-12-10,1,11,27,LV,MIN,3,2,43,0,0,"(11:27) (SHOTGUN) 4-A.O'CONNELL PASS SHORT LEFT TO 16-J.MEYERS TO LV 44 FOR 1 YARD (40-I.PACE, 44-J.METELLUS).",0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,213,0,0
2023121007,2023-12-10,1,10,40,LV,MIN,4,1,44,1,0,(10:40) 4-A.O'CONNELL UP THE MIDDLE TO LV 46 FOR 2 YARDS (97-H.PHILLIPS).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,44,OWN,0,,0,,0,260,0,0
2023121007,2023-12-10,1,9,59,LV,MIN,1,10,46,1,0,(9:59) 4-A.O'CONNELL PASS SHORT RIGHT TO 16-J.MEYERS TO MIN 42 FOR 12 YARDS (7-B.MURPHY).,0,2023,12,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,301,0,0
2023121007,2023-12-10,1,9,13,LV,MIN,1,10,58,0,0,(9:13) (SHOTGUN) 4-A.O'CONNELL PASS INCOMPLETE DEEP LEFT TO 17-D.ADAMS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,347,0,0
2023121007,2023-12-10,1,9,9,LV,MIN,2,10,58,0,0,"(9:09) 8-J.JACOBS RIGHT TACKLE TO MIN 31 FOR 11 YARDS (7-B.MURPHY; 24-C.BYNUM). PENALTY ON LV-81-A.HOOPER, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT MIN 40.",0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT TACKLE,42,OPP,1,LV,0,OFFENSIVE HOLDING,10,351,0,0
2023121007,2023-12-10,1,8,46,LV,MIN,2,18,100,0,0,(8:46) (SHOTGUN) 4-A.O'CONNELL SACKED AT LV 45 FOR -5 YARDS (45-T.DYE).,0,2023,-5,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,374,0,0
2023121007,2023-12-10,1,8,0,LV,MIN,3,23,45,0,0,(8:00) (SHOTGUN) 4-A.O'CONNELL PASS SHORT MIDDLE TO 17-D.ADAMS TO LV 47 FOR 2 YARDS (40-I.PACE).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,420,0,0
