GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,NE,PIT
2023120700,2023-12-07,1,9,44,PIT,NE,2,9,47,0,0,"(9:44) (SHOTGUN) 22-N.HARRIS UP THE MIDDLE TO 50 FOR 3 YARDS (33-A.JENNINGS, 91-D.WISE).",0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,47,OWN,0,,0,,0,316,0,0
2023120700,2023-12-07,1,9,3,PIT,NE,3,6,100,0,0,"(9:03) (SHOTGUN) 10-M.TRUBISKY PASS SHORT LEFT INTENDED FOR 14-G.PICKENS INTERCEPTED BY 29-J.JACKSON AT NE 38. 29-J.JACKSON TO PIT 39 FOR 23 YARDS (10-M.TRUBISKY). PENALTY ON NE-29-J.JACKSON, DEFENSIVE PASS INTERFERENCE, 11 YARDS, ENFORCED AT 50 - NO PLAY.",0,2023,23,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,1,0,1,0,0,,0,OPP,1,NE,1,DEFENSIVE PASS INTERFERENCE,11,357,0,0
2023120700,2023-12-07,1,8,53,PIT,NE,1,10,61,0,0,(8:53) (SHOTGUN) 10-M.TRUBISKY PASS SHORT RIGHT TO 14-G.PICKENS TO NE 35 FOR 4 YARDS (31-J.JONES).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,367,0,0
2023120700,2023-12-07,1,8,8,PIT,NE,2,6,65,0,0,(8:08) 76-C.OKORAFOR REPORTED IN AS ELIGIBLE.  30-J.WARREN RIGHT END TO NE 37 FOR -2 YARDS (33-A.JENNINGS).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,35,OPP,0,,0,,0,412,0,0
2023120700,2023-12-07,1,7,25,PIT,NE,3,8,63,0,0,(7:25) (SHOTGUN) 10-M.TRUBISKY SACKED AT NE 38 FOR -1 YARDS (3-M.WILSON).,0,2023,-1,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,455,0,0
2023120700,2023-12-07,1,6,44,PIT,NE,4,9,62,0,0,"(6:44) 9-C.BOSWELL 56 YARD FIELD GOAL IS GOOD, CENTER-46-C.KUNTZ, HOLDER-6-P.HARVIN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,496,0,0
2023120700,2023-12-07,1,6,39,NE,PIT,0,0,65,1,0,"9-C.BOSWELL KICKS 65 YARDS FROM PIT 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,501,0,0
2023120700,2023-12-07,1,6,39,PIT,NE,0,0,100,1,0,TIMEOUT AT 06:39.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,501,0,0
2023120700,2023-12-07,1,6,39,NE,PIT,1,10,25,0,0,(6:39) 4-B.ZAPPE PASS INCOMPLETE DEEP LEFT TO 11-T.THORNTON.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,501,0,0
2023120700,2023-12-07,1,6,34,NE,PIT,2,10,25,0,0,(6:34) 15-E.ELLIOTT UP THE MIDDLE TO NE 28 FOR 3 YARDS (50-E.ROBERTS; 57-M.ADAMS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,506,0,0
