GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,PHI,DAL
2023121011,2023-12-10,1,8,48,PHI,DAL,1,10,40,0,0,"(8:48) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE SHORT LEFT TO 88-D.GOEDERT [90-D.LAWRENCE]. PENALTY ON DAL-11-M.PARSONS, ILLEGAL USE OF HANDS, 5 YARDS, ENFORCED AT PHI 40 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,40,OWN,1,DAL,1,ILLEGAL USE OF HANDS,5,14,372,0,0
2023121011,2023-12-10,1,8,41,PHI,DAL,1,10,45,0,0,(8:41) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE DEEP RIGHT TO 11-A.BROWN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,14,379,0,0
2023121011,2023-12-10,1,8,35,PHI,DAL,2,10,45,1,0,(8:35) (SHOTGUN) 1-J.HURTS PASS SHORT MIDDLE TO 88-D.GOEDERT TO DAL 45 FOR 10 YARDS (6-D.WILSON).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,14,385,0,0
2023121011,2023-12-10,1,7,55,PHI,DAL,1,10,55,0,0,(7:55) (SHOTGUN) 35-B.SCOTT LEFT GUARD TO DAL 41 FOR 4 YARDS (26-D.BLAND; 33-D.CLARK).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,45,OPP,0,,0,,0,14,425,0,0
2023121011,2023-12-10,1,7,12,PHI,DAL,2,6,59,0,0,"(7:12) PENALTY ON PHI-65-L.JOHNSON, FALSE START, 5 YARDS, ENFORCED AT DAL 41 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,41,OPP,1,PHI,1,FALSE START,5,14,468,0,0
2023121011,2023-12-10,1,6,46,PHI,DAL,2,11,54,0,0,(6:46) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE SHORT MIDDLE TO 6-D.SMITH (33-D.CLARK).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,14,494,0,0
2023121011,2023-12-10,1,6,41,PHI,DAL,3,16,49,1,0,(6:41) (SHOTGUN) 1-J.HURTS PASS DEEP MIDDLE TO 6-D.SMITH TO DAL 21 FOR 30 YARDS (28-M.HOOKER).,0,2023,30,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,14,499,0,0
2023121011,2023-12-10,1,6,41,PHI,DAL,3,11,54,0,0,"(6:41) (SHOTGUN) PENALTY ON PHI-68-J.MAILATA, FALSE START, 5 YARDS, ENFORCED AT DAL 46 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,46,OPP,1,PHI,1,FALSE START,5,14,499,0,0
2023121011,2023-12-10,1,6,15,PHI,DAL,1,10,79,0,0,"(6:15) (NO HUDDLE, SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 88-D.GOEDERT TO DAL 7 FOR 14 YARDS (6-D.WILSON). PENALTY ON PHI-11-A.BROWN, OFFENSIVE PASS INTERFERENCE, 10 YARDS, ENFORCED AT DAL 21 - NO PLAY.",0,2023,14,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,21,OPP,1,PHI,1,OFFENSIVE PASS INTERFERENCE,10,14,525,0,0
2023121011,2023-12-10,1,5,50,PHI,DAL,1,20,69,0,0,"(5:50) (SHOTGUN) 1-J.HURTS LEFT GUARD TO DAL 20 FOR 11 YARDS (6-D.WILSON). FUMBLES (6-D.WILSON), RECOVERED BY DAL-6-D.WILSON AT DAL 21.",0,2023,11,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,1,0,0,0,LEFT GUARD,31,OPP,0,,0,,0,14,550,0,0
