GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,BAL,LA
2023121001,2023-12-10,1,15,0,BAL,LA,0,0,65,1,0,42-E.EVANS KICKS 71 YARDS FROM LAR 35 TO BAL -6. 13-D.DUVERNAY TO BAL 15 FOR 21 YARDS (35-J.HUMMEL).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023121001,2023-12-10,1,14,54,BAL,LA,1,10,15,0,0,(14:54) (SHOTGUN) 35-G.EDWARDS LEFT TACKLE TO BAL 18 FOR 3 YARDS (95-B.BROWN).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,15,OWN,0,,0,,0,6,0,0
2023121001,2023-12-10,1,14,17,BAL,LA,2,7,18,1,0,(14:17) (SHOTGUN) 8-L.JACKSON PASS SHORT LEFT TO 34-K.MITCHELL PUSHED OB AT BAL 26 FOR 8 YARDS (43-J.JOHNSON).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,43,0,0
2023121001,2023-12-10,1,13,40,BAL,LA,1,10,26,0,0,(13:40) 8-L.JACKSON PASS SHORT RIGHT TO 80-I.LIKELY PUSHED OB AT BAL 33 FOR 7 YARDS (97-M.HOECHT).,0,2023,7,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,80,0,0
2023121001,2023-12-10,1,13,4,BAL,LA,2,3,33,0,0,"(13:04) (SHOTGUN) 34-K.MITCHELL RIGHT END TO BAL 34 FOR 1 YARD (0-B.YOUNG, 92-J.WILLIAMS).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,33,OWN,0,,0,,0,116,0,0
2023121001,2023-12-10,1,12,28,BAL,LA,3,2,34,0,0,"(12:28) (SHOTGUN) 35-G.EDWARDS UP THE MIDDLE TO BAL 35 FOR 1 YARD (97-M.HOECHT, 53-E.JONES).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,34,OWN,0,,0,,0,152,0,0
2023121001,2023-12-10,1,11,47,BAL,LA,4,1,35,0,0,"(11:47) 11-J.STOUT PUNTS 45 YARDS TO LAR 20, CENTER-69-T.OTT. 81-A.TRAMMELL TO LAR 24 FOR 4 YARDS (53-D.PHILLIPS).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,193,0,0
2023121001,2023-12-10,1,11,36,BAL,LA,0,0,100,1,0,TIMEOUT AT 11:36.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,204,0,0
2023121001,2023-12-10,1,11,36,LA,BAL,1,10,76,0,0,(11:36) 23-K.WILLIAMS LEFT GUARD TO LAR 29 FOR 5 YARDS (44-M.HUMPHREY).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,24,OPP,0,,0,,0,204,0,0
2023121001,2023-12-10,1,11,3,LA,BAL,2,5,71,1,0,(11:03) 23-K.WILLIAMS RIGHT GUARD TO LAR 39 FOR 10 YARDS (0-R.SMITH).,0,2023,10,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,29,OPP,0,,0,,0,237,0,0
2023121001,2023-12-10,1,10,24,LA,BAL,1,10,61,0,0,(10:24) 23-K.WILLIAMS RIGHT GUARD TO LAR 43 FOR 4 YARDS (24-J.CLOWNEY; 6-P.QUEEN).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,39,OPP,0,,0,,0,276,0,0
2023121001,2023-12-10,1,9,42,LA,BAL,2,6,57,1,0,(9:42) 23-K.WILLIAMS RIGHT TACKLE TO BAL 48 FOR 9 YARDS (21-B.STEPHENS).,0,2023,9,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,43,OPP,0,,0,,0,318,0,0
2023121001,2023-12-10,1,8,59,LA,BAL,1,10,52,0,0,(8:59) 24-R.FREEMAN LEFT GUARD TO BAL 45 FOR 3 YARDS (92-J.MADUBUIKE).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,48,OPP,0,,0,,0,361,0,0
2023121001,2023-12-10,1,8,17,LA,BAL,2,7,55,0,0,(8:17) 17-P.NACUA RIGHT END PUSHED OB AT BAL 39 FOR 6 YARDS (26-G.STONE).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,45,OPP,0,,0,,0,403,0,0
2023121001,2023-12-10,1,7,49,LA,BAL,3,1,61,1,0,(7:49) (NO HUDDLE) 23-K.WILLIAMS UP THE MIDDLE TO BAL 37 FOR 2 YARDS (50-K.VAN NOY; 26-G.STONE).,0,2023,2,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,39,OPP,0,,0,,0,431,0,0
2023121001,2023-12-10,1,7,7,LA,BAL,1,10,63,0,0,"(7:07) 23-K.WILLIAMS RIGHT END TO BAL 35 FOR 2 YARDS (95-T.ROBINSON; 0-R.SMITH). PENALTY ON BAL-95-T.ROBINSON, FACE MASK, 15 YARDS, ENFORCED AT BAL 35.",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT END,37,OPP,1,BAL,0,FACE MASK,15,473,0,0
2023121001,2023-12-10,1,6,38,LA,BAL,1,10,80,1,0,(6:38) 23-K.WILLIAMS UP THE MIDDLE TO BAL 9 FOR 11 YARDS (44-M.HUMPHREY; 14-K.HAMILTON).,0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,20,OPP,0,,0,,0,502,0,0
2023121001,2023-12-10,1,5,50,LA,BAL,1,9,91,0,0,(5:50) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT LEFT TO 15-D.ROBINSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,9,OPP,0,,0,,0,550,0,0
2023121001,2023-12-10,1,5,47,LA,BAL,2,9,91,0,0,(5:47) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT RIGHT TO 17-P.NACUA [92-J.MADUBUIKE].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,9,OPP,0,,0,,0,553,0,0
2023121001,2023-12-10,1,5,42,LA,BAL,3,9,91,0,0,(5:42) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT LEFT TO 10-C.KUPP [0-R.SMITH].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,9,OPP,0,,0,,0,558,0,0
2023121001,2023-12-10,1,5,37,LA,BAL,4,9,91,0,0,"(5:37) 8-L.HAVRISIK 27 YARD FIELD GOAL IS GOOD, CENTER-47-A.WARD, HOLDER-42-E.EVANS.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,9,OPP,0,,0,,0,563,0,0
2023121001,2023-12-10,1,5,35,BAL,LA,1,10,25,0,0,(5:35) (SHOTGUN) 8-L.JACKSON PASS INCOMPLETE DEEP RIGHT TO 4-Z.FLOWERS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,565,0,0
2023121001,2023-12-10,1,5,35,BAL,LA,0,0,65,1,0,"42-E.EVANS KICKS 65 YARDS FROM LAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,565,0,0
2023121001,2023-12-10,1,5,35,BAL,LA,0,0,100,1,0,TIMEOUT AT 05:35.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,565,0,0
2023121001,2023-12-10,1,5,27,BAL,LA,2,10,25,1,0,(5:27) (SHOTGUN) 8-L.JACKSON PASS DEEP LEFT TO 3-O.BECKHAM TO BAL 45 FOR 20 YARDS (1-D.KENDRICK).,0,2023,20,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,573,0,0
2023121001,2023-12-10,1,4,46,BAL,LA,1,10,45,0,0,(4:46) 8-L.JACKSON PASS INCOMPLETE DEEP MIDDLE TO 7-R.BATEMAN.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,614,0,0
2023121001,2023-12-10,1,4,38,BAL,LA,2,10,45,0,0,(4:38) (SHOTGUN) 8-L.JACKSON SACKED AT BAL 45 FOR 0 YARDS (53-E.JONES).,0,2023,0,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,622,0,0
