GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,BUF,KC
2023121009,2023-12-10,1,9,1,KC,BUF,2,1,21,1,0,(9:01) (SHOTGUN) 25-C.EDWARDS-HELAIRE LEFT END TO KC 27 FOR 6 YARDS (23-M.HYDE).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,21,OWN,0,,0,,0,359,0,0
2023121009,2023-12-10,1,8,28,KC,BUF,1,10,27,0,0,(8:28) 1-J.MCKINNON RIGHT GUARD TO KC 30 FOR 3 YARDS (25-T.DODSON).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,27,OWN,0,,0,,0,392,0,0
2023121009,2023-12-10,1,7,56,KC,BUF,2,7,30,0,0,(7:56) 15-P.MAHOMES PASS INCOMPLETE SHORT LEFT.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,424,0,0
2023121009,2023-12-10,1,7,53,KC,BUF,3,7,30,0,0,(7:53) (SHOTGUN) 15-P.MAHOMES SACKED AT KC 23 FOR -7 YARDS (SACK SPLIT BY 50-G.ROUSSEAU AND 91-E.OLIVER).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,427,0,0
2023121009,2023-12-10,1,7,17,KC,BUF,4,14,23,0,0,"(7:17) 5-T.TOWNSEND PUNTS 39 YARDS TO BUF 38, CENTER-41-J.WINCHESTER. 11-D.HARTY TO BUF 47 FOR 9 YARDS (54-L.CHENAL).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,463,0,0
2023121009,2023-12-10,1,7,7,BUF,KC,1,10,47,0,0,(7:07) (SHOTGUN) 17-J.ALLEN RIGHT GUARD TO KC 49 FOR 4 YARDS (90-C.OMENIHU; 51-M.DANNA).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,47,OWN,0,,0,,0,473,0,0
2023121009,2023-12-10,1,6,28,BUF,KC,2,6,51,1,0,(6:28) (SHOTGUN) 17-J.ALLEN PASS SHORT MIDDLE TO 88-D.KNOX TO KC 38 FOR 11 YARDS (20-J.REID).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,512,0,0
2023121009,2023-12-10,1,5,47,BUF,KC,1,10,62,0,0,(5:47) (SHOTGUN) 17-J.ALLEN SCRAMBLES LEFT END RAN OB AT KC 30 FOR 8 YARDS (21-M.EDWARDS).,0,2023,8,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,553,0,0
2023121009,2023-12-10,1,5,13,BUF,KC,2,2,70,1,0,(5:13) (SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 14-S.DIGGS TO KC 27 FOR 3 YARDS (38-L.SNEED).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,587,0,0
2023121009,2023-12-10,1,4,28,BUF,KC,1,10,73,0,0,(4:28) (SHOTGUN) 4-J.COOK RIGHT END TO KC 25 FOR 2 YARDS (32-N.BOLTON; 56-G.KARLAFTIS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,27,OPP,0,,0,,0,632,0,0
2023121009,2023-12-10,1,3,48,BUF,KC,2,8,75,1,0,"(3:48) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 4-J.COOK FOR 25 YARDS, TOUCHDOWN.",0,2023,25,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,672,0,0
2023121009,2023-12-10,1,3,43,BUF,KC,0,0,85,1,0,"2-T.BASS EXTRA POINT IS GOOD, CENTER-69-R.FERGUSON, HOLDER-8-S.MARTIN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,677,0,0
2023121009,2023-12-10,1,3,43,KC,BUF,0,0,65,1,0,"2-T.BASS KICKS 55 YARDS FROM BUF 35 TO KC 10, FAIR CATCH BY 17-R.JAMES.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,677,0,0
2023121009,2023-12-10,1,3,43,KC,BUF,1,10,25,0,0,(3:43) (SHOTGUN) 25-C.EDWARDS-HELAIRE RIGHT GUARD TO KC 28 FOR 3 YARDS (43-T.BERNARD; 31-R.DOUGLAS).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,677,0,0
2023121009,2023-12-10,1,3,9,KC,BUF,2,7,28,0,0,(3:09) (SHOTGUN) 15-P.MAHOMES PASS INCOMPLETE SHORT RIGHT TO 4-R.RICE (31-R.DOUGLAS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,711,0,0
