GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NO,CAR
2023121005,2023-12-10,1,9,7,NO,CAR,4,10,89,0,0,"(9:07) 19-B.GRUPE 29 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-49-Z.WOOD, HOLDER-39-L.HEDLEY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,14,353,0,0
2023121005,2023-12-10,1,9,4,CAR,NO,1,10,20,0,0,"(9:04) 30-C.HUBBARD RIGHT GUARD TO CAR 21 FOR 1 YARD (99-K.SAUNDERS). INJURY UPDATE: CAR 67-J.MCCRAY, CALF, QUESTIONABLE TO RETURN.",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,20,OWN,0,,0,,0,14,356,0,0
2023121005,2023-12-10,1,9,4,NO,CAR,0,0,100,1,0,TIMEOUT AT 09:04.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,14,356,0,0
2023121005,2023-12-10,1,8,24,CAR,NO,2,9,21,0,0,(8:24) 30-C.HUBBARD RIGHT TACKLE TO CAR 29 FOR 8 YARDS (93-N.SHEPHERD).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,21,OWN,0,,0,,0,14,396,0,0
2023121005,2023-12-10,1,7,57,CAR,NO,3,1,29,1,0,"(7:57) (NO HUDDLE, SHOTGUN) 30-C.HUBBARD RIGHT GUARD TO CAR 31 FOR 2 YARDS (94-C.JORDAN).",0,2023,2,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,29,OWN,0,,0,,0,14,423,0,0
2023121005,2023-12-10,1,7,14,CAR,NO,1,10,31,1,0,(7:14) (SHOTGUN) 9-B.YOUNG PASS SHORT LEFT TO 17-D.CHARK TO CAR 49 FOR 18 YARDS (31-J.HOWDEN).,0,2023,18,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,14,466,0,0
2023121005,2023-12-10,1,6,30,CAR,NO,1,10,49,0,0,"(6:30) 9-B.YOUNG SACKED AT CAR 37 FOR -12 YARDS (31-J.HOWDEN). FUMBLES (31-J.HOWDEN) [56-D.DAVIS], RECOVERED BY NO-20-P.WERNER AT CAR 37. 20-P.WERNER TO CAR 36 FOR 1 YARD.",0,2023,-12,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,49,OWN,0,,0,,0,14,510,0,0
2023121005,2023-12-10,1,6,22,NO,CAR,1,10,64,0,0,(6:22) 41-A.KAMARA LEFT TACKLE TO CAR 34 FOR 2 YARDS (95-DER.BROWN).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,36,OPP,0,,0,,0,14,518,0,0
2023121005,2023-12-10,1,5,42,NO,CAR,2,8,66,0,0,(5:42) (SHOTGUN) 67-L.YOUNG REPORTED IN AS ELIGIBLE.  4-D.CARR PASS SHORT RIGHT TO 41-A.KAMARA TO CAR 29 FOR 5 YARDS (13-T.HILL).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,14,558,0,0
2023121005,2023-12-10,1,5,0,NO,CAR,3,3,71,0,0,"(5:00) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT RIGHT [95-DER.BROWN]. PENALTY ON NO-4-D.CARR, INTENTIONAL GROUNDING, 10 YARDS, ENFORCED AT CAR 29.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,29,OPP,1,NO,0,INTENTIONAL GROUNDING,10,14,600,0,0
