GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,ATL,TB
2023121000,2023-12-10,1,15,0,TB,ATL,0,0,65,1,0,"13-B.PINION KICKS 65 YARDS FROM ATL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,14,0,0,0
2023121000,2023-12-10,1,15,0,TB,ATL,1,10,25,0,0,(15:00) (SHOTGUN) 1-R.WHITE LEFT GUARD TO TB 31 FOR 6 YARDS (94-A.HUGGINS).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,14,0,0,0
2023121000,2023-12-10,1,14,26,TB,ATL,2,4,31,1,0,(14:26) (SHOTGUN) 6-B.MAYFIELD PASS SHORT MIDDLE TO 14-C.GODWIN TO TB 37 FOR 6 YARDS (27-R.GRANT).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,14,34,0,0
2023121000,2023-12-10,1,13,54,TB,ATL,1,10,37,0,0,(13:54) 1-R.WHITE LEFT TACKLE TO TB 39 FOR 2 YARDS (59-A.SMITH; 94-A.HUGGINS).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,37,OWN,0,,0,,0,14,66,0,0
2023121000,2023-12-10,1,13,15,TB,ATL,2,8,39,0,0,(13:15) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 88-C.OTTON TO TB 44 FOR 5 YARDS (55-K.ELLISS).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,14,105,0,0
2023121000,2023-12-10,1,12,30,TB,ATL,3,3,44,1,0,(12:30) 6-B.MAYFIELD PASS SHORT LEFT TO 19-D.MOORE TO ATL 45 FOR 11 YARDS (34-C.PHILLIPS; 3-J.BATES).,0,2023,11,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,14,150,0,0
2023121000,2023-12-10,1,11,45,TB,ATL,1,10,55,0,0,(11:45) 1-R.WHITE LEFT END TO ATL 44 FOR 1 YARD (55-K.ELLISS).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,45,OPP,0,,0,,0,14,195,0,0
2023121000,2023-12-10,1,11,6,TB,ATL,2,9,56,0,0,(11:06) (SHOTGUN) 6-B.MAYFIELD PASS SHORT LEFT TO 10-T.PALMER TO ATL 39 FOR 5 YARDS (24-A.TERRELL).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,14,234,0,0
2023121000,2023-12-10,1,10,17,TB,ATL,3,4,61,0,0,(10:17) (SHOTGUN) 6-B.MAYFIELD SCRAMBLES LEFT TACKLE TO ATL 37 FOR 2 YARDS (27-R.GRANT).,0,2023,2,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,14,283,0,0
2023121000,2023-12-10,1,9,32,TB,ATL,4,2,63,0,0,"(9:32) 4-C.MCLAUGHLIN 55 YARD FIELD GOAL IS GOOD, CENTER-97-Z.TRINER, HOLDER-5-J.CAMARDA.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,14,328,0,0
2023121000,2023-12-10,1,9,27,ATL,TB,0,0,100,1,0,TIMEOUT AT 09:27.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,14,333,0,0
2023121000,2023-12-10,1,9,27,ATL,TB,0,0,65,1,0,"5-J.CAMARDA KICKS 65 YARDS FROM TB 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,14,333,0,0
2023121000,2023-12-10,1,9,27,ATL,TB,1,10,25,0,0,(9:27) (SHOTGUN) 9-D.RIDDER PASS SHORT RIGHT TO 7-B.ROBINSON TO ATL 29 FOR 4 YARDS (23-R.NEAL; 0-Y.DIABY).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,14,333,0,0
2023121000,2023-12-10,1,9,0,ATL,TB,2,6,29,1,0,"(9:00) (NO HUDDLE, SHOTGUN) 9-D.RIDDER PASS SHORT RIGHT TO 7-B.ROBINSON PUSHED OB AT ATL 40 FOR 11 YARDS (23-R.NEAL).",0,2023,11,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,14,360,0,0
