GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,NYG,DAL
2023111209,2023-11-12,1,9,37,NYG,DAL,2,10,1,0,0,(9:37) 26-S.BARKLEY LEFT TACKLE TO NYG 1 FOR NO GAIN (32-R.EVANS; 26-D.BLAND).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,1,OWN,0,,0,,0,323,0,0
2023111209,2023-11-12,1,8,54,NYG,DAL,3,10,1,0,0,(8:54) (SHOTGUN) 15-T.DEVITO PASS SHORT LEFT TO 86-D.SLAYTON TO NYG 5 FOR 4 YARDS (26-D.BLAND).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,1,OWN,0,,0,,0,366,0,0
2023111209,2023-11-12,1,8,14,NYG,DAL,4,6,5,0,0,"(8:14) 6-J.GILLAN PUNTS 49 YARDS TO DAL 46, CENTER-59-C.KREITER, DOWNED BY NYG-19-I.SIMMONS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,5,OWN,0,,0,,0,406,0,0
2023111209,2023-11-12,1,8,4,DAL,NYG,1,10,46,0,0,(8:04) 4-D.PRESCOTT PASS INCOMPLETE SHORT LEFT TO 86-L.SCHOONMAKER.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,416,0,0
2023111209,2023-11-12,1,8,4,DAL,NYG,0,0,100,1,0,TIMEOUT AT 08:04.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,416,0,0
2023111209,2023-11-12,1,7,59,DAL,NYG,2,10,46,0,0,(7:59) 20-T.POLLARD LEFT END TO DAL 49 FOR 3 YARDS (41-M.MCFADDEN).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,46,OWN,0,,0,,0,421,0,0
2023111209,2023-11-12,1,7,21,DAL,NYG,3,7,49,0,0,(7:21) (SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT RIGHT TO 87-J.FERGUSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,459,0,0
2023111209,2023-11-12,1,7,18,DAL,NYG,4,7,49,0,0,"(7:18) 5-B.ANGER PUNTS 45 YARDS TO NYG 6, CENTER-44-T.SIEG, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,462,0,0
2023111209,2023-11-12,1,7,9,DAL,NYG,0,0,100,1,0,TIMEOUT AT 07:09.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,471,0,0
2023111209,2023-11-12,1,7,9,NYG,DAL,1,10,6,0,0,(7:09) 26-S.BARKLEY LEFT TACKLE TO NYG 7 FOR 1 YARD (58-M.SMITH).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,6,OWN,0,,0,,0,471,0,0
