GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIN,NO
2023111204,2023-11-12,1,9,33,NO,MIN,1,10,37,1,0,(9:33) 4-D.CARR PASS SHORT LEFT TO 7-T.HILL PUSHED OB AT NO 48 FOR 11 YARDS (21-A.EVANS).,0,2023,11,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,10,327,0,0
2023111204,2023-11-12,1,8,59,NO,MIN,1,10,48,0,0,(8:59) 41-A.KAMARA LEFT GUARD TO MIN 44 FOR 8 YARDS (58-J.HICKS).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,48,OWN,0,,0,,0,10,361,0,0
2023111204,2023-11-12,1,8,23,NO,MIN,2,2,56,0,0,(8:23) (SHOTGUN) 4-D.CARR PASS SHORT RIGHT TO 22-R.SHAHEED TO MIN 47 FOR -3 YARDS (7-B.MURPHY). MIN-58-J.HICKS WAS INJURED DURING THE PLAY.,0,2023,-3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,10,397,0,0
2023111204,2023-11-12,1,8,8,NO,MIN,0,0,100,1,0,TIMEOUT AT 08:08.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,10,412,0,0
2023111204,2023-11-12,1,7,55,NO,MIN,3,5,53,0,0,(7:55) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT LEFT TO 22-R.SHAHEED [44-J.METELLUS].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,10,425,0,0
2023111204,2023-11-12,1,7,51,NO,MIN,4,5,53,0,0,"(7:51) 39-L.HEDLEY PUNTS 47 YARDS TO END ZONE, CENTER-49-Z.WOOD, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,10,429,0,0
2023111204,2023-11-12,1,7,42,MIN,NO,1,10,20,0,0,(7:42) 2-A.MATTISON UP THE MIDDLE TO MIN 21 FOR 1 YARD (97-M.ROACH).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,20,OWN,0,,0,,0,10,438,0,0
2023111204,2023-11-12,1,7,13,MIN,NO,2,9,21,0,0,(7:13) (NO HUDDLE) 15-J.DOBBS SCRAMBLES LEFT END TO MIN 26 FOR 5 YARDS (6-M.MAYE).,0,2023,5,NO HUDDLE,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,10,467,0,0
2023111204,2023-11-12,1,6,29,MIN,NO,3,4,26,0,0,"(6:29) (SHOTGUN) 15-J.DOBBS PASS INCOMPLETE DEEP RIGHT TO 87-T.HOCKENSON (1-A.TAYLOR). PENALTY ON MIN-4-B.POWELL, OFFENSIVE PASS INTERFERENCE, DECLINED.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,26,OWN,0,MIN,0,OFFENSIVE PASS INTERFERENCE,0,10,511,0,0
2023111204,2023-11-12,1,6,24,MIN,NO,4,4,26,0,0,"(6:24) 14-R.WRIGHT PUNTS 50 YARDS TO NO 24, CENTER-42-A.DEPAOLA, FAIR CATCH BY 22-R.SHAHEED.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,10,516,0,0
