GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,TB,TEN
2023111206,2023-11-12,1,8,34,TB,TEN,0,0,100,1,0,TIMEOUT AT 08:34.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,386,0,0
2023111206,2023-11-12,1,7,57,TB,TEN,1,10,42,0,0,(7:57) 1-R.WHITE RIGHT TACKLE TO TB 43 FOR 1 YARD (50-J.GIBBENS; 2-A.AL-SHAAIR).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,42,OWN,0,,0,,0,423,0,0
2023111206,2023-11-12,1,7,17,TB,TEN,2,9,43,1,0,(7:17) (SHOTGUN) 6-B.MAYFIELD PASS DEEP LEFT TO 13-M.EVANS TO TEN 37 FOR 20 YARDS (26-K.FULTON).,0,2023,20,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,463,0,0
2023111206,2023-11-12,1,6,35,TB,TEN,1,10,63,0,0,(6:35) (SHOTGUN) 1-R.WHITE LEFT GUARD TO TEN 35 FOR 2 YARDS (50-J.GIBBENS; 98-J.SIMMONS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,37,OPP,0,,0,,0,505,0,0
2023111206,2023-11-12,1,5,54,TB,TEN,2,8,65,0,0,(5:54) 6-B.MAYFIELD SACKED AT TEN 42 FOR -7 YARDS (93-T.TART).,0,2023,-7,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,546,0,0
2023111206,2023-11-12,1,5,17,TB,TEN,3,15,58,1,0,(5:17) (SHOTGUN) 6-B.MAYFIELD PASS DEEP MIDDLE INTENDED FOR 83-D.THOMPKINS INTERCEPTED BY 21-R.MCCREARY AT TEN -1. 21-R.MCCREARY TO TEN 17 FOR 18 YARDS (83-D.THOMPKINS; 14-C.GODWIN).,0,2023,18,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,1,0,0,0,0,,42,OPP,0,,0,,0,583,0,0
2023111206,2023-11-12,1,5,2,TEN,TB,1,10,17,0,0,(5:02) (SHOTGUN) 22-D.HENRY LEFT END TO TEN 15 FOR -2 YARDS (0-Y.DIABY).,0,2023,-2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,17,OWN,0,,0,,0,598,0,0
2023111206,2023-11-12,1,5,2,TB,TEN,0,0,100,1,0,TIMEOUT AT 05:02.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,598,0,0
2023111206,2023-11-12,1,4,25,TEN,TB,2,12,15,0,0,(4:25) (SHOTGUN) 8-W.LEVIS PASS SHORT RIGHT TO 85-C.OKONKWO TO TEN 19 FOR 4 YARDS (98-A.NELSON; 91-M.GREENE).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,635,0,0
2023111206,2023-11-12,1,3,41,TEN,TB,3,8,19,1,0,(3:41) (SHOTGUN) 8-W.LEVIS PASS SHORT RIGHT TO 18-K.PHILIPS TO TEN 28 FOR 9 YARDS (27-Z.MCCOLLUM) [0-Y.DIABY].,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,679,0,0
2023111206,2023-11-12,1,2,55,TEN,TB,1,10,28,0,0,(2:55) 8-W.LEVIS SACKED AT TEN 18 FOR -10 YARDS (7-S.BARRETT).,0,2023,-10,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,725,0,0
2023111206,2023-11-12,1,2,14,TEN,TB,2,20,18,0,0,(2:14) (SHOTGUN) 32-T.SPEARS LEFT GUARD TO TEN 20 FOR 2 YARDS (50-V.VEA). TB-45-D.WHITE WAS INJURED DURING THE PLAY.,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,18,OWN,0,,0,,0,766,0,0
