GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,SF,JAX
2023111203,2023-11-12,1,15,0,JAX,SF,0,0,65,1,0,"4-J.MOODY KICKS 65 YARDS FROM SF 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023111203,2023-11-12,1,15,0,JAX,SF,1,10,25,0,0,(15:00) (SHOTGUN) 16-T.LAWRENCE PASS INCOMPLETE SHORT RIGHT [54-F.WARNER].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,0,0,0
2023111203,2023-11-12,1,14,55,JAX,SF,2,10,25,0,0,(14:55) (SHOTGUN) 16-T.LAWRENCE PASS SHORT LEFT TO 15-T.JONES TO JAX 30 FOR 5 YARDS (54-F.WARNER).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,5,0,0
2023111203,2023-11-12,1,14,14,JAX,SF,3,5,30,0,0,(14:14) (SHOTGUN) 16-T.LAWRENCE SACKED AT JAX 24 FOR -6 YARDS (SACK SPLIT BY 91-A.ARMSTEAD AND 98-J.HARGRAVE).,0,2023,-6,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,46,0,0
2023111203,2023-11-12,1,13,49,JAX,SF,4,11,24,0,0,"(13:49) 9-L.COOKE PUNTS 41 YARDS TO SF 35, CENTER-46-R.MATISCIK. 3-R.MCCLOUD TO SF 43 FOR 8 YARDS (46-R.MATISCIK).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,71,0,0
2023111203,2023-11-12,1,13,39,SF,JAX,1,10,43,0,0,(13:39) (SHOTGUN) 23-C.MCCAFFREY UP THE MIDDLE TO SF 49 FOR 6 YARDS (23-F.OLUOKUN; 2-R.JENKINS).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,43,OWN,0,,0,,0,81,0,0
2023111203,2023-11-12,1,13,2,SF,JAX,2,4,49,1,0,(13:02) (SHOTGUN) 13-B.PURDY PASS SHORT RIGHT TO 23-C.MCCAFFREY TO JAX 42 FOR 9 YARDS (2-R.JENKINS).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,118,0,0
2023111203,2023-11-12,1,12,22,SF,JAX,1,10,58,1,0,(12:22) (SHOTGUN) 13-B.PURDY PASS SHORT RIGHT TO 85-G.KITTLE PUSHED OB AT JAX 13 FOR 29 YARDS (2-R.JENKINS).,0,2023,29,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,158,0,0
2023111203,2023-11-12,1,11,42,SF,JAX,1,10,87,1,0,"(11:42) 13-B.PURDY PASS SHORT MIDDLE TO 11-B.AIYUK FOR 13 YARDS, TOUCHDOWN.",0,2023,13,UNDER CENTER,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,198,0,0
2023111203,2023-11-12,1,11,34,SF,JAX,0,0,85,1,0,"4-J.MOODY EXTRA POINT IS GOOD, CENTER-46-T.PEPPER, HOLDER-18-M.WISHNOWSKY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,206,0,0
2023111203,2023-11-12,1,11,34,JAX,SF,0,0,100,1,0,TIMEOUT AT 11:34.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,206,0,0
2023111203,2023-11-12,1,11,34,JAX,SF,0,0,65,1,0,"4-J.MOODY KICKS 65 YARDS FROM SF 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,206,0,0
2023111203,2023-11-12,1,11,34,JAX,SF,1,10,25,0,0,(11:34) (SHOTGUN) 1-T.ETIENNE RIGHT END TO JAX 25 FOR NO GAIN (57-D.GREENLAW).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,25,OWN,0,,0,,0,206,0,0
2023111203,2023-11-12,1,10,49,JAX,SF,2,10,25,0,0,"(10:49) (SHOTGUN) PENALTY ON JAX-39-J.AGNEW, FALSE START, 5 YARDS, ENFORCED AT JAX 25 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,25,OWN,1,JAX,1,FALSE START,5,251,0,0
