GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,ARI,ATL
2023111207,2023-11-12,1,15,0,ARI,ATL,0,0,65,1,0,13-B.PINION KICKS 67 YARDS FROM ATL 35 TO ARI -2. 83-G.DORTCH TO ARI 20 FOR 22 YARDS (37-D.HELLAMS; 51-D.MALONE).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,10,0,0,0
2023111207,2023-11-12,1,14,52,ARI,ATL,1,10,20,0,0,(14:52) (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE SHORT LEFT TO 2-M.BROWN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,10,8,0,0
2023111207,2023-11-12,1,14,49,ARI,ATL,2,10,20,0,0,(14:49) (SHOTGUN) 6-J.CONNER UP THE MIDDLE TO ARI 21 FOR 1 YARD (75-K.STREET).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,20,OWN,0,,0,,0,10,11,0,0
2023111207,2023-11-12,1,14,12,ARI,ATL,3,9,21,0,0,(14:12) (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE SHORT RIGHT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,10,48,0,0
2023111207,2023-11-12,1,14,5,ARI,ATL,4,9,21,0,0,"(14:05) 12-B.GILLIKIN PUNTS 49 YARDS TO ATL 30, CENTER-46-A.BREWER. 7-B.ROBINSON TO ATL 38 FOR 8 YARDS (33-A.HAMILTON).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,10,55,0,0
2023111207,2023-11-12,1,13,55,ATL,ARI,1,10,38,0,0,(13:55) 7-B.ROBINSON RIGHT END TO ATL 41 FOR 3 YARDS (34-J.THOMPSON).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,38,OWN,0,,0,,0,10,65,0,0
2023111207,2023-11-12,1,13,20,ATL,ARI,2,7,41,0,0,(13:20) (SHOTGUN) 7-B.ROBINSON LEFT TACKLE TO ATL 44 FOR 3 YARDS (92-K.STRONG).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,41,OWN,0,,0,,0,10,100,0,0
2023111207,2023-11-12,1,12,46,ATL,ARI,3,4,44,0,0,(12:46) (SHOTGUN) 4-T.HEINICKE PASS INCOMPLETE SHORT LEFT TO 8-K.PITTS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,10,134,0,0
2023111207,2023-11-12,1,12,43,ATL,ARI,4,4,44,0,0,"(12:43) 13-B.PINION PUNTS 52 YARDS TO ARI 4, CENTER-49-L.MCCULLOUGH, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,10,137,0,0
2023111207,2023-11-12,1,12,36,ARI,ATL,1,10,4,0,0,(12:36) (SHOTGUN) 1-K.MURRAY PASS SHORT LEFT TO 85-T.MCBRIDE TO ARI 10 FOR 6 YARDS (55-K.ELLISS).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,4,OWN,0,,0,,0,10,144,0,0
2023111207,2023-11-12,1,12,36,ARI,ATL,0,0,100,1,0,TIMEOUT AT 12:36.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,10,144,0,0
2023111207,2023-11-12,1,11,58,ARI,ATL,2,4,10,1,0,(11:58) 6-J.CONNER LEFT END RAN OB AT ARI 21 FOR 11 YARDS (27-R.GRANT).,0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,10,OWN,0,,0,,0,10,182,0,0
2023111207,2023-11-12,1,11,25,ARI,ATL,1,10,21,0,0,"(11:25) (NO HUDDLE, SHOTGUN) 6-J.CONNER RIGHT TACKLE TO ARI 22 FOR 1 YARD (95-T.GRAHAM, 3-J.BATES).",0,2023,1,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,21,OWN,0,,0,,0,10,215,0,0
2023111207,2023-11-12,1,10,45,ARI,ATL,2,9,22,0,0,(10:45) (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE SHORT LEFT TO 0-Z.PASCAL (24-A.TERRELL).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,10,255,0,0
