GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,IND,NE
2023111200,2023-11-12,1,15,0,NE,IND,0,0,65,1,0,7-M.GAY KICKS 67 YARDS FROM IND 35 TO NE -2. 14-T.MONTGOMERY TO NE 20 FOR 22 YARDS (37-A.SPEED).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,10,0,0,0
2023111200,2023-11-12,1,14,57,NE,IND,1,10,20,0,0,(14:57) 38-R.STEVENSON UP THE MIDDLE TO NE 23 FOR 3 YARDS (99-D.BUCKNER).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,20,OWN,0,,0,,0,10,3,0,0
2023111200,2023-11-12,1,14,20,NE,IND,2,7,23,0,0,(14:20) (SHOTGUN) 10-M.JONES PASS INCOMPLETE SHORT MIDDLE TO 38-R.STEVENSON [99-D.BUCKNER].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,10,40,0,0
2023111200,2023-11-12,1,14,16,NE,IND,3,7,23,1,0,(14:16) (SHOTGUN) 10-M.JONES PASS SHORT MIDDLE TO 88-M.GESICKI TO NE 34 FOR 11 YARDS (40-J.JONES).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,10,44,0,0
2023111200,2023-11-12,1,13,49,NE,IND,1,10,34,0,0,(13:49) 38-R.STEVENSON RIGHT TACKLE TO NE 41 FOR 7 YARDS (39-D.BAKER).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,34,OWN,0,,0,,0,10,71,0,0
2023111200,2023-11-12,1,13,5,NE,IND,2,3,41,1,0,(13:05) 38-R.STEVENSON RIGHT END TO NE 46 FOR 5 YARDS (44-Z.FRANKLIN).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,41,OWN,0,,0,,0,10,115,0,0
2023111200,2023-11-12,1,12,31,NE,IND,1,10,46,0,0,(12:31) 10-M.JONES PASS SHORT LEFT TO 38-R.STEVENSON TO NE 48 FOR 2 YARDS (44-Z.FRANKLIN).,0,2023,2,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,10,149,0,0
2023111200,2023-11-12,1,11,56,NE,IND,2,8,48,1,0,(11:56) (SHOTGUN) 10-M.JONES PASS SHORT LEFT TO 15-E.ELLIOTT TO IND 33 FOR 19 YARDS (40-J.JONES).,0,2023,19,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,10,184,0,0
2023111200,2023-11-12,1,11,12,NE,IND,1,10,67,0,0,(11:12) 15-E.ELLIOTT LEFT GUARD TO IND 24 FOR 9 YARDS (25-R.THOMAS).,0,2023,9,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,33,OPP,0,,0,,0,10,228,0,0
2023111200,2023-11-12,1,10,34,NE,IND,2,1,76,1,0,(10:34) 15-E.ELLIOTT UP THE MIDDLE TO IND 18 FOR 6 YARDS (23-K.MOORE).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,24,OPP,0,,0,,0,10,266,0,0
2023111200,2023-11-12,1,9,53,NE,IND,1,10,82,0,0,"(9:53) 15-E.ELLIOTT LEFT GUARD TO IND 14 FOR 4 YARDS (52-S.EBUKAM, 53-S.LEONARD). IND-51-K.PAYE WAS INJURED DURING THE PLAY. HIS RETURN IS QUESTIONABLE.",0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,18,OPP,0,,0,,0,10,307,0,0
2023111200,2023-11-12,1,9,42,NE,IND,0,0,100,1,0,TIMEOUT AT 09:42.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,10,318,0,0
2023111200,2023-11-12,1,9,35,NE,IND,2,6,86,0,0,(9:35) 38-R.STEVENSON LEFT TACKLE TO IND 14 FOR NO GAIN (99-D.BUCKNER).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,14,OPP,0,,0,,0,10,325,0,0
2023111200,2023-11-12,1,8,57,NE,IND,3,6,86,0,0,(8:57) (SHOTGUN) 10-M.JONES SACKED AT IND 19 FOR -5 YARDS (54-D.ODEYINGBO).,0,2023,-5,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,10,363,0,0
