GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,HOU,CIN
2023111202,2023-11-12,1,9,19,HOU,CIN,2,3,32,1,0,(9:19) 26-D.SINGLETARY RIGHT END PUSHED OB AT HOU 44 FOR 12 YARDS (33-N.SCOTT).,0,2023,12,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,32,OWN,0,,0,,0,341,0,0
2023111202,2023-11-12,1,8,46,HOU,CIN,1,10,44,0,0,(8:46) (SHOTGUN) 26-D.SINGLETARY LEFT TACKLE TO HOU 45 FOR 1 YARD (98-D.READER).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,44,OWN,0,,0,,0,374,0,0
2023111202,2023-11-12,1,8,9,HOU,CIN,2,9,45,0,0,(8:09) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT LEFT TO 19-X.HUTCHINSON (29-C.TAYLOR-BRITT).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,411,0,0
2023111202,2023-11-12,1,8,6,HOU,CIN,3,9,45,0,0,(8:06) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT MIDDLE TO 86-D.SCHULTZ (55-L.WILSON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,414,0,0
2023111202,2023-11-12,1,8,3,HOU,CIN,4,9,45,0,0,"(8:03) 11-C.JOHNSTON PUNTS 43 YARDS TO CIN 12, CENTER-46-J.WEEKS, FAIR CATCH BY 16-T.IRWIN.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,417,0,0
2023111202,2023-11-12,1,7,56,CIN,HOU,0,0,100,1,0,TIMEOUT AT 07:56.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,424,0,0
2023111202,2023-11-12,1,7,56,CIN,HOU,1,10,12,0,0,(7:56) 28-J.MIXON RIGHT GUARD TO CIN 15 FOR 3 YARDS (98-S.RANKINS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,12,OWN,0,,0,,0,424,0,0
2023111202,2023-11-12,1,7,15,CIN,HOU,2,7,15,0,0,(7:15) (SHOTGUN) 9-J.BURROW PASS SHORT LEFT TO 81-I.SMITH TO CIN 21 FOR 6 YARDS (0-S.GRIFFIN).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,465,0,0
2023111202,2023-11-12,1,6,33,CIN,HOU,3,1,21,1,0,(6:33) (SHOTGUN) 9-J.BURROW PASS SHORT RIGHT TO 83-T.BOYD TO CIN 25 FOR 4 YARDS (4-T.THOMAS).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,507,0,0
2023111202,2023-11-12,1,5,55,CIN,HOU,1,10,25,1,0,(5:55) (SHOTGUN) 28-J.MIXON LEFT GUARD TO CIN 35 FOR 10 YARDS (30-D.HOUSTON-CARSON).,0,2023,10,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,545,0,0
