GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LAC,DET
2023111208,2023-11-12,1,15,0,LAC,DET,0,0,65,1,0,"3-J.FOX KICKS 65 YARDS FROM DET 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023111208,2023-11-12,1,15,0,LAC,DET,1,10,25,0,0,(15:00) (SHOTGUN) 30-A.EKELER LEFT GUARD TO LAC 26 FOR 1 YARD (79-J.COMINSKY).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,0,0,0
2023111208,2023-11-12,1,14,25,LAC,DET,2,9,26,0,0,(14:25) (SHOTGUN) 10-J.HERBERT PASS SHORT MIDDLE TO 30-A.EKELER TO LAC 29 FOR 3 YARDS (46-J.CAMPBELL).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,35,0,0
2023111208,2023-11-12,1,13,48,LAC,DET,3,6,29,0,0,(13:48) (SHOTGUN) 10-J.HERBERT PASS INCOMPLETE DEEP RIGHT TO 13-K.ALLEN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,72,0,0
2023111208,2023-11-12,1,13,44,LAC,DET,4,6,29,0,0,"(13:44) 16-J.SCOTT PUNTS 58 YARDS TO DET 13, CENTER-47-J.HARRIS. 11-K.RAYMOND TO DET 25 FOR 12 YARDS (47-J.HARRIS).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,76,0,0
2023111208,2023-11-12,1,13,32,DET,LAC,1,10,25,0,0,(13:32) 16-J.GOFF PASS SHORT LEFT TO 87-S.LAPORTA PUSHED OB AT DET 34 FOR 9 YARDS (6-E.KENDRICKS).,0,2023,9,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,88,0,0
2023111208,2023-11-12,1,12,56,DET,LAC,2,1,34,1,0,(12:56) 5-D.MONTGOMERY RIGHT TACKLE TO DET 42 FOR 8 YARDS (95-N.WILLIAMS).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,34,OWN,0,,0,,0,124,0,0
2023111208,2023-11-12,1,12,16,DET,LAC,1,10,42,1,0,(12:16) (SHOTGUN) 16-J.GOFF PASS DEEP MIDDLE TO 14-A.ST. BROWN TO LAC 12 FOR 46 YARDS (32-A.GILMAN).,0,2023,46,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,164,0,0
2023111208,2023-11-12,1,11,31,DET,LAC,1,10,88,0,0,"(11:31) 5-D.MONTGOMERY RIGHT GUARD TO LAC 10 FOR 2 YARDS (51-S.JOSEPH, 98-A.JOHNSON).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,12,OPP,0,,0,,0,209,0,0
2023111208,2023-11-12,1,10,56,DET,LAC,2,8,90,0,0,"(10:56) (SHOTGUN) 16-J.GOFF PASS SHORT LEFT TO 9-J.WILLIAMS FOR 10 YARDS, TOUCHDOWN NULLIFIED BY PENALTY. PENALTY ON DET-68-T.DECKER, LOW BLOCK, 15 YARDS, ENFORCED AT LAC 10 - NO PLAY.",0,2023,10,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,1,0,0,,10,OPP,1,DET,1,LOW BLOCK,15,244,0,0
2023111208,2023-11-12,1,10,50,DET,LAC,2,23,75,0,0,(10:50) (SHOTGUN) 16-J.GOFF PASS INCOMPLETE SHORT RIGHT TO 11-K.RAYMOND.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,250,0,0
2023111208,2023-11-12,1,10,47,DET,LAC,3,23,75,0,0,(10:47) 26-J.GIBBS RIGHT TACKLE RAN OB AT LAC 14 FOR 11 YARDS (33-D.LEONARD).,0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OPP,0,,0,,0,253,0,0
2023111208,2023-11-12,1,10,13,DET,LAC,4,12,86,0,0,"(10:13) 36-R.PATTERSON 33 YARD FIELD GOAL IS GOOD, CENTER-43-J.MCQUAIDE, HOLDER-3-J.FOX.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,287,0,0
