GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,ARI,PIT
2023120303,2023-12-03,1,10,32,PIT,ARI,2,3,36,0,0,(10:32) (SHOTGUN) 8-K.PICKETT SCRAMBLES LEFT END PUSHED OB AT PIT 37 FOR 1 YARD (13-K.CLARK).,0,2023,1,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,268,0,0
2023120303,2023-12-03,1,9,58,PIT,ARI,3,2,37,0,0,"(9:58) (SHOTGUN) 8-K.PICKETT FUMBLES (ABORTED) AT PIT 31, AND RECOVERS AT PIT 31. 8-K.PICKETT TO PIT 31 FOR NO GAIN (3-B.BAKER).",0,2023,0,SHOTGUN,FUMBLES,0,0,0,0,,0,0,0,,0,1,0,0,0,,37,OWN,0,,0,,0,302,0,0
2023120303,2023-12-03,1,9,26,PIT,ARI,4,8,31,0,0,"(9:26) 6-P.HARVIN PUNTS 44 YARDS TO ARI 25, CENTER-46-C.KUNTZ. 83-G.DORTCH RAN OB AT ARI 35 FOR 10 YARDS (28-M.KILLEBREW).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,334,0,0
2023120303,2023-12-03,1,9,16,ARI,PIT,1,10,35,1,0,(9:16) (SHOTGUN) 1-K.MURRAY PASS SHORT MIDDLE TO 85-T.MCBRIDE TO ARI 48 FOR 13 YARDS (23-D.KAZEE).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,344,0,0
2023120303,2023-12-03,1,9,16,PIT,ARI,0,0,100,1,0,TIMEOUT AT 09:16.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,344,0,0
2023120303,2023-12-03,1,8,38,ARI,PIT,1,10,48,0,0,(8:38) 6-J.CONNER LEFT GUARD TO ARI 46 FOR -2 YARDS (56-A.HIGHSMITH).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,48,OWN,0,,0,,0,382,0,0
2023120303,2023-12-03,1,8,2,ARI,PIT,2,12,46,0,0,(8:02) (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE SHORT MIDDLE TO 84-E.HIGGINS (99-L.OGUNJOBI).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,418,0,0
2023120303,2023-12-03,1,7,59,ARI,PIT,3,12,46,0,0,"(7:59) (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE SHORT LEFT TO 31-E.DEMERCADO. ARI-31-E.DEMERCADO WAS INJURED DURING THE PLAY.  PENALTY ON PIT-50-E.ROBERTS, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT ARI 46 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,46,OWN,1,PIT,1,UNNECESSARY ROUGHNESS,15,421,0,0
2023120303,2023-12-03,1,7,53,ARI,PIT,1,10,61,0,0,"(7:53) (SHOTGUN) PENALTY ON ARI-85-T.MCBRIDE, FALSE START, 5 YARDS, ENFORCED AT PIT 39 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,39,OPP,1,ARI,1,FALSE START,5,427,0,0
2023120303,2023-12-03,1,7,53,ARI,PIT,1,15,56,0,0,"(7:53) (SHOTGUN) 6-J.CONNER UP THE MIDDLE TO PIT 44 FOR NO GAIN (90-T.WATT, 95-K.BENTON).",0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,44,OPP,0,,0,,0,427,0,0
