GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DET,NO
2023120301,2023-12-03,1,11,4,DET,NO,1,10,83,0,0,(11:04) 26-J.GIBBS LEFT END PUSHED OB AT NO 13 FOR 4 YARDS (27-I.YIADOM).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,17,OPP,0,,0,,0,236,0,0
2023120301,2023-12-03,1,10,32,DET,NO,2,6,87,0,0,(10:32) 16-J.GOFF PASS INCOMPLETE SHORT RIGHT TO 8-J.REYNOLDS.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,268,0,0
2023120301,2023-12-03,1,10,28,DET,NO,3,6,87,1,0,"(10:28) (SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 87-S.LAPORTA FOR 13 YARDS, TOUCHDOWN.",0,2023,13,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,272,0,0
2023120301,2023-12-03,1,10,24,NO,DET,1,10,25,0,0,"(10:24) 21-J.WILLIAMS LEFT GUARD TO NO 24 FOR -1 YARDS (97-A.HUTCHINSON, 46-J.CAMPBELL).",0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,276,0,0
2023120301,2023-12-03,1,10,24,DET,NO,0,0,85,1,0,"36-R.PATTERSON EXTRA POINT IS GOOD, CENTER-43-J.MCQUAIDE, HOLDER-3-J.FOX.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,276,0,0
2023120301,2023-12-03,1,10,24,NO,DET,0,0,65,1,0,"3-J.FOX KICKS 65 YARDS FROM DET 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,276,0,0
2023120301,2023-12-03,1,10,24,NO,DET,0,0,100,1,0,TIMEOUT AT 10:24.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,276,0,0
2023120301,2023-12-03,1,9,53,NO,DET,2,11,24,0,0,(9:53) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT RIGHT TO 41-A.KAMARA (42-J.REEVES-MAYBIN).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,307,0,0
2023120301,2023-12-03,1,9,48,NO,DET,3,11,24,0,0,(9:48) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT RIGHT TO 17-A.PERRY (1-C.SUTTON) [53-C.HARRIS].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,312,0,0
2023120301,2023-12-03,1,9,44,NO,DET,4,11,24,0,0,"(9:44) 39-L.HEDLEY PUNTS 41 YARDS TO DET 35, CENTER-49-Z.WOOD. 11-K.RAYMOND TO DET 46 FOR 11 YARDS (46-A.PRENTICE; 48-J.GRAY).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,316,0,0
2023120301,2023-12-03,1,9,34,NO,DET,0,0,100,1,0,TIMEOUT AT 09:34.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,326,0,0
2023120301,2023-12-03,1,9,34,DET,NO,1,10,46,0,0,(9:34) 26-J.GIBBS LEFT TACKLE TO DET 46 FOR NO GAIN (93-N.SHEPHERD).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,46,OWN,0,,0,,0,326,0,0
2023120301,2023-12-03,1,8,57,DET,NO,2,10,46,1,0,(8:57) (SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 87-S.LAPORTA TO NO 25 FOR 29 YARDS (27-I.YIADOM).,0,2023,29,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,363,0,0
2023120301,2023-12-03,1,8,21,DET,NO,1,10,75,1,0,"(8:21) (NO HUDDLE, SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 14-A.ST. BROWN FOR 25 YARDS, TOUCHDOWN.",0,2023,25,NO HUDDLE SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,399,0,0
2023120301,2023-12-03,1,8,15,NO,DET,0,0,65,1,0,3-J.FOX KICKS 58 YARDS FROM DET 35 TO NO 7. 5-L.BOWDEN TO NO 25 FOR 18 YARDS (42-J.REEVES-MAYBIN; 13-C.REYNOLDS).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,405,0,0
2023120301,2023-12-03,1,8,15,NO,DET,0,0,100,1,0,TIMEOUT AT 08:15.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,405,0,0
2023120301,2023-12-03,1,8,15,DET,NO,0,0,85,1,0,"36-R.PATTERSON EXTRA POINT IS GOOD, CENTER-43-J.MCQUAIDE, HOLDER-3-J.FOX.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,405,0,0
2023120301,2023-12-03,1,8,10,NO,DET,1,10,25,0,0,(8:10) (SHOTGUN) 7-T.HILL LEFT GUARD TO NO 32 FOR 7 YARDS (31-K.JOSEPH).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,410,0,0
