GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,LAC,NE
2023120300,2023-12-03,1,9,34,NE,LAC,2,9,25,0,0,"(9:34) PENALTY ON NE, OFFENSIVE TOO MANY MEN ON FIELD, 5 YARDS, ENFORCED AT NE 25 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,25,OWN,1,NE,1,OFFENSIVE TOO MANY MEN ON FIELD,5,13,326,0,0
2023120300,2023-12-03,1,9,20,NE,LAC,2,14,20,0,0,(9:20) (SHOTGUN) 4-B.ZAPPE PASS SHORT RIGHT TO 7-J.SMITH-SCHUSTER TO NE 31 FOR 11 YARDS (3-D.JAMES).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,13,340,0,0
2023120300,2023-12-03,1,8,41,NE,LAC,3,3,31,1,0,(8:41) (SHOTGUN) 38-R.STEVENSON LEFT GUARD TO NE 39 FOR 8 YARDS (33-D.LEONARD).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,31,OWN,0,,0,,0,13,379,0,0
2023120300,2023-12-03,1,8,3,NE,LAC,1,10,39,0,0,(8:03) 38-R.STEVENSON RIGHT TACKLE TO NE 42 FOR 3 YARDS (98-A.JOHNSON).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,39,OWN,0,,0,,0,13,417,0,0
2023120300,2023-12-03,1,7,25,NE,LAC,2,7,42,0,0,(7:25) 4-B.ZAPPE SCRAMBLES RIGHT END RAN OB AT NE 47 FOR 5 YARDS (6-E.KENDRICKS).,0,2023,5,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,13,455,0,0
2023120300,2023-12-03,1,7,4,NE,LAC,3,2,47,1,0,(7:04) 38-R.STEVENSON RIGHT END TO LAC 49 FOR 4 YARDS (33-D.LEONARD; 3-D.JAMES).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,47,OWN,0,,0,,0,13,476,0,0
2023120300,2023-12-03,1,7,4,NE,LAC,0,0,100,1,0,TIMEOUT #1 BY LAC AT 07:04.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,476,0,0
2023120300,2023-12-03,1,6,29,NE,LAC,1,10,51,0,0,(6:29) (SHOTGUN) 38-R.STEVENSON LEFT GUARD TO LAC 40 FOR 9 YARDS (9-K.MURRAY).,0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,49,OPP,0,,0,,0,13,511,0,0
2023120300,2023-12-03,1,5,54,NE,LAC,2,1,60,1,0,(5:54) 38-R.STEVENSON UP THE MIDDLE TO LAC 36 FOR 4 YARDS (93-O.OGBONNIA; 6-E.KENDRICKS).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,40,OPP,0,,0,,0,13,546,0,0
2023120300,2023-12-03,1,5,10,NE,LAC,1,10,64,0,0,(5:10) 4-B.ZAPPE SCRAMBLES LEFT TACKLE TO LAC 31 FOR 5 YARDS (6-E.KENDRICKS).,0,2023,5,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,13,590,0,0
2023120300,2023-12-03,1,4,25,NE,LAC,2,5,69,0,0,"(4:25) 38-R.STEVENSON UP THE MIDDLE TO LAC 32 FOR -1 YARDS (45-T.TUIPULOTU). FUMBLES (45-T.TUIPULOTU), RECOVERED BY LAC-45-T.TUIPULOTU AT LAC 33. NE-38-R.STEVENSON WAS INJURED DURING THE PLAY. HE IS OUT.",0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,1,0,0,0,CENTER,31,OPP,0,,0,,0,13,635,0,0
2023120300,2023-12-03,1,4,13,LAC,NE,1,10,33,0,0,"(4:13) (SHOTGUN) 30-A.EKELER LEFT END TO LAC 37 FOR 4 YARDS (48-JA.TAVAI, 93-L.GUY).",0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,33,OWN,0,,0,,0,13,647,0,0
2023120300,2023-12-03,1,4,13,NE,LAC,0,0,100,1,0,TIMEOUT AT 04:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,647,0,0
